universe_binding_status,event_n,share_of_all_events,share_of_published_transition_events,binding_policy
non_transition_out_of_scope,56022,0.6185082140964494,,primary_readout_uses_reconstructed_transition_universe
published_and_reconstructed_transition,17500,0.1932079137961491,,primary_readout_uses_reconstructed_transition_universe
published_transition_not_reconstructed_transition,7714,0.08516604840134252,0.305941143808995,primary_readout_uses_reconstructed_transition_universe
reconstructed_transition_not_published_transition,9340,0.103117823706059,,primary_readout_uses_reconstructed_transition_universe
