split,hazard_class,row_count,episode_count,row_share,episode_share
robustness,neither,3114,467,0.5533049040511727,0.6064935064935065
robustness,stop_first,1445,496,0.25675195451314853,0.6441558441558441
robustness,target_first,1069,307,0.18994314143567875,0.3987012987012987
train,neither,3066,621,0.37624248374033625,0.5437828371278459
train,stop_first,3059,831,0.37538348263590626,0.7276707530647986
train,target_first,2024,517,0.2483740336237575,0.45271453590192645
validation,neither,2213,371,0.4954107902395344,0.6973684210526315
validation,stop_first,1450,372,0.3246026415939109,0.6992481203007519
validation,target_first,804,206,0.17998656816655473,0.38721804511278196
