usable_trade_date,total_available,main_board,chinext
2017-01-04,82,78,4
2017-01-05,84,79,5
2017-01-06,84,79,5
2017-01-09,83,79,4
2017-01-10,83,79,4
2017-01-11,83,79,4
2017-01-12,82,78,4
2017-01-13,81,77,4
2017-01-16,83,79,4
2017-01-17,85,81,4
2017-01-18,84,80,4
2017-01-19,84,80,4
2017-01-20,84,80,4
2017-01-23,85,81,4
2017-01-24,86,82,4
2017-01-25,86,82,4
2017-01-26,87,83,4
2017-02-03,88,84,4
2017-02-06,88,84,4
2017-02-07,87,83,4
2017-02-08,86,82,4
2017-02-09,86,82,4
2017-02-10,86,82,4
2017-02-13,89,85,4
2017-02-14,87,83,4
2017-02-15,88,84,4
2017-02-16,89,85,4
2017-02-17,89,85,4
2017-02-20,89,85,4
2017-02-21,92,88,4
2017-02-22,92,88,4
2017-02-23,92,88,4
2017-02-24,91,87,4
2017-02-27,91,87,4
2017-02-28,91,87,4
2017-03-01,91,87,4
2017-03-02,91,87,4
2017-03-03,91,87,4
2017-03-06,91,87,4
2017-03-07,91,87,4
2017-03-08,90,86,4
2017-03-09,91,87,4
2017-03-10,92,88,4
2017-03-13,94,90,4
2017-03-14,93,89,4
2017-03-15,93,89,4
2017-03-16,94,90,4
2017-03-17,93,89,4
2017-03-20,93,89,4
2017-03-21,94,90,4
2017-03-22,93,89,4
2017-03-23,94,89,5
2017-03-24,93,88,5
2017-03-27,93,89,4
2017-03-28,95,90,5
2017-03-29,94,90,4
2017-03-30,94,90,4
2017-03-31,93,89,4
2017-04-05,92,88,4
2017-04-06,94,90,4
2017-04-07,93,89,4
2017-04-10,96,92,4
2017-04-11,95,91,4
2017-04-12,97,93,4
2017-04-13,96,92,4
2017-04-14,95,91,4
2017-04-17,93,89,4
2017-04-18,96,92,4
2017-04-19,95,91,4
2017-04-20,94,90,4
2017-04-21,96,92,4
2017-04-24,95,91,4
2017-04-25,92,88,4
2017-04-26,92,88,4
2017-04-27,94,90,4
2017-04-28,92,88,4
2017-05-02,94,90,4
2017-05-03,93,89,4
2017-05-04,90,86,4
2017-05-05,91,87,4
2017-05-08,89,85,4
2017-05-09,88,84,4
2017-05-10,88,84,4
2017-05-11,86,83,3
2017-05-12,85,82,3
2017-05-15,84,81,3
2017-05-16,86,83,3
2017-05-17,87,84,3
2017-05-18,87,84,3
2017-05-19,88,85,3
2017-05-22,87,84,3
2017-05-23,86,83,3
2017-05-24,85,82,3
2017-05-25,85,82,3
2017-05-26,85,82,3
2017-05-31,85,82,3
2017-06-01,85,82,3
2017-06-02,84,81,3
2017-06-05,85,82,3
2017-06-06,83,80,3
2017-06-07,83,80,3
2017-06-08,86,83,3
2017-06-09,83,80,3
2017-06-12,84,81,3
2017-06-13,83,80,3
2017-06-14,84,81,3
2017-06-15,82,79,3
2017-06-16,85,82,3
2017-06-19,85,82,3
2017-06-20,87,84,3
2017-06-21,87,84,3
2017-06-22,86,83,3
2017-06-23,85,82,3
2017-06-26,85,82,3
2017-06-27,86,83,3
2017-06-28,86,83,3
2017-06-29,85,82,3
2017-06-30,87,83,4
2017-07-03,87,82,5
2017-07-04,87,82,5
2017-07-05,87,82,5
2017-07-06,88,83,5
2017-07-07,87,82,5
2017-07-10,91,86,5
2017-07-11,90,85,5
2017-07-12,90,85,5
2017-07-13,90,85,5
2017-07-14,91,86,5
2017-07-17,90,85,5
2017-07-18,85,80,5
2017-07-19,88,83,5
2017-07-20,90,85,5
2017-07-21,90,85,5
2017-07-24,91,86,5
2017-07-25,92,87,5
2017-07-26,92,87,5
2017-07-27,93,88,5
2017-07-28,95,90,5
2017-07-31,94,89,5
2017-08-01,92,87,5
2017-08-02,92,87,5
2017-08-03,93,88,5
2017-08-04,92,87,5
2017-08-07,93,88,5
2017-08-08,93,88,5
2017-08-09,94,89,5
2017-08-10,93,88,5
2017-08-11,94,89,5
2017-08-14,92,87,5
2017-08-15,92,87,5
2017-08-16,93,88,5
2017-08-17,92,87,5
2017-08-18,94,89,5
2017-08-21,93,88,5
2017-08-22,94,89,5
2017-08-23,93,88,5
2017-08-24,93,88,5
2017-08-25,92,87,5
2017-08-28,92,87,5
2017-08-29,93,88,5
2017-08-30,95,90,5
2017-08-31,94,89,5
2017-09-01,97,92,5
2017-09-04,98,93,5
2017-09-05,99,94,5
2017-09-06,98,93,5
