membership_date,board_bucket,candidate_before_status_exclusion_count,excluded_not_listed_count,excluded_st_count,excluded_suspended_count,final_member_count,status_source
2017-01-03,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-03,main_board,80,0,2,0,78,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-04,chinext,5,0,0,0,5,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-04,main_board,81,0,2,0,79,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-05,chinext,5,0,0,0,5,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-05,main_board,81,0,2,0,79,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-06,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-06,main_board,81,0,2,0,79,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-09,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-09,main_board,81,0,2,0,79,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-10,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-10,main_board,81,0,2,0,79,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-11,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-11,main_board,80,0,2,0,78,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-12,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-12,main_board,79,0,2,0,77,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-13,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-13,main_board,80,0,1,0,79,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-16,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-16,main_board,83,0,2,0,81,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-17,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-17,main_board,82,0,2,0,80,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-18,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-18,main_board,81,0,1,0,80,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-19,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-19,main_board,81,0,1,0,80,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
