threshold_id,primary_horizon_sessions,cluster_split_bucket,anchor_n,episode_cluster_n,full_horizon_nonoverlap_step_n,effective_sample_size_nonoverlap,effective_to_anchor_ratio,threshold_sensitivity_status
up100pct,20,all_eligible_splits,35534,479,15258,15258.0,0.4293915686384871,pass
up150pct,20,all_eligible_splits,20262,293,9585,9585.0,0.47305300562629554,pass
up50pct,20,all_eligible_splits,69909,930,23405,23405.0,0.3347923729419674,pass
