threshold_id,cluster_split_bucket,instrument,episode_cluster_id,anchor_n,qfq_row_n,cluster_start_pos,cluster_end_pos,available_forward_sessions_min,cluster_start_out_of_bounds_n,cluster_end_out_of_bounds_n,cluster_end_beyond_anchor_available_forward_sessions_n,price_path_status,blocking_reason
up100pct,cross_split,SH600000,up100pct::SH600000::000000,43,2281,1668,2063,503,0,0,0,pass,
up100pct,train,SH600004,up100pct::SH600004::000000,1,2281,510,665,1771,0,0,0,pass,
up100pct,train,SH600009,up100pct::SH600009::000000,5,2270,251,646,2012,0,0,0,pass,
up100pct,train,SH600010,up100pct::SH600010::000000,370,2272,319,1127,1181,0,0,0,pass,
up100pct,cross_split,SH600010,up100pct::SH600010::000001,72,2272,1659,2211,382,0,0,0,pass,
up100pct,cross_split,SH600011,up100pct::SH600011::000000,268,2281,701,1556,1146,0,0,0,pass,
up100pct,cross_split,SH600015,up100pct::SH600015::000000,61,2281,1115,2067,801,0,0,0,pass,
up100pct,cross_split,SH600018,up100pct::SH600018::000000,18,2278,811,1879,1434,0,0,0,pass,
up100pct,train,SH600019,up100pct::SH600019::000000,216,2262,634,1125,1296,0,0,0,pass,
up100pct,cross_split,SH600021,up100pct::SH600021::000000,269,2275,504,2135,177,0,0,0,pass,
up100pct,cross_split,SH600023,up100pct::SH600023::000000,400,2281,513,1825,755,0,0,0,pass,
up100pct,cross_split,SH600025,up100pct::SH600025::000000,442,2048,95,1649,853,0,0,0,pass,
up100pct,cross_split,SH600026,up100pct::SH600026::000000,769,2276,248,2232,125,0,0,0,pass,
up100pct,cross_split,SH600027,up100pct::SH600027::000000,426,2270,252,1765,939,0,0,0,pass,
up100pct,cross_split,SH600028,up100pct::SH600028::000000,463,2281,289,2222,786,0,0,0,pass,
up100pct,cross_split,SH600030,up100pct::SH600030::000000,47,2264,251,1888,486,0,0,0,pass,
up100pct,train,SH600031,up100pct::SH600031::000000,39,2281,861,981,1378,0,0,0,pass,
up100pct,train,SH600036,up100pct::SH600036::000000,28,2281,251,1074,1748,0,0,0,pass,
up100pct,train,SH600037,up100pct::SH600037::000000,1,2275,508,849,1767,0,0,0,pass,
up100pct,train,SH600038,up100pct::SH600038::000000,61,2271,254,1216,1420,0,0,0,pass,
up100pct,cross_split,SH600048,up100pct::SH600048::000000,3,2281,1115,1283,1163,0,0,0,pass,
up100pct,cross_split,SH600050,up100pct::SH600050::000000,21,2186,1237,1878,854,0,0,0,pass,
up100pct,train,SH600056,up100pct::SH600056::000000,106,2281,253,1274,1516,0,0,0,pass,
up100pct,cross_split,SH600060,up100pct::SH600060::000000,49,2280,250,1783,1447,0,0,0,pass,
up100pct,train,SH600062,up100pct::SH600062::000000,22,2281,254,1299,1529,0,0,0,pass,
up100pct,cross_split,SH600066,up100pct::SH600066::000000,479,2280,251,2242,516,0,0,0,pass,
up100pct,cross_split,SH600085,up100pct::SH600085::000000,344,2281,251,1539,1129,0,0,0,pass,
up100pct,cross_split,SH600089,up100pct::SH600089::000000,777,2275,245,2191,157,0,0,0,pass,
up100pct,train,SH600095,up100pct::SH600095::000000,1,2261,826,872,1435,0,0,0,pass,
up100pct,cross_split,SH600096,up100pct::SH600096::000000,385,2279,1077,2217,208,0,0,0,pass,
up100pct,cross_split,SH600111,up100pct::SH600111::000000,682,2281,251,2220,208,0,0,0,pass,
up100pct,cross_split,SH600118,up100pct::SH600118::000000,853,2281,251,2184,125,0,0,0,pass,
up100pct,cross_split,SH600120,up100pct::SH600120::000000,29,2281,289,1967,1671,0,0,0,pass,
up100pct,cross_split,SH600126,up100pct::SH600126::000000,148,2274,529,1970,1332,0,0,0,pass,
up100pct,train,SH600132,up100pct::SH600132::000000,255,2281,328,1107,1328,0,0,0,pass,
up100pct,cross_split,SH600141,up100pct::SH600141::000000,1,2280,1596,2216,684,0,0,0,pass,
up100pct,train,SH600143,up100pct::SH600143::000000,209,2200,170,915,1333,0,0,0,pass,
up100pct,cross_split,SH600143,up100pct::SH600143::000001,110,2200,1087,2036,248,0,0,0,pass,
up100pct,cross_split,SH600153,up100pct::SH600153::000000,280,2281,510,1436,1184,0,0,0,pass,
up100pct,cross_split,SH600160,up100pct::SH600160::000000,582,2271,251,2210,347,0,0,0,pass,
up100pct,train,SH600161,up100pct::SH600161::000000,151,2186,156,777,1505,0,0,0,pass,
up100pct,train,SH600166,up100pct::SH600166::000000,37,2281,328,1138,1620,0,0,0,pass,
up100pct,cross_split,SH600171,up100pct::SH600171::000000,2,2248,725,1862,1521,0,0,0,pass,
up100pct,cross_split,SH600176,up100pct::SH600176::000000,861,2269,249,2267,125,0,0,0,pass,
up100pct,cross_split,SH600177,up100pct::SH600177::000000,213,2281,251,1932,1162,0,0,0,pass,
up100pct,cross_split,SH600183,up100pct::SH600183::000000,442,2281,1164,2278,125,0,0,0,pass,
up100pct,train,SH600185,up100pct::SH600185::000000,2,2266,256,821,2001,0,0,0,pass,
up100pct,cross_split,SH600188,up100pct::SH600188::000000,128,2281,1006,2261,255,0,0,0,pass,
up100pct,train,SH600196,up100pct::SH600196::000000,232,2281,251,1117,1269,0,0,0,pass,
up100pct,train,SH600201,up100pct::SH600201::000000,11,2279,508,874,1715,0,0,0,pass,
up100pct,cross_split,SH600208,up100pct::SH600208::000000,118,2267,507,2080,1134,0,0,0,pass,
up100pct,train,SH600211,up100pct::SH600211::000000,1,2281,860,870,1421,0,0,0,pass,
up100pct,cross_split,SH600219,up100pct::SH600219::000000,826,2275,251,2198,141,0,0,0,pass,
up100pct,train,SH600221,up100pct::SH600221::000000,2,2150,869,1013,1279,0,0,0,pass,
up100pct,robustness,SH600221,up100pct::SH600221::000001,11,2150,1749,1774,383,0,0,0,pass,
up100pct,cross_split,SH600236,up100pct::SH600236::000000,370,2281,519,2267,160,0,0,0,pass,
up100pct,cross_split,SH600246,up100pct::SH600246::000000,29,2272,803,2271,1432,0,0,0,pass,
up100pct,cross_split,SH600256,up100pct::SH600256::000000,311,2268,251,1361,1061,0,0,0,pass,
up100pct,train,SH600273,up100pct::SH600273::000000,1,2189,418,460,1771,0,0,0,pass,
up100pct,train,SH600276,up100pct::SH600276::000000,27,2281,545,969,1671,0,0,0,pass,
up100pct,cross_split,SH600276,up100pct::SH600276::000001,17,2281,1332,2110,909,0,0,0,pass,
up100pct,cross_split,SH600282,up100pct::SH600282::000000,28,2268,846,2208,1152,0,0,0,pass,
up100pct,cross_split,SH600295,up100pct::SH600295::000000,108,2280,251,2218,401,0,0,0,pass,
up100pct,train,SH600298,up100pct::SH600298::000000,173,2281,251,885,1505,0,0,0,pass,
up100pct,train,SH600305,up100pct::SH600305::000000,1,2281,609,885,1672,0,0,0,pass,
up100pct,train,SH600309,up100pct::SH600309::000000,241,2156,385,877,1378,0,0,0,pass,
up100pct,train,SH600315,up100pct::SH600315::000000,117,2269,498,1078,1505,0,0,0,pass,
up100pct,train,SH600316,up100pct::SH600316::000000,9,2281,867,977,1338,0,0,0,pass,
up100pct,train,SH600323,up100pct::SH600323::000000,2,2279,688,2259,1589,0,0,0,pass,
up100pct,train,SH600325,up100pct::SH600325::000000,66,2278,286,1518,1555,0,0,0,pass,
up100pct,cross_split,SH600329,up100pct::SH600329::000000,4,2280,328,1498,1944,0,0,0,pass,
up100pct,train,SH600338,up100pct::SH600338::000000,64,2274,249,1129,1671,0,0,0,pass,
up100pct,train,SH600339,up100pct::SH600339::000000,16,2279,745,2220,1505,0,0,0,pass,
up100pct,train,SH600346,up100pct::SH600346::000000,283,2218,188,939,1314,0,0,0,pass,
up100pct,cross_split,SH600346,up100pct::SH600346::000001,36,2218,1605,2138,379,0,0,0,pass,
up100pct,cross_split,SH600348,up100pct::SH600348::000000,75,2281,251,1367,1061,0,0,0,pass,
up100pct,cross_split,SH600350,up100pct::SH600350::000000,290,2281,251,2275,606,0,0,0,pass,
up100pct,train,SH600352,up100pct::SH600352::000000,50,2281,251,551,1742,0,0,0,pass,
up100pct,cross_split,SH600352,up100pct::SH600352::000001,58,2281,1426,2218,486,0,0,0,pass,
up100pct,cross_split,SH600362,up100pct::SH600362::000000,840,2281,251,2195,156,0,0,0,pass,
up100pct,cross_split,SH600377,up100pct::SH600377::000000,280,2281,259,2039,750,0,0,0,pass,
up100pct,cross_split,SH600378,up100pct::SH600378::000000,130,2144,547,1349,1162,0,0,0,pass,
up100pct,cross_split,SH600390,up100pct::SH600390::000000,9,2274,1108,1896,1157,0,0,0,pass,
up100pct,cross_split,SH600392,up100pct::SH600392::000000,228,2281,251,2219,784,0,0,0,pass,
up100pct,cross_split,SH600398,up100pct::SH600398::000000,23,2276,844,1803,1287,0,0,0,pass,
up100pct,train,SH600399,up100pct::SH600399::000000,46,2072,735,921,1204,0,0,0,pass,
up100pct,train,SH600409,up100pct::SH600409::000000,31,2281,510,1137,1718,0,0,0,pass,
up100pct,train,SH600410,up100pct::SH600410::000000,13,2271,318,2215,1459,0,0,0,pass,
up100pct,cross_split,SH600415,up100pct::SH600415::000000,523,2281,251,2100,368,0,0,0,pass,
up100pct,cross_split,SH600418,up100pct::SH600418::000000,310,2281,251,2114,394,0,0,0,pass,
up100pct,cross_split,SH600426,up100pct::SH600426::000000,347,2281,510,2225,208,0,0,0,pass,
up100pct,train,SH600435,up100pct::SH600435::000000,37,2281,255,2191,1671,0,0,0,pass,
up100pct,train,SH600436,up100pct::SH600436::000000,290,2281,251,1106,1309,0,0,0,pass,
up100pct,train,SH600446,up100pct::SH600446::000000,4,2266,255,553,1935,0,0,0,pass,
up100pct,train,SH600460,up100pct::SH600460::000000,339,2205,186,1034,1206,0,0,0,pass,
up100pct,robustness,SH600460,up100pct::SH600460::000001,29,2205,1681,2203,486,0,0,0,pass,
up100pct,cross_split,SH600482,up100pct::SH600482::000000,501,2260,806,2236,125,0,0,0,pass,
up100pct,train,SH600486,up100pct::SH600486::000000,216,2276,251,997,1353,0,0,0,pass,
up100pct,cross_split,SH600487,up100pct::SH600487::000000,640,2261,849,2200,125,0,0,0,pass,
up100pct,cross_split,SH600489,up100pct::SH600489::000000,839,2270,251,2193,135,0,0,0,pass,
up100pct,cross_split,SH600497,up100pct::SH600497::000000,595,2271,279,2194,283,0,0,0,pass,
up100pct,robustness,SH600498,up100pct::SH600498::000000,32,2281,1970,2221,152,0,0,0,pass,
up100pct,train,SH600499,up100pct::SH600499::000000,24,2271,251,1189,1185,0,0,0,pass,
up100pct,train,SH600500,up100pct::SH600500::000000,87,2272,251,1143,1497,0,0,0,pass,
