threshold_id,cluster_split_bucket,horizon_sessions,episode_cluster_n,anchor_n,step_n_overlap,average_uniqueness,average_uniqueness_nonoverlap,full_horizon_nonoverlap_step_n,effective_sample_size_overlap,effective_sample_size_nonoverlap,effective_sample_size_episode_cluster_blocked,partial_tail_step_n,effective_to_anchor_ratio,episode_cluster_to_anchor_ratio,time_block_to_anchor_ratio,effective_sample_status
up150pct,validation,20,5,155,1600,0.05296875,1.0,82,84.75,82.0,5.0,5,0.5290322580645161,0.03225806451612903,0.5290322580645161,pass
up50pct,train,5,667,57524,408188,0.20130724078120865,1.0,81906,82171.2,81906.0,667.0,540,1.4238578680203047,0.011595160280926222,1.4238578680203047,pass
up50pct,train,8,667,57524,406187,0.12643683820506318,1.0,51062,51357.0,51062.0,667.0,595,0.8876642792573535,0.011595160280926222,0.8876642792573535,pass
up50pct,train,13,667,57524,402859,0.07843534491071223,1.0,31281,31598.384615384617,31281.0,667.0,620,0.5437904179125235,0.011595160280926222,0.5437904179125235,pass
up50pct,train,15,667,57524,401539,0.06819843983606408,1.0,27078,27384.333333333332,27078.0,667.0,627,0.47072526249913077,0.011595160280926222,0.47072526249913077,pass
up50pct,train,20,667,57524,398255,0.05155528493050935,1.0,20245,20532.15,20245.0,667.0,626,0.35194005980112647,0.011595160280926222,0.35194005980112647,pass
up50pct,robustness,5,218,11302,50969,0.2032804253565893,1.0,10280,10361.0,10280.0,218.0,172,0.9095735268094143,0.019288621482923377,0.9095735268094143,pass
up50pct,robustness,8,218,11302,50344,0.128615127919911,1.0,6385,6475.0,6385.0,218.0,194,0.5649442576535126,0.019288621482923377,0.5649442576535126,pass
up50pct,robustness,13,218,11302,49306,0.08077968354608114,1.0,3881,3982.923076923077,3881.0,218.0,201,0.34339055034507165,0.019288621482923377,0.34339055034507165,pass
up50pct,robustness,15,218,11302,48894,0.07059898283361285,1.0,3354,3451.866666666667,3354.0,218.0,202,0.2967616351088303,0.019288621482923377,0.2967616351088303,pass
up50pct,robustness,20,218,11302,47866,0.054048802908118504,1.0,2496,2587.1000000000004,2496.0,218.0,211,0.22084586798796674,0.019288621482923377,0.22084586798796674,pass
up50pct,validation,5,45,1083,13554,0.20265604249667993,1.0,2729,2746.7999999999997,2729.0,45.0,37,2.519852262234534,0.04155124653739612,2.519852262234534,pass
up50pct,validation,8,45,1083,13419,0.12793427230046947,1.0,1698,1716.75,1698.0,45.0,41,1.5678670360110802,0.04155124653739612,1.5678670360110802,pass
up50pct,validation,13,45,1083,13194,0.08007136110819603,1.0,1036,1056.4615384615383,1036.0,45.0,44,0.9566020313942751,0.04155124653739612,0.9566020313942751,pass
up50pct,validation,15,45,1083,13104,0.06987179487179487,1.0,895,915.6,895.0,45.0,42,0.8264081255771006,0.04155124653739612,0.8264081255771006,pass
up50pct,validation,20,45,1083,12887,0.05302242570031815,1.0,664,683.3,664.0,45.0,44,0.6131117266851339,0.04155124653739612,0.6131117266851339,pass
