threshold_id,cluster_split_bucket,anchor_n,episode_cluster_n,nonoverlap_step_n_at_primary_horizon,full_horizon_nonoverlap_step_n_at_primary_horizon,partial_tail_step_n_at_primary_horizon,anchor_to_episode_ratio,anchor_to_nonoverlap_step_ratio_primary_horizon,anchor_to_full_horizon_step_ratio_primary_horizon,unit_count_status
up100pct,train,29639,383,14136,13774,362,77.38642297650131,2.096703452178834,2.1518077537389284,pass
up100pct,robustness,5642,87,1435,1355,80,64.85057471264368,3.9317073170731707,4.163837638376384,pass
up100pct,validation,253,9,138,129,9,28.11111111111111,1.8333333333333333,1.9612403100775193,pass
up150pct,train,16461,234,8814,8597,217,70.34615384615384,1.8675970047651465,1.9147376991973943,pass
up150pct,robustness,3646,54,953,906,47,67.51851851851852,3.825813221406086,4.024282560706402,pass
up150pct,validation,155,5,87,82,5,31.0,1.7816091954022988,1.8902439024390243,pass
up50pct,train,57524,667,20871,20245,626,86.24287856071965,2.756168846725121,2.8413929365275377,pass
up50pct,robustness,11302,218,2707,2496,211,51.84403669724771,4.175101588474326,4.528044871794871,pass
up50pct,validation,1083,45,708,664,44,24.066666666666666,1.5296610169491525,1.6310240963855422,pass
