threshold_id,cluster_split_bucket,horizon_sessions,episode_cluster_n,median_episode_length_sessions,step_n_nonoverlap,full_horizon_nonoverlap_step_n,partial_tail_step_n,labelable_step_n_for_future_16B,step_n_overlap,partial_tail_step_share,coverage_share,horizon_status
up100pct,train,5,383,619.0,55966,55652,314,55652,277503,0.00561054926205196,0.9972225706452595,pass
up100pct,train,8,383,619.0,35049,34712,337,34712,276354,0.009615110274187566,0.9952013188309711,pass
up100pct,train,13,383,619.0,21630,21282,348,21282,274440,0.01608876560332871,0.9915100256240257,pass
up100pct,train,15,383,619.0,18786,18426,360,18426,273678,0.01916320664324497,0.9905209023957569,pass
up100pct,train,20,383,619.0,14136,13774,362,13774,271778,0.025608375778155064,0.9872596627663196,pass
up100pct,robustness,5,87,331.0,5596,5530,66,5530,27467,0.011794138670478913,0.9940679489484091,pass
up100pct,robustness,8,87,331.0,3513,3440,73,3440,27206,0.020779960148021633,0.9893942117562466,pass
up100pct,robustness,13,87,331.0,2177,2102,75,2102,26771,0.034451079467156635,0.982419557792558,pass
up100pct,robustness,15,87,331.0,1889,1811,78,1811,26597,0.04129168872419269,0.9766313140391875,pass
up100pct,robustness,20,87,331.0,1435,1355,80,1355,26162,0.05574912891986063,0.9742944454431063,pass
up100pct,validation,5,9,177.0,542,533,9,533,2651,0.016605166051660517,0.9918124302195758,pass
up100pct,validation,8,9,177.0,341,332,9,332,2624,0.026392961876832845,0.9884629698548567,pass
up100pct,validation,13,9,177.0,210,202,8,202,2579,0.0380952380952381,0.97729810197246,pass
up100pct,validation,15,9,177.0,183,174,9,174,2561,0.04918032786885246,0.971343505768515,pass
up100pct,validation,20,9,177.0,138,129,9,129,2518,0.06521739130434782,0.9601786378861183,pass
up150pct,train,5,234,625.5,34910,34725,185,34725,173166,0.005299341162990547,0.9972602267636214,pass
up150pct,train,8,234,625.5,21866,21667,199,21667,172464,0.009100887222171408,0.995600280295459,pass
up150pct,train,13,234,625.5,13493,13278,215,13278,171294,0.015934188097532054,0.9914532860047558,pass
up150pct,train,15,234,625.5,11718,11502,216,11502,170826,0.018433179723502304,0.9909708102147017,pass
up150pct,train,20,234,625.5,8814,8597,217,8597,169656,0.024619922850011345,0.9875819921655121,pass
up150pct,robustness,5,54,353.5,3725,3689,36,3689,18318,0.009664429530201342,0.9951980144599115,pass
up150pct,robustness,8,54,353.5,2339,2292,47,2292,18156,0.020094057289439932,0.9893169310456459,pass
up150pct,robustness,13,54,353.5,1448,1404,44,1404,17886,0.03038674033149171,0.9847847199741017,pass
up150pct,robustness,15,54,353.5,1257,1210,47,1210,17778,0.03739061256961018,0.979281320815798,pass
up150pct,robustness,20,54,353.5,953,906,47,906,17508,0.04931794333683106,0.9776626740045322,pass
up150pct,validation,5,5,183.0,341,336,5,336,1675,0.01466275659824047,0.9911504424778761,pass
up150pct,validation,8,5,183.0,214,210,4,210,1660,0.018691588785046728,0.9911504424778761,pass
up150pct,validation,13,5,183.0,133,128,5,128,1635,0.03759398496240601,0.9817109144542773,pass
up150pct,validation,15,5,183.0,115,110,5,110,1625,0.043478260869565216,0.9734513274336283,pass
up150pct,validation,20,5,183.0,87,82,5,82,1600,0.05747126436781609,0.967551622418879,pass
up50pct,train,5,667,512.0,82446,81906,540,81906,408188,0.006549741649079397,0.996772591857001,pass
up50pct,train,8,667,512.0,51657,51062,595,51062,406187,0.011518284066051068,0.9942558950094437,pass
up50pct,train,13,667,512.0,31901,31281,620,31281,402859,0.019435127425472556,0.989770138442666,pass
up50pct,train,15,667,512.0,27705,27078,627,27078,401539,0.022631293990254465,0.9885945440738361,pass
up50pct,train,20,667,512.0,20871,20245,626,20245,398255,0.0299937712615591,0.9855034367272232,pass
up50pct,robustness,5,218,203.5,10452,10280,172,10280,50969,0.016456180635285114,0.9916653804599476,pass
up50pct,robustness,8,218,203.5,6579,6385,194,6385,50344,0.029487764097887215,0.9854915882080568,pass
up50pct,robustness,13,218,203.5,4082,3881,201,3881,49306,0.0492405683488486,0.9733948140145084,pass
up50pct,robustness,15,218,203.5,3556,3354,202,3354,48894,0.05680539932508436,0.9706359006019447,pass
up50pct,robustness,20,218,203.5,2707,2496,211,2496,47866,0.07794606575544884,0.9631115912949529,pass
up50pct,validation,5,45,148.0,2766,2729,37,2729,13554,0.013376717281272595,0.9935197320518422,pass
up50pct,validation,8,45,148.0,1739,1698,41,1698,13419,0.023576768257619323,0.9890782000873743,pass
up50pct,validation,13,45,148.0,1080,1036,44,1036,13194,0.040740740740740744,0.9806320081549439,pass
up50pct,validation,15,45,148.0,937,895,42,895,13104,0.044823906083244394,0.9775010921799913,pass
up50pct,validation,20,45,148.0,708,664,44,664,12887,0.062146892655367235,0.9669433522644532,pass
