threshold_id,cluster_split_bucket,horizon_sessions,anchor_overcount_ratio_median,anchor_overcount_ratio_p90,anchor_overcount_ratio_anchor_weighted,anchor_to_labelable_step_ratio_anchor_weighted,overcount_status
up100pct,train,5,0.4,1.7793745153786509,0.5295893935603759,0.5325774455545174,pass
up100pct,train,8,0.631578947368421,2.8554112554112554,0.8456446688921224,0.8538545747868173,pass
up100pct,train,13,1.0,4.62721809826794,1.3702727693018955,1.392679259468095,pass
up100pct,train,15,1.1578947368421053,5.289342403628119,1.5777174491642714,1.608542277216976,pass
up100pct,train,20,1.5,6.992592592592593,2.096703452178834,2.1518077537389284,pass
up100pct,robustness,5,0.6122448979591837,2.1794528875379946,1.0082201572551823,1.0202531645569621,pass
up100pct,robustness,8,0.967741935483871,3.457416267942585,1.6060347281525762,1.6401162790697674,pass
up100pct,robustness,13,1.5789473684210527,5.645528455284554,2.5916398713826365,2.6841103710751666,pass
up100pct,robustness,15,1.8181818181818181,6.420270270270272,2.9867654843832714,3.115405853119823,pass
up100pct,robustness,20,2.4,8.519806763285027,3.9317073170731707,4.163837638376384,pass
up100pct,validation,5,0.6666666666666666,2.188888888888889,0.466789667896679,0.474671669793621,pass
up100pct,validation,8,1.0769230769230769,3.429192546583851,0.7419354838709677,0.7620481927710844,pass
up100pct,validation,13,1.75,5.565079365079366,1.2047619047619047,1.2524752475247525,pass
up100pct,validation,15,2.0,6.441666666666666,1.3825136612021858,1.4540229885057472,pass
up100pct,validation,20,2.3333333333333335,8.588888888888889,1.8333333333333333,1.9612403100775193,pass
up150pct,train,5,0.35244335244335245,1.5238823142669298,0.4715267831566886,0.4740388768898488,pass
up150pct,train,8,0.5588538091969801,2.435639412997904,0.7528125857495656,0.7597267734342549,pass
up150pct,train,13,0.9092442645074224,3.9354945054945056,1.2199659082487215,1.2397198373248983,pass
up150pct,train,15,1.0408333333333335,4.555701754385966,1.4047619047619047,1.4311424100156493,pass
up150pct,train,20,1.378654970760234,6.0700854700854725,1.8675970047651465,1.9147376991973943,pass
up150pct,robustness,5,0.6932084309133489,2.148357810413885,0.9787919463087248,0.9883437245866088,pass
up150pct,robustness,8,1.1025641025641026,3.4270691994572595,1.5587858058999573,1.5907504363001745,pass
up150pct,robustness,13,1.7916666666666665,5.481707317073171,2.5179558011049723,2.596866096866097,pass
up150pct,robustness,15,2.0476190476190474,6.403095238095238,2.9005568814638027,3.013223140495868,pass
up150pct,robustness,20,2.6875,8.466666666666667,3.825813221406086,4.024282560706402,pass
up150pct,validation,5,0.8333333333333334,1.9144144144144142,0.45454545454545453,0.46130952380952384,pass
up150pct,validation,8,1.25,3.113833992094862,0.7242990654205608,0.7380952380952381,pass
up150pct,validation,13,2.0,4.851428571428571,1.1654135338345866,1.2109375,pass
up150pct,validation,15,2.5,5.638461538461539,1.3478260869565217,1.4090909090909092,pass
up150pct,validation,20,3.3333333333333335,7.453333333333333,1.7816091954022988,1.8902439024390243,pass
up50pct,train,5,0.6666666666666666,2.3493023255813954,0.6977172937437838,0.7023172905525846,pass
up50pct,train,8,1.0140845070422535,3.6666666666666665,1.113576088429448,1.1265520347812463,pass
up50pct,train,13,1.6666666666666667,5.9268968456948,1.803203661327231,1.83894376778236,pass
up50pct,train,15,2.0,6.747457627118644,2.0763039162606027,2.1243814166482013,pass
up50pct,train,20,2.5,9.0,2.756168846725121,2.8413929365275377,pass
up50pct,robustness,5,0.8069767441860465,2.5164814814814815,1.0813241484883276,1.0994163424124515,pass
up50pct,robustness,8,1.04839968774395,4.0346449570330165,1.717890256877945,1.7700861393891933,pass
up50pct,robustness,13,1.6909814323607426,6.458333333333334,2.7687408133268008,2.912136047410461,pass
up50pct,robustness,15,1.9496969696969697,7.519623655913979,3.1782902137232845,3.3697078115682766,pass
up50pct,robustness,20,2.5,9.838888888888889,4.175101588474326,4.528044871794871,pass
up50pct,validation,5,0.45614035087719296,1.8875000000000004,0.3915401301518438,0.3968486625137413,pass
up50pct,validation,8,0.7211538461538461,2.716666666666667,0.6227717078780909,0.6378091872791519,pass
up50pct,validation,13,1.0,4.138461538461539,1.0027777777777778,1.0453667953667953,pass
up50pct,validation,15,1.0,4.808695652173913,1.1558164354322304,1.2100558659217877,pass
up50pct,validation,20,1.8,7.550000000000002,1.5296610169491525,1.6310240963855422,pass
