signal_week_index,J,holding_week_end,skip_week_end,split,pit_member_count,raw_signal_valid_count,imom_signal_valid_count,raw_portfolio_status,imom_portfolio_status,raw_block_reason,imom_block_reason
75,2,2018-07-06,2018-06-29,train,137,135,0,complete,blocked_insufficient_portfolio_coverage,,insufficient_signal_eligible_universe
75,3,2018-07-06,2018-06-29,train,137,134,133,complete,complete,,
75,4,2018-07-06,2018-06-29,train,137,134,133,complete,complete,,
75,8,2018-07-06,2018-06-29,train,137,133,132,complete,complete,,
75,13,2018-07-06,2018-06-29,train,137,132,130,complete,complete,,
75,26,2018-07-06,2018-06-29,train,137,125,130,complete,complete,,
75,52,2018-07-06,2018-06-29,train,137,112,126,blocked_insufficient_portfolio_coverage,complete,insufficient_signal_eligible_universe,
76,2,2018-07-13,2018-07-06,train,131,130,0,complete,blocked_insufficient_portfolio_coverage,,insufficient_signal_eligible_universe
76,3,2018-07-13,2018-07-06,train,131,129,128,complete,complete,,
76,4,2018-07-13,2018-07-06,train,131,128,127,complete,complete,,
76,8,2018-07-13,2018-07-06,train,131,127,128,complete,complete,,
76,13,2018-07-13,2018-07-06,train,131,126,127,complete,complete,,
76,26,2018-07-13,2018-07-06,train,131,121,125,complete,complete,,
76,52,2018-07-13,2018-07-06,train,131,110,122,blocked_insufficient_portfolio_coverage,complete,insufficient_signal_eligible_universe,
77,2,2018-07-20,2018-07-13,train,138,138,136,complete,complete,,
77,3,2018-07-20,2018-07-13,train,138,137,136,complete,complete,,
77,4,2018-07-20,2018-07-13,train,138,136,136,complete,complete,,
77,8,2018-07-20,2018-07-13,train,138,134,135,complete,complete,,
77,13,2018-07-20,2018-07-13,train,138,133,133,complete,complete,,
77,26,2018-07-20,2018-07-13,train,138,129,131,complete,complete,,
77,52,2018-07-20,2018-07-13,train,138,115,127,blocked_insufficient_portfolio_coverage,complete,insufficient_signal_eligible_universe,
78,2,2018-07-27,2018-07-20,train,139,139,137,complete,complete,,
78,3,2018-07-27,2018-07-20,train,139,139,137,complete,complete,,
78,4,2018-07-27,2018-07-20,train,139,138,137,complete,complete,,
78,8,2018-07-27,2018-07-20,train,139,136,136,complete,complete,,
78,13,2018-07-27,2018-07-20,train,139,134,134,complete,complete,,
78,26,2018-07-27,2018-07-20,train,139,129,131,complete,complete,,
78,52,2018-07-27,2018-07-20,train,139,115,128,blocked_insufficient_portfolio_coverage,complete,insufficient_signal_eligible_universe,
79,2,2018-08-03,2018-07-27,train,141,141,139,complete,complete,,
79,3,2018-08-03,2018-07-27,train,141,141,139,complete,complete,,
79,4,2018-08-03,2018-07-27,train,141,141,139,complete,complete,,
79,8,2018-08-03,2018-07-27,train,141,138,139,complete,complete,,
79,13,2018-08-03,2018-07-27,train,141,137,137,complete,complete,,
79,26,2018-08-03,2018-07-27,train,141,132,133,complete,complete,,
79,52,2018-08-03,2018-07-27,train,141,117,130,blocked_insufficient_portfolio_coverage,complete,insufficient_signal_eligible_universe,
80,2,2018-08-10,2018-08-03,train,130,130,129,complete,complete,,
80,3,2018-08-10,2018-08-03,train,130,130,129,complete,complete,,
80,4,2018-08-10,2018-08-03,train,130,130,129,complete,complete,,
80,8,2018-08-10,2018-08-03,train,130,128,128,complete,complete,,
80,13,2018-08-10,2018-08-03,train,130,127,127,complete,complete,,
80,26,2018-08-10,2018-08-03,train,130,125,124,complete,complete,,
80,52,2018-08-10,2018-08-03,train,130,113,120,blocked_insufficient_portfolio_coverage,complete,insufficient_signal_eligible_universe,
81,2,2018-08-17,2018-08-10,train,131,130,130,complete,complete,,
81,3,2018-08-17,2018-08-10,train,131,130,130,complete,complete,,
81,4,2018-08-17,2018-08-10,train,131,130,130,complete,complete,,
81,8,2018-08-17,2018-08-10,train,131,129,129,complete,complete,,
81,13,2018-08-17,2018-08-10,train,131,128,128,complete,complete,,
81,26,2018-08-17,2018-08-10,train,131,126,126,complete,complete,,
81,52,2018-08-17,2018-08-10,train,131,113,122,blocked_insufficient_portfolio_coverage,complete,insufficient_signal_eligible_universe,
82,2,2018-08-24,2018-08-17,train,124,122,122,complete,complete,,
82,3,2018-08-24,2018-08-17,train,124,122,122,complete,complete,,
82,4,2018-08-24,2018-08-17,train,124,122,122,complete,complete,,
82,8,2018-08-24,2018-08-17,train,124,122,122,complete,complete,,
82,13,2018-08-24,2018-08-17,train,124,120,121,complete,complete,,
82,26,2018-08-24,2018-08-17,train,124,118,119,blocked_insufficient_portfolio_coverage,blocked_insufficient_portfolio_coverage,insufficient_signal_eligible_universe,insufficient_signal_eligible_universe
82,52,2018-08-24,2018-08-17,train,124,106,115,blocked_insufficient_portfolio_coverage,blocked_insufficient_portfolio_coverage,insufficient_signal_eligible_universe,insufficient_signal_eligible_universe
83,2,2018-08-31,2018-08-24,train,130,127,127,complete,complete,,
83,3,2018-08-31,2018-08-24,train,130,127,127,complete,complete,,
83,4,2018-08-31,2018-08-24,train,130,127,127,complete,complete,,
83,8,2018-08-31,2018-08-24,train,130,127,127,complete,complete,,
83,13,2018-08-31,2018-08-24,train,130,126,126,complete,complete,,
83,26,2018-08-31,2018-08-24,train,130,123,123,complete,complete,,
83,52,2018-08-31,2018-08-24,train,130,110,120,blocked_insufficient_portfolio_coverage,complete,insufficient_signal_eligible_universe,
84,2,2018-09-07,2018-08-31,train,131,129,128,complete,complete,,
84,3,2018-09-07,2018-08-31,train,131,128,128,complete,complete,,
84,4,2018-09-07,2018-08-31,train,131,128,128,complete,complete,,
84,8,2018-09-07,2018-08-31,train,131,128,128,complete,complete,,
84,13,2018-09-07,2018-08-31,train,131,127,127,complete,complete,,
84,26,2018-09-07,2018-08-31,train,131,124,125,complete,complete,,
84,52,2018-09-07,2018-08-31,train,131,110,122,blocked_insufficient_portfolio_coverage,complete,insufficient_signal_eligible_universe,
85,2,2018-09-14,2018-09-07,train,128,127,125,complete,complete,,
