calendar_week_id,calendar_friday,candidate_week_trading_day_count,week_end,week_retained,skip_reason,previous_retained_week_end,retained_week_index
2017-W01,2017-01-06,4,2017-01-06,True,,,0.0
2017-W02,2017-01-13,5,2017-01-13,True,,2017-01-06,1.0
2017-W03,2017-01-20,5,2017-01-20,True,,2017-01-13,2.0
2017-W04,2017-01-27,4,2017-01-26,True,,2017-01-20,3.0
2017-W05,2017-02-03,1,2017-02-03,False,candidate_week_trading_day_count_lte_2,2017-01-26,
2017-W06,2017-02-10,5,2017-02-10,True,,2017-01-26,4.0
2017-W07,2017-02-17,5,2017-02-17,True,,2017-02-10,5.0
2017-W08,2017-02-24,5,2017-02-24,True,,2017-02-17,6.0
2017-W09,2017-03-03,5,2017-03-03,True,,2017-02-24,7.0
2017-W10,2017-03-10,5,2017-03-10,True,,2017-03-03,8.0
2017-W11,2017-03-17,5,2017-03-17,True,,2017-03-10,9.0
2017-W12,2017-03-24,5,2017-03-24,True,,2017-03-17,10.0
2017-W13,2017-03-31,5,2017-03-31,True,,2017-03-24,11.0
2017-W14,2017-04-07,3,2017-04-07,True,,2017-03-31,12.0
2017-W15,2017-04-14,5,2017-04-14,True,,2017-04-07,13.0
2017-W16,2017-04-21,5,2017-04-21,True,,2017-04-14,14.0
2017-W17,2017-04-28,5,2017-04-28,True,,2017-04-21,15.0
2017-W18,2017-05-05,4,2017-05-05,True,,2017-04-28,16.0
2017-W19,2017-05-12,5,2017-05-12,True,,2017-05-05,17.0
2017-W20,2017-05-19,5,2017-05-19,True,,2017-05-12,18.0
2017-W21,2017-05-26,5,2017-05-26,True,,2017-05-19,19.0
2017-W22,2017-06-02,3,2017-06-02,True,,2017-05-26,20.0
2017-W23,2017-06-09,5,2017-06-09,True,,2017-06-02,21.0
2017-W24,2017-06-16,5,2017-06-16,True,,2017-06-09,22.0
2017-W25,2017-06-23,5,2017-06-23,True,,2017-06-16,23.0
2017-W26,2017-06-30,5,2017-06-30,True,,2017-06-23,24.0
2017-W27,2017-07-07,5,2017-07-07,True,,2017-06-30,25.0
2017-W28,2017-07-14,5,2017-07-14,True,,2017-07-07,26.0
2017-W29,2017-07-21,5,2017-07-21,True,,2017-07-14,27.0
2017-W30,2017-07-28,5,2017-07-28,True,,2017-07-21,28.0
2017-W31,2017-08-04,5,2017-08-04,True,,2017-07-28,29.0
2017-W32,2017-08-11,5,2017-08-11,True,,2017-08-04,30.0
2017-W33,2017-08-18,5,2017-08-18,True,,2017-08-11,31.0
2017-W34,2017-08-25,5,2017-08-25,True,,2017-08-18,32.0
2017-W35,2017-09-01,5,2017-09-01,True,,2017-08-25,33.0
2017-W36,2017-09-08,5,2017-09-08,True,,2017-09-01,34.0
2017-W37,2017-09-15,5,2017-09-15,True,,2017-09-08,35.0
2017-W38,2017-09-22,5,2017-09-22,True,,2017-09-15,36.0
2017-W39,2017-09-29,5,2017-09-29,True,,2017-09-22,37.0
2017-W41,2017-10-13,5,2017-10-13,True,,2017-09-29,38.0
2017-W42,2017-10-20,5,2017-10-20,True,,2017-10-13,39.0
2017-W43,2017-10-27,5,2017-10-27,True,,2017-10-20,40.0
2017-W44,2017-11-03,5,2017-11-03,True,,2017-10-27,41.0
2017-W45,2017-11-10,5,2017-11-10,True,,2017-11-03,42.0
2017-W46,2017-11-17,5,2017-11-17,True,,2017-11-10,43.0
2017-W47,2017-11-24,5,2017-11-24,True,,2017-11-17,44.0
2017-W48,2017-12-01,5,2017-12-01,True,,2017-11-24,45.0
2017-W49,2017-12-08,5,2017-12-08,True,,2017-12-01,46.0
2017-W50,2017-12-15,5,2017-12-15,True,,2017-12-08,47.0
2017-W51,2017-12-22,5,2017-12-22,True,,2017-12-15,48.0
2017-W52,2017-12-29,5,2017-12-29,True,,2017-12-22,49.0
2018-W01,2018-01-05,4,2018-01-05,True,,2017-12-29,50.0
2018-W02,2018-01-12,5,2018-01-12,True,,2018-01-05,51.0
2018-W03,2018-01-19,5,2018-01-19,True,,2018-01-12,52.0
2018-W04,2018-01-26,5,2018-01-26,True,,2018-01-19,53.0
2018-W05,2018-02-02,5,2018-02-02,True,,2018-01-26,54.0
2018-W06,2018-02-09,5,2018-02-09,True,,2018-02-02,55.0
2018-W07,2018-02-16,3,2018-02-14,True,,2018-02-09,56.0
2018-W08,2018-02-23,2,2018-02-23,False,candidate_week_trading_day_count_lte_2,2018-02-14,
2018-W09,2018-03-02,5,2018-03-02,True,,2018-02-14,57.0
2018-W10,2018-03-09,5,2018-03-09,True,,2018-03-02,58.0
2018-W11,2018-03-16,5,2018-03-16,True,,2018-03-09,59.0
2018-W12,2018-03-23,5,2018-03-23,True,,2018-03-16,60.0
2018-W13,2018-03-30,5,2018-03-30,True,,2018-03-23,61.0
2018-W14,2018-04-06,3,2018-04-04,True,,2018-03-30,62.0
2018-W15,2018-04-13,5,2018-04-13,True,,2018-04-04,63.0
