condition,kind,n_terms,coverage_pre60_excl_t0,covered_events_excl_t0,coverage_pre60_to_t0,covered_events_to_t0,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset
money_ratio10_gt_1_2 AND money_ratio20_gt_1_0 AND money_ratio5_gt_1_5 AND vol_ratio5_gt_1_5,and4,4,1.0,845,1.0,845.0,0.10831187750704376,-6.0,-53.0
money_ratio20_gt_1_0 AND money_ratio5_gt_1_5 AND vol_ratio10_gt_1_2 AND vol_ratio5_gt_1_5,and4,4,1.0,845,1.0,845.0,0.10838016520564714,-6.0,-53.0
money_ratio10_gt_1_2 AND money_ratio5_gt_1_5 AND vol_ratio20_gt_1_0 AND vol_ratio5_gt_1_5,and4,4,1.0,845,1.0,845.0,0.10877724552715574,-6.0,-54.0
money_ratio5_gt_1_5 AND vol_ratio10_gt_1_2 AND vol_ratio20_gt_1_0 AND vol_ratio5_gt_1_5,and4,4,1.0,845,1.0,845.0,0.10891129175034017,-6.0,-53.0
money_ratio10_gt_1_2 AND money_ratio5_gt_1_5 AND vol_ratio10_gt_1_2 AND vol_ratio5_gt_1_5,and4,4,1.0,845,1.0,845.0,0.11036050846514545,-6.0,-54.0
money_ratio10_gt_1_2 AND money_ratio20_gt_0_8 AND money_ratio5_gt_1_5 AND vol_ratio5_gt_1_5,and4,4,1.0,845,1.0,845.0,0.11044902955592763,-6.0,-54.0
money_ratio10_gt_1_0 AND money_ratio20_gt_1_0 AND money_ratio5_gt_1_5 AND vol_ratio5_gt_1_5,and4,4,1.0,845,1.0,845.0,0.11047179212212875,-6.0,-53.0
money_ratio20_gt_1_0 AND money_ratio5_gt_1_5 AND vol_ratio10_gt_1_0 AND vol_ratio5_gt_1_5,and4,4,1.0,845,1.0,845.0,0.11047179212212875,-6.0,-53.0
money_ratio10_gt_1_2 AND money_ratio5_gt_1_5 AND vol_ratio20_gt_0_8 AND vol_ratio5_gt_1_5,and4,4,1.0,845,1.0,845.0,0.11052490477659806,-6.0,-54.0
money_ratio20_gt_1_0 AND money_ratio5_gt_1_5 AND vol_ratio20_gt_1_0 AND vol_ratio5_gt_1_5,and4,4,1.0,845,1.0,845.0,0.11052996312464275,-6.0,-53.0
money_ratio20_gt_0_8 AND money_ratio5_gt_1_5 AND vol_ratio10_gt_1_2 AND vol_ratio5_gt_1_5,and4,4,1.0,845,1.0,845.0,0.11060077999726849,-6.0,-54.0
