condition,kind,n_terms,coverage_pre60_excl_t0,covered_events_excl_t0,coverage_pre60_to_t0,covered_events_to_t0,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset
vol_ratio5_gt_1_5 AND money_ratio10_gt_1_2,and2,2,1.0,845,1.0,845.0,0.11405563171179556,-5.0,-54.0
vol_ratio5_gt_1_5 AND money_ratio20_gt_1_0,and2,2,1.0,845,1.0,845.0,0.11427819902576217,-5.0,-54.0
vol_ratio5_gt_1_5 AND money_ratio5_gt_1_5,and2,2,1.0,845,1.0,845.0,0.1143490158983879,-5.0,-54.0
vol_ratio5_gt_1_5 AND vol_ratio10_gt_1_2,and2,2,1.0,845,1.0,845.0,0.11457917073442156,-5.0,-54.0
vol_ratio5_gt_1_5 AND vol_ratio20_gt_1_0,and2,2,1.0,845,1.0,845.0,0.11511788480118162,-5.0,-54.0
vol_ratio10_gt_1_5 AND vol_ratio5_gt_1_2,and2,2,1.0,845,1.0,845.0,0.11774822578442333,-6.0,-53.0
vol_ratio5_gt_1_5 AND money_ratio10_gt_1_0,and2,2,1.0,845,1.0,845.0,0.11781651348302671,-5.0,-54.0
vol_ratio5_gt_1_5 AND money_ratio20_gt_0_8,and2,2,1.0,845,1.0,845.0,0.1178266301791161,-5.0,-54.0
vol_ratio5_gt_1_5 AND vol_ratio10_gt_1_0,and2,2,1.0,845,1.0,845.0,0.11792273879196533,-5.0,-54.0
vol_ratio5_gt_1_5 AND vol_ratio20_gt_0_8,and2,2,1.0,845,1.0,845.0,0.11799355566459106,-5.0,-54.0
vol_ratio10_gt_1_5 AND vol_ratio20_gt_1_2,and2,2,1.0,845,1.0,845.0,0.11804413914503802,-6.0,-53.0
vol_ratio10_gt_1_5 AND money_ratio5_gt_1_2,and2,2,1.0,845,1.0,845.0,0.11816301032408837,-6.0,-53.0
vol_ratio5_gt_1_5 AND money_ratio5_gt_1_2,and2,2,1.0,845,1.0,845.0,0.11841592772632313,-5.0,-54.0
vol_ratio5_gt_1_5 AND money_ratio10_gt_0_8,and2,2,1.0,845,1.0,845.0,0.11842604442241253,-5.0,-54.0
vol_ratio5_gt_1_5 AND vol_ratio10_gt_0_8,and2,2,1.0,845,1.0,845.0,0.11844627781459131,-5.0,-54.0
money_ratio5_gt_1_5 AND vol_ratio10_gt_1_2,and2,2,1.0,845,1.0,845.0,0.11844880698861365,-5.0,-54.0
money_ratio5_gt_1_5 AND money_ratio10_gt_1_2,and2,2,1.0,845,1.0,845.0,0.11845892368470305,-5.0,-54.0
vol_ratio5_gt_1_5 AND money_ratio5_gt_1_0,and2,2,1.0,845,1.0,845.0,0.11846398203274774,-5.0,-54.0
vol_ratio5_gt_1_5 AND money_ratio5_gt_0_8,and2,2,1.0,845,1.0,845.0,0.11847156955481479,-5.0,-54.0
vol_ratio5_gt_1_5 AND vol_ratio5_gt_1_2,and2,2,1.0,845,1.0,845.0,0.11847662790285948,-5.0,-54.0
vol_ratio5_gt_1_5 AND vol_ratio5_gt_1_0,and2,2,1.0,845,1.0,845.0,0.11847662790285948,-5.0,-54.0
vol_ratio5_gt_1_5 AND vol_ratio5_gt_0_8,and2,2,1.0,845,1.0,845.0,0.11847662790285948,-5.0,-54.0
money_ratio5_gt_1_5 AND money_ratio20_gt_1_0,and2,2,1.0,845,1.0,845.0,0.11858538238582043,-5.0,-54.0
money_ratio5_gt_1_5 AND vol_ratio20_gt_1_0,and2,2,1.0,845,1.0,845.0,0.11916962158498277,-5.0,-54.0
vol_ratio10_gt_1_5 AND money_ratio20_gt_1_0,and2,2,1.0,845,1.0,845.0,0.12066942178023501,-6.0,-53.0
vol_ratio10_gt_1_5 AND vol_ratio20_gt_1_0,and2,2,1.0,845,1.0,845.0,0.12094763092269327,-6.0,-53.0
vol_ratio10_gt_1_5 AND vol_ratio5_gt_1_0,and2,2,1.0,845,1.0,845.0,0.1210917938419671,-6.0,-53.0
vol_ratio10_gt_1_5 AND money_ratio5_gt_1_0,and2,2,1.0,845,1.0,845.0,0.12113226062632465,-6.0,-53.0
vol_ratio10_gt_1_5 AND money_ratio10_gt_1_2,and2,2,1.0,845,1.0,845.0,0.12129665693777726,-6.0,-53.0
vol_ratio10_gt_1_5 AND money_ratio20_gt_0_8,and2,2,1.0,845,1.0,845.0,0.12131436115593369,-6.0,-53.0
vol_ratio10_gt_1_5 AND vol_ratio20_gt_0_8,and2,2,1.0,845,1.0,845.0,0.12133206537409012,-6.0,-53.0
