condition,kind,n_terms,coverage_pre60_excl_t0,covered_events_excl_t0,coverage_pre60_to_t0,covered_events_to_t0,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset
WINDOW_HAS(vol_ratio5_gt_1_5) AND WINDOW_HAS(vol_ratio10_gt_1_5),window_and2,2,1.0,845,,,0.12135735711431361,,
WINDOW_HAS(vol_ratio5_gt_1_5) AND WINDOW_HAS(money_ratio5_gt_1_5),window_and2,2,1.0,845,,,0.12265229421375567,,
WINDOW_HAS(money_ratio5_gt_1_5) AND WINDOW_HAS(vol_ratio10_gt_1_5),window_and2,2,1.0,845,,,0.12265229421375567,,
WINDOW_HAS(vol_ratio5_gt_1_5) AND WINDOW_HAS(vol_ratio20_gt_1_5),window_and2,2,1.0,845,,,0.12929390519644093,,
WINDOW_HAS(money_ratio5_gt_1_5) AND WINDOW_HAS(vol_ratio20_gt_1_5),window_and2,2,1.0,845,,,0.12929390519644093,,
WINDOW_HAS(vol_ratio10_gt_1_5) AND WINDOW_HAS(vol_ratio20_gt_1_5),window_and2,2,1.0,845,,,0.12929390519644093,,
WINDOW_HAS(vol_ratio5_gt_1_5) AND WINDOW_HAS(vol_ratio10_gt_1_2),window_and2,2,1.0,845,,,0.24747714891270808,,
WINDOW_HAS(money_ratio5_gt_1_5) AND WINDOW_HAS(vol_ratio10_gt_1_2),window_and2,2,1.0,845,,,0.24747714891270808,,
WINDOW_HAS(vol_ratio10_gt_1_2) AND WINDOW_HAS(vol_ratio10_gt_1_5),window_and2,2,1.0,845,,,0.24747714891270808,,
WINDOW_HAS(vol_ratio10_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_5),window_and2,2,1.0,845,,,0.24747714891270808,,
WINDOW_HAS(vol_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio5_gt_1_5),window_and2,2,1.0,845,,,0.2488757821470664,,
WINDOW_HAS(vol_ratio5_gt_1_2) AND WINDOW_HAS(money_ratio5_gt_1_5),window_and2,2,1.0,845,,,0.2488757821470664,,
WINDOW_HAS(vol_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio10_gt_1_2),window_and2,2,1.0,845,,,0.2488757821470664,,
WINDOW_HAS(vol_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio10_gt_1_5),window_and2,2,1.0,845,,,0.2488757821470664,,
WINDOW_HAS(vol_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_5),window_and2,2,1.0,845,,,0.2488757821470664,,
WINDOW_HAS(vol_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.2511545679412018,,
WINDOW_HAS(vol_ratio5_gt_1_5) AND WINDOW_HAS(vol_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.2511545679412018,,
WINDOW_HAS(money_ratio5_gt_1_5) AND WINDOW_HAS(vol_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.2511545679412018,,
WINDOW_HAS(vol_ratio10_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.2511545679412018,,
WINDOW_HAS(vol_ratio10_gt_1_5) AND WINDOW_HAS(vol_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.2511545679412018,,
WINDOW_HAS(vol_ratio20_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_5),window_and2,2,1.0,845,,,0.2511545679412018,,
WINDOW_HAS(vol_ratio5_gt_1_2) AND WINDOW_HAS(money_ratio10_gt_1_2),window_and2,2,1.0,845,,,0.25130884755656496,,
WINDOW_HAS(vol_ratio5_gt_1_5) AND WINDOW_HAS(money_ratio10_gt_1_2),window_and2,2,1.0,845,,,0.25130884755656496,,
WINDOW_HAS(money_ratio5_gt_1_5) AND WINDOW_HAS(money_ratio10_gt_1_2),window_and2,2,1.0,845,,,0.25130884755656496,,
WINDOW_HAS(vol_ratio10_gt_1_2) AND WINDOW_HAS(money_ratio10_gt_1_2),window_and2,2,1.0,845,,,0.25130884755656496,,
WINDOW_HAS(money_ratio10_gt_1_2) AND WINDOW_HAS(vol_ratio10_gt_1_5),window_and2,2,1.0,845,,,0.25130884755656496,,
WINDOW_HAS(money_ratio10_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.25130884755656496,,
WINDOW_HAS(money_ratio10_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_5),window_and2,2,1.0,845,,,0.25130884755656496,,
WINDOW_HAS(vol_ratio5_gt_1_2) AND WINDOW_HAS(money_ratio5_gt_1_2),window_and2,2,1.0,845,,,0.25147577304203994,,
WINDOW_HAS(money_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio5_gt_1_5),window_and2,2,1.0,845,,,0.25147577304203994,,
WINDOW_HAS(money_ratio5_gt_1_2) AND WINDOW_HAS(money_ratio5_gt_1_5),window_and2,2,1.0,845,,,0.25147577304203994,,
WINDOW_HAS(money_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio10_gt_1_2),window_and2,2,1.0,845,,,0.25147577304203994,,
WINDOW_HAS(money_ratio5_gt_1_2) AND WINDOW_HAS(money_ratio10_gt_1_2),window_and2,2,1.0,845,,,0.25147577304203994,,
WINDOW_HAS(money_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio10_gt_1_5),window_and2,2,1.0,845,,,0.25147577304203994,,
WINDOW_HAS(money_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.25147577304203994,,
WINDOW_HAS(money_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_5),window_and2,2,1.0,845,,,0.25147577304203994,,
WINDOW_HAS(vol_ratio5_gt_1_2) AND WINDOW_HAS(money_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.2570273100210933,,
WINDOW_HAS(money_ratio5_gt_1_2) AND WINDOW_HAS(money_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.2570273100210933,,
WINDOW_HAS(vol_ratio5_gt_1_5) AND WINDOW_HAS(money_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.2570273100210933,,
WINDOW_HAS(money_ratio5_gt_1_5) AND WINDOW_HAS(money_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.2570273100210933,,
WINDOW_HAS(vol_ratio10_gt_1_2) AND WINDOW_HAS(money_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.2570273100210933,,
WINDOW_HAS(money_ratio10_gt_1_2) AND WINDOW_HAS(money_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.2570273100210933,,
WINDOW_HAS(vol_ratio10_gt_1_5) AND WINDOW_HAS(money_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.2570273100210933,,
WINDOW_HAS(vol_ratio20_gt_1_2) AND WINDOW_HAS(money_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.2570273100210933,,
WINDOW_HAS(money_ratio20_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_5),window_and2,2,1.0,845,,,0.2570273100210933,,
WINDOW_HAS(vol_ratio5_gt_1_2) AND WINDOW_HAS(money_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39936669482480414,,
WINDOW_HAS(money_ratio5_gt_1_2) AND WINDOW_HAS(money_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39936669482480414,,
WINDOW_HAS(vol_ratio5_gt_1_5) AND WINDOW_HAS(money_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39936669482480414,,
WINDOW_HAS(money_ratio5_gt_1_5) AND WINDOW_HAS(money_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39936669482480414,,
WINDOW_HAS(vol_ratio10_gt_1_2) AND WINDOW_HAS(money_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39936669482480414,,
WINDOW_HAS(money_ratio10_gt_1_2) AND WINDOW_HAS(money_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39936669482480414,,
WINDOW_HAS(vol_ratio10_gt_1_5) AND WINDOW_HAS(money_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39936669482480414,,
WINDOW_HAS(money_ratio20_gt_1_0) AND WINDOW_HAS(vol_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.39936669482480414,,
WINDOW_HAS(money_ratio20_gt_1_0) AND WINDOW_HAS(money_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.39936669482480414,,
WINDOW_HAS(money_ratio20_gt_1_0) AND WINDOW_HAS(vol_ratio20_gt_1_5),window_and2,2,1.0,845,,,0.39936669482480414,,
WINDOW_HAS(vol_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39947039095972037,,
WINDOW_HAS(money_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39947039095972037,,
WINDOW_HAS(vol_ratio5_gt_1_5) AND WINDOW_HAS(vol_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39947039095972037,,
WINDOW_HAS(money_ratio5_gt_1_5) AND WINDOW_HAS(vol_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39947039095972037,,
WINDOW_HAS(vol_ratio10_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39947039095972037,,
WINDOW_HAS(money_ratio10_gt_1_2) AND WINDOW_HAS(vol_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39947039095972037,,
WINDOW_HAS(vol_ratio10_gt_1_5) AND WINDOW_HAS(vol_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39947039095972037,,
WINDOW_HAS(vol_ratio20_gt_1_0) AND WINDOW_HAS(money_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.39947039095972037,,
WINDOW_HAS(vol_ratio20_gt_1_0) AND WINDOW_HAS(vol_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.39947039095972037,,
WINDOW_HAS(vol_ratio20_gt_1_0) AND WINDOW_HAS(money_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.39947039095972037,,
WINDOW_HAS(vol_ratio20_gt_1_0) AND WINDOW_HAS(vol_ratio20_gt_1_5),window_and2,2,1.0,845,,,0.39947039095972037,,
WINDOW_HAS(vol_ratio5_gt_1_2) AND WINDOW_HAS(money_ratio10_gt_1_0),window_and2,2,1.0,845,,,0.40617017294491964,,
WINDOW_HAS(money_ratio5_gt_1_2) AND WINDOW_HAS(money_ratio10_gt_1_0),window_and2,2,1.0,845,,,0.40617017294491964,,
WINDOW_HAS(vol_ratio5_gt_1_5) AND WINDOW_HAS(money_ratio10_gt_1_0),window_and2,2,1.0,845,,,0.40617017294491964,,
WINDOW_HAS(money_ratio5_gt_1_5) AND WINDOW_HAS(money_ratio10_gt_1_0),window_and2,2,1.0,845,,,0.40617017294491964,,
WINDOW_HAS(money_ratio10_gt_1_0) AND WINDOW_HAS(vol_ratio10_gt_1_2),window_and2,2,1.0,845,,,0.40617017294491964,,
WINDOW_HAS(money_ratio10_gt_1_0) AND WINDOW_HAS(money_ratio10_gt_1_2),window_and2,2,1.0,845,,,0.40617017294491964,,
WINDOW_HAS(money_ratio10_gt_1_0) AND WINDOW_HAS(vol_ratio10_gt_1_5),window_and2,2,1.0,845,,,0.40617017294491964,,
WINDOW_HAS(money_ratio10_gt_1_0) AND WINDOW_HAS(vol_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.40617017294491964,,
WINDOW_HAS(money_ratio10_gt_1_0) AND WINDOW_HAS(money_ratio20_gt_1_0),window_and2,2,1.0,845,,,0.40617017294491964,,
WINDOW_HAS(money_ratio10_gt_1_0) AND WINDOW_HAS(vol_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.40617017294491964,,
WINDOW_HAS(money_ratio10_gt_1_0) AND WINDOW_HAS(money_ratio20_gt_1_2),window_and2,2,1.0,845,,,0.40617017294491964,,
WINDOW_HAS(money_ratio10_gt_1_0) AND WINDOW_HAS(vol_ratio20_gt_1_5),window_and2,2,1.0,845,,,0.40617017294491964,,
WINDOW_HAS(vol_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio10_gt_1_0),window_and2,2,1.0,845,,,0.4067341787519032,,
WINDOW_HAS(money_ratio5_gt_1_2) AND WINDOW_HAS(vol_ratio10_gt_1_0),window_and2,2,1.0,845,,,0.4067341787519032,,
WINDOW_HAS(vol_ratio5_gt_1_5) AND WINDOW_HAS(vol_ratio10_gt_1_0),window_and2,2,1.0,845,,,0.4067341787519032,,
