condition,kind,n_terms,coverage_pre60_excl_t0,covered_events_excl_t0,coverage_pre60_to_t0,covered_events_to_t0,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset
money_ratio10_gt_1_2 AND money_ratio5_gt_1_5 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11070953448022945,-6.0,-54.0
money_ratio20_gt_1_0 AND money_ratio5_gt_1_5 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11070953448022945,-6.0,-53.0
money_ratio5_gt_1_5 AND vol_ratio10_gt_1_2 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.1108916350098385,-6.0,-54.0
money_ratio5_gt_1_5 AND vol_ratio20_gt_1_0 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11131653624559291,-6.0,-54.0
money_ratio10_gt_1_2 AND money_ratio20_gt_1_0 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11142276155453153,-6.0,-54.0
money_ratio20_gt_1_0 AND vol_ratio10_gt_1_2 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11173132078525795,-5.0,-54.0
money_ratio10_gt_1_2 AND vol_ratio20_gt_1_0 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.1120145882757609,-6.0,-54.0
vol_ratio10_gt_1_2 AND vol_ratio20_gt_1_0 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11244960620760472,-5.0,-54.0
money_ratio10_gt_1_2 AND vol_ratio10_gt_1_2 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11370407652268923,-5.0,-54.0
money_ratio10_gt_1_2 AND money_ratio20_gt_0_8 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11376983504727026,-5.0,-54.0
money_ratio20_gt_0_8 AND money_ratio5_gt_1_5 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11382041852771722,-5.0,-54.0
money_ratio10_gt_1_0 AND money_ratio5_gt_1_5 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11383812274587365,-5.0,-54.0
money_ratio10_gt_1_2 AND vol_ratio20_gt_0_8 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11385835613805244,-5.0,-54.0
money_ratio5_gt_1_5 AND vol_ratio10_gt_1_0 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11388111870425356,-5.0,-54.0
money_ratio5_gt_1_5 AND vol_ratio20_gt_0_8 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11393928970676756,-5.0,-54.0
money_ratio10_gt_1_0 AND money_ratio20_gt_1_0 AND vol_ratio5_gt_1_5,and3,3,1.0,845,1.0,845.0,0.11399240236123687,-5.0,-54.0
