split,event_count,covered_pre60_excl_t0,coverage_pre60_excl_t0,covered_pre60_to_t0,coverage_pre60_to_t0
robustness,241,210,0.8713692946058091,210,0.8713692946058091
train,446,384,0.8609865470852018,385,0.8632286995515696
validation,158,125,0.7911392405063291,125,0.7911392405063291
