condition,kind,n_terms,coverage_pre60_excl_t0,covered_events_excl_t0,coverage_pre60_to_t0,covered_events_to_t0,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset
volume_breakout: at_least_3_of_9,kof,3,1.0,845,1.0,845.0,0.4953412614508354,-1.0,-59.0
volume_breakout: at_least_2_of_9,kof,2,1.0,845,1.0,845.0,0.6217114414774423,0.0,-60.0
no_volume_continuation: at_least_2_of_10,kof,2,1.0,845,1.0,845.0,0.8119938490487777,0.0,-60.0
broad_trend_position_strength: at_least_2_of_14,kof,2,1.0,845,1.0,845.0,0.84194432782142,0.0,-60.0
strong_quality: at_least_2_of_10,kof,2,0.9988165680473373,844,0.9988165680473373,844.0,0.6863697753587633,0.0,-60.0
no_volume_continuation: at_least_3_of_10,kof,3,0.9988165680473373,844,0.9988165680473373,844.0,0.7467740385344954,0.0,-60.0
broad_trend_position_strength: at_least_3_of_14,kof,3,0.9988165680473373,844,0.9988165680473373,844.0,0.7794560252512734,0.0,-60.0
volume_breakout: at_least_4_of_9,kof,4,0.9976331360946745,843,0.9976331360946745,843.0,0.36259756288791206,-2.0,-57.0
broad_trend_position_strength: at_least_4_of_14,kof,4,0.9976331360946745,843,0.9976331360946745,843.0,0.7300612565948212,0.0,-60.0
medium_strength_trend: at_least_2_of_10,kof,2,0.9976331360946745,843,0.9976331360946745,843.0,0.7380053921990156,0.0,-60.0
strong_quality: at_least_3_of_10,kof,3,0.991715976331361,838,0.991715976331361,838.0,0.6036480806098344,-1.0,-60.0
medium_strength_trend: at_least_3_of_10,kof,3,0.991715976331361,838,0.991715976331361,838.0,0.6681141972654571,0.0,-60.0
no_volume_continuation: at_least_4_of_10,kof,4,0.991715976331361,838,0.991715976331361,838.0,0.6733875251020521,0.0,-60.0
broad_trend_position_strength: at_least_5_of_14,kof,5,0.9893491124260355,836,0.9893491124260355,836.0,0.6821966382218895,0.0,-60.0
strong_quality: at_least_4_of_10,kof,4,0.9857988165680474,833,0.98698224852071,834.0,0.529882191074039,-2.0,-60.0
medium_strength_trend: at_least_4_of_10,kof,4,0.9857988165680474,833,0.9857988165680474,833.0,0.5946543377863658,-1.0,-60.0
volume_breakout: at_least_5_of_9,kof,5,0.9822485207100592,830,0.9822485207100592,830.0,0.25356739995852157,-6.0,-54.0
strong_quality: at_least_5_of_10,kof,5,0.978698224852071,827,0.978698224852071,827.0,0.45142721290081084,-3.0,-58.0
broad_trend_position_strength: at_least_6_of_14,kof,6,0.9621301775147929,813,0.9633136094674556,814.0,0.6334721006813595,0.0,-60.0
no_volume_continuation: at_least_5_of_10,kof,5,0.9609467455621302,812,0.9621301775147929,813.0,0.5974591917771495,-1.0,-60.0
broad_trend_position_strength: at_least_7_of_14,kof,7,0.9585798816568047,810,0.9597633136094674,811.0,0.594932546928824,-1.0,-60.0
volume_breakout: at_least_6_of_9,kof,6,0.9550295857988166,807,0.9562130177514793,808.0,0.1425037811151634,-10.0,-51.0
medium_strength_trend: at_least_5_of_10,kof,5,0.9491124260355029,802,0.9491124260355029,802.0,0.5101799254399498,-1.0,-60.0
broad_trend_position_strength: at_least_8_of_14,kof,8,0.9467455621301775,800,0.9479289940828403,801.0,0.5541167365561754,-1.0,-60.0
no_volume_continuation: at_least_6_of_10,kof,6,0.9266272189349113,783,0.9420118343195266,796.0,0.5205798890198439,-1.0,-60.0
broad_trend_position_strength: at_least_9_of_14,kof,9,0.9254437869822485,782,0.927810650887574,784.0,0.5130353629111805,-1.0,-60.0
strong_quality: at_least_6_of_10,kof,6,0.901775147928994,762,0.9124260355029585,771.0,0.37355900310076734,-3.0,-56.0
volume_breakout: at_least_7_of_9,kof,7,0.8982248520710059,759,0.9005917159763314,761.0,0.10431578255173425,-12.0,-48.0
medium_strength_trend: at_least_6_of_10,kof,6,0.8946745562130177,756,0.8982248520710059,759.0,0.43131775024912367,-3.0,-58.0
no_volume_continuation: at_least_7_of_10,kof,7,0.8828402366863906,746,0.901775147928994,762.0,0.43858659638935116,-2.0,-58.0
strong_quality: at_least_7_of_10,kof,7,0.8390532544378698,709,0.8520710059171598,720.0,0.2941378804510023,-5.0,-54.0
medium_strength_trend: at_least_7_of_10,kof,7,0.8390532544378698,709,0.8579881656804734,725.0,0.36551117136165673,-3.0,-56.0
no_volume_continuation: at_least_8_of_10,kof,8,0.8366863905325443,707,0.855621301775148,723.0,0.3621119614756213,-3.0,-56.0
