condition,kind,n_terms,coverage_pre60_excl_t0,covered_events_excl_t0,coverage_pre60_to_t0,covered_events_to_t0,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset
vol_ratio5_gt_1_5,single,1,1.0,845,1.0,845.0,0.11847662790285948,-5.0,-54.0
vol_ratio10_gt_1_5,single,1,1.0,845,1.0,845.0,0.12135735711431361,-6.0,-53.0
money_ratio5_gt_1_5,single,1,1.0,845,1.0,845.0,0.12265229421375567,-5.0,-54.0
vol_ratio20_gt_1_5,single,1,1.0,845,1.0,845.0,0.12929390519644093,-6.0,-52.0
vol_ratio10_gt_1_2,single,1,1.0,845,1.0,845.0,0.24747714891270808,-2.0,-58.0
vol_ratio5_gt_1_2,single,1,1.0,845,1.0,845.0,0.2488757821470664,-1.0,-58.0
vol_ratio20_gt_1_2,single,1,1.0,845,1.0,845.0,0.2511545679412018,-2.0,-57.0
money_ratio10_gt_1_2,single,1,1.0,845,1.0,845.0,0.25130884755656496,-2.0,-57.0
money_ratio5_gt_1_2,single,1,1.0,845,1.0,845.0,0.25147577304203994,-1.0,-58.0
money_ratio20_gt_1_2,single,1,1.0,845,1.0,845.0,0.2570273100210933,-2.0,-57.0
money_ratio20_gt_1_0,single,1,1.0,845,1.0,845.0,0.39936669482480414,0.0,-59.0
vol_ratio20_gt_1_0,single,1,1.0,845,1.0,845.0,0.39947039095972037,0.0,-59.0
money_ratio10_gt_1_0,single,1,1.0,845,1.0,845.0,0.40617017294491964,0.0,-59.0
vol_ratio10_gt_1_0,single,1,1.0,845,1.0,845.0,0.4067341787519032,0.0,-59.0
money_ratio5_gt_1_0,single,1,1.0,845,1.0,845.0,0.4165321989144785,0.0,-59.0
vol_ratio5_gt_1_0,single,1,1.0,845,1.0,845.0,0.417736085749116,0.0,-59.0
close_ma5_gt_0,single,1,1.0,845,1.0,845.0,0.4894457568047427,-2.0,-59.0
close_ema5_gt_0,single,1,1.0,845,1.0,845.0,0.49007299196228493,-2.0,-59.0
ret5_gt_0,single,1,1.0,845,1.0,845.0,0.49307765070083415,-2.0,-59.0
