artifact_key,artifact_role,required_flag,resolver_alias,resolved_path,relative_path,source_experiment_id,source_phase_id,row_count,sha256,schema_status,read_status,absolute_path_mismatch_ignored,blocking_reason
requirement,local_contract,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/requirement_17a_oracle_replay_contract_preflight.md,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/requirement_17a_oracle_replay_contract_preflight.md,17_oracle_action_value_upper_bound_diagnostic,17A,1203,fe530bcc9f0dd18e604399b4ea320e556321e3b175875122e1754417b3338328,pass,pass,False,
research_plan,local_contract,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/research_plan.md,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/research_plan.md,17_oracle_action_value_upper_bound_diagnostic,17A,1152,6ca172e3c2587e2042b3a914537208e45523ec53e9d0c139ab4bcd139a8259b7,pass,pass,False,
research_conclusions,local_contract,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/research_conclusions.md,research_conclusions.md,17_oracle_action_value_upper_bound_diagnostic,17A,232,a3c296ae4a55ac15b25d054d1ab9a609d4cb9c78b123db7d3889d87586b4d066,pass,pass,False,
stock_daily_qfq_dir,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,data/raw/akshare/day/qfq,17_oracle_action_value_upper_bound_diagnostic,17A,4598,,pass,pass,False,
upstream_16b_decision,upstream_decision,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/sequential_continuation_label_decision.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/sequential_continuation_label_decision.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16B,1,1b3f820fe4aeb4c4da7aa0b68e6d3ec2abe6f35b216f26a657ba9131c486e3ef,pass,pass,False,
upstream_16b_base_rate_readout,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_base_rate_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_base_rate_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16B,135,50c7afd6007d62e462fb023f89ae21dee3d07911aed9201e5ec2d5ebee6ac947,pass,pass,False,
upstream_16b_step_materialization_audit,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/step_materialization_audit.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/step_materialization_audit.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16B,45,7973e0248154b30996411eca80dedb0df7cfc0e5be33c3fdb8d374ea79cf0beb,pass,pass,False,
upstream_16b_qfq_price_source_audit,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/qfq_price_source_audit.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/qfq_price_source_audit.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16B,788,fa42a4364b06a35e71e6577573f27737eac9491179cd8e2106c4abeb3c496cf5,pass,pass,False,
upstream_16b_manifest,upstream_manifest,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16B_sequential_continuation_label_design_diagnostic_manifest.json,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16B_sequential_continuation_label_design_diagnostic_manifest.json,16_winner_episode_sequential_sampling_geometry_preflight_v0,16B,53,dd3cd7e717901c46d482d06b08a6ad515cb3bb5b91606d1df241a41488263ecd,pass,pass,False,
upstream_16d_decision,upstream_decision,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/sequential_continuation_policy_preflight_decision.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/sequential_continuation_policy_preflight_decision.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16D,1,cc2b1829e34e70cd6aac2bf6abf9c6001aa2d890f06683e0c9c08d05b2b5ef67,pass,pass,False,
