split_bucket,labelable_step_n,delay_k_sessions,materialized_step_n,missing_t0_plus_k_price_n,missing_original_h20_endpoint_n,restart_h20_at_t0_plus_k,partial_tail_fill_used,delayed_materialization_gate,blocking_reason
train,20245,3,20245,0,0,False,False,pass,
train,20245,5,20245,0,0,False,False,pass,
train,20245,10,20245,0,0,False,False,pass,
robustness,2496,3,2496,0,0,False,False,pass,
robustness,2496,5,2496,0,0,False,False,pass,
robustness,2496,10,2496,0,0,False,False,pass,
validation,664,3,664,0,0,False,False,pass,
validation,664,5,664,0,0,False,False,pass,
validation,664,10,664,0,0,False,False,pass,
