split_bucket,cost_bps,six_cell_incremental_return_sum,full_denominator_sum_incremental_return,abs_diff,tolerance,required_cell_count,observed_cell_count,six_cell_sanity_gate,blocking_reason
train,50,-46.89255047301901,-46.892550473019,7.105427357601002e-15,1e-09,6,6,pass,
robustness,50,-13.800725397673018,-13.800725397673018,0.0,1e-09,6,6,pass,
validation,50,-3.858969531410983,-3.85896953141098,2.6645352591003757e-15,1e-09,6,6,pass,
