instrument,signal_date,order_date,deal_date,entry_type,amount,entry_price,entry_value,entry_cost,exit_signal_date,exit_date,exit_price,exit_value,exit_cost,gross_pnl,net_pnl,initial_stop,current_stop,R,exit_reason,holding_days,cost_before_return,cost_after_return
SH601689,2025-03-06,2025-03-07,2025-03-07,ema_state,100,62.619998931884766,6261.999893188477,5.0,2025-03-11,2025-03-12,59.709999084472656,5970.999908447266,8.9564998626709,-290.99998474121094,-304.956484603882,57.61039901733399,57.61039901733399,5.009599914550776,ema60_exit,5,-0.04647077446579769,-0.04866068131504763
SH603986,2025-03-06,2025-03-07,2025-03-07,ema_state,300,135.9600067138672,40788.002014160156,20.394001007080078,2025-03-13,2025-03-14,123.61000061035156,37083.00018310547,55.6245002746582,-3705.0018310546875,-3781.020332336426,125.08320617675781,125.08320617675781,10.876800537109375,stop_loss,7,-0.09083558027109152,-0.09265300040048464
SZ002558,2025-03-06,2025-03-07,2025-03-07,ema_state,2900,16.200000762939453,46980.002212524414,23.49000110626221,2025-03-17,2025-03-18,15.890000343322754,46081.000995635986,69.12150149345398,-899.0012168884277,-991.6127194881468,14.904000701904298,14.904000701904298,1.296000061035155,time_stop,11,-0.019135827470198857,-0.021096575441272983
SZ002050,2025-03-06,2025-03-07,2025-03-07,ema_state,1500,31.190000534057617,46785.000801086426,23.392500400543213,2025-03-17,2025-03-18,31.040000915527344,46560.001373291016,69.84000205993652,-224.99942779541016,-318.2319302558899,28.69480049133301,28.69480049133301,2.4952000427246084,time_stop,11,-0.004809221415898433,-0.006798608279634767
SZ002236,2025-03-17,2025-03-18,2025-03-18,ema_state,2500,18.40999984741211,46024.99961853027,23.012499809265137,2025-03-24,2025-03-25,16.860000610351562,42150.001525878906,63.22500228881836,-3874.998092651367,-3961.2355947494507,16.93719985961914,16.93719985961914,1.4727999877929676,stop_loss,7,-0.08419333242299999,-0.08602403040916091
SH603986,2025-03-14,2025-03-17,2025-03-17,ema_state,300,128.9199981689453,38675.999450683594,19.3379997253418,2025-03-25,2025-03-26,118.97000122070312,35691.00036621094,53.53650054931641,-2984.9990844726562,-3057.873584747313,118.60639831542969,118.60639831542969,10.313599853515626,ema60_exit,9,-0.07717962371674139,-0.07902434211011118
SZ000559,2025-03-20,2025-03-21,2025-03-21,ema_state,6500,7.230000019073486,46995.00012397766,23.49750006198883,2025-03-25,2025-03-26,6.579999923706055,42769.999504089355,64.15499925613403,-4225.000619888306,-4312.6531192064285,6.651600017547608,6.651600017547608,0.5784000015258783,stop_loss,5,-0.08990319414283048,-0.09172247811255994
SZ000425,2025-03-14,2025-03-17,2025-03-17,ema_state,5200,9.0600004196167,47112.002182006836,23.55600109100342,2025-03-27,2025-03-28,8.460000038146973,43992.00019836426,65.98800029754639,-3120.001983642578,-3209.5459850311295,8.335200386047363,8.335200386047363,0.7248000335693359,time_stop,11,-0.06622520460049942,-0.06809182088315713
SZ000807,2025-03-14,2025-03-17,2025-03-17,ema_state,2600,17.84000015258789,46384.000396728516,23.19200019836426,2025-03-27,2025-03-28,17.049999237060547,44329.99801635742,66.49499702453613,-2054.0023803710938,-2143.6893775939943,16.41280014038086,16.41280014038086,1.427200012207031,time_stop,11,-0.04428256215080499,-0.046193041786685436
SZ000338,2025-03-14,2025-03-17,2025-03-17,ema_state,3000,15.380000114440918,46140.000343322754,23.070000171661377,2025-03-27,2025-03-28,15.229999542236328,45689.998626708984,68.53499794006348,-450.00171661376953,-541.6067147254944,14.149600105285645,14.149600105285645,1.2304000091552734,time_stop,11,-0.009752963009652263,-0.01173246733147205
SZ000157,2025-03-14,2025-03-17,2025-03-17,ema_state,1300,7.659999847412109,9957.999801635742,5.0,2025-03-27,2025-03-28,7.159999847412109,9307.999801635742,13.961999702453614,-650.0,-668.9619997024529,7.047199859619141,7.047199859619141,0.6127999877929682,time_stop,11,-0.06527415273629834,-0.06714463645704595
