instrument,stock_ts_code,industry_target_key,industry_ts_code,industry_name,source,source_trade_date,weight
SH600000,600000.SH,sw_801780,801780.SI,银行,tushare.index_member,20260430,
SH600004,600004.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600006,600006.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600007,600007.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600008,600008.SH,sw_801970,801970.SI,环保,tushare.index_member,20260430,
SH600009,600009.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600010,600010.SH,sw_801040,801040.SI,钢铁,tushare.index_member,20260430,
SH600011,600011.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600012,600012.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600015,600015.SH,sw_801780,801780.SI,银行,tushare.index_member,20260430,
SH600016,600016.SH,sw_801780,801780.SI,银行,tushare.index_member,20260430,
SH600017,600017.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600018,600018.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600019,600019.SH,sw_801040,801040.SI,钢铁,tushare.index_member,20260430,
SH600020,600020.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600021,600021.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600022,600022.SH,sw_801040,801040.SI,钢铁,tushare.index_member,20260430,
SH600023,600023.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600025,600025.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600026,600026.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600027,600027.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600028,600028.SH,sw_801960,801960.SI,石油石化,tushare.index_member,20260430,
SH600029,600029.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600030,600030.SH,sw_801790,801790.SI,非银金融,tushare.index_member,20260430,
SH600031,600031.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600032,600032.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600033,600033.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600035,600035.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600036,600036.SH,sw_801780,801780.SI,银行,tushare.index_member,20260430,
SH600037,600037.SH,sw_801760,801760.SI,传媒,tushare.index_member,20260430,
SH600038,600038.SH,sw_801740,801740.SI,国防军工,tushare.index_member,20260430,
SH600039,600039.SH,sw_801720,801720.SI,建筑装饰,tushare.index_member,20260430,
SH600048,600048.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600050,600050.SH,sw_801770,801770.SI,通信,tushare.index_member,20260430,
SH600051,600051.SH,sw_801230,801230.SI,综合,tushare.index_member,20260430,
SH600052,600052.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600053,600053.SH,sw_801790,801790.SI,非银金融,tushare.index_member,20260430,
SH600054,600054.SH,sw_801210,801210.SI,社会服务,tushare.index_member,20260430,
SH600055,600055.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600056,600056.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600057,600057.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600058,600058.SH,sw_801200,801200.SI,商贸零售,tushare.index_member,20260430,
SH600059,600059.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600060,600060.SH,sw_801110,801110.SI,家用电器,tushare.index_member,20260430,
SH600061,600061.SH,sw_801790,801790.SI,非银金融,tushare.index_member,20260430,
SH600062,600062.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600063,600063.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600064,600064.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600066,600066.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600067,600067.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600071,600071.SH,sw_801080,801080.SI,电子,tushare.index_member,20260430,
SH600072,600072.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600073,600073.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600075,600075.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600076,600076.SH,sw_801140,801140.SI,轻工制造,tushare.index_member,20260430,
SH600078,600078.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
