target_type,target_key,ts_code,status,source,rows,start,end,error
market,broad_market,000300.SH,ok,tushare.index_daily,2263,2017-01-03,2026-04-30,
market,mid_cap_spread,000905.SH,ok,tushare.index_daily,2263,2017-01-03,2026-04-30,
market,small_cap_spread,000852.SH,ok,tushare.index_daily,2263,2017-01-03,2026-04-30,
market,growth_board_spread,399006.SZ,ok,tushare.index_daily,2263,2017-01-03,2026-04-30,
industry,sw_801010,801010.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801030,801030.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801040,801040.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801050,801050.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801080,801080.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801110,801110.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801120,801120.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801130,801130.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801140,801140.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801150,801150.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801160,801160.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801170,801170.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801180,801180.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801200,801200.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801210,801210.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801230,801230.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801710,801710.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801720,801720.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801730,801730.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801740,801740.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801750,801750.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801760,801760.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801770,801770.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801780,801780.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801790,801790.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801880,801880.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801890,801890.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801950,801950.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801960,801960.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801970,801970.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
industry,sw_801980,801980.SI,ok,tushare.sw_daily,2263,2017-01-03,2026-04-30,
theme,dividend,000922.SH,ok,tushare.index_daily,409,2017-01-03,2024-01-08,
theme,central_soe,000926.SH,ok,tushare.index_daily,2263,2017-01-03,2026-04-30,
theme,ai,930713.CSI,ok,tushare.index_daily,2263,2017-01-03,2026-04-30,
theme,new_energy,000941.SH,ok,tushare.index_daily,2263,2017-01-03,2026-04-30,
