target_key,name,ts_code,akshare_api,akshare_symbol,target_type
dividend,中证红利指数,000922.SH,stock_zh_index_hist_csindex,000922,theme
central_soe,中证中央企业综合指数,000926.SH,stock_zh_index_hist_csindex,000926,theme
ai,中证人工智能主题指数,930713.CSI,stock_zh_index_hist_csindex,930713,theme
new_energy,中证内地新能源主题指数,000941.SH,stock_zh_index_hist_csindex,000941,theme
