family,split,instrument_segment,decile,event_count,mean_label_self_relative_H3,state_decile_monotonicity_score,middle_state_violently_inverted_flag
volume_price_correlation,train,all_instrument,1,2667,-0.0025409863655170926,0.5757575757575757,False
volume_price_correlation,train,all_instrument,2,2792,-0.003665596711395607,0.5757575757575757,False
volume_price_correlation,train,all_instrument,3,2860,-0.0019523497554877777,0.5757575757575757,False
volume_price_correlation,train,all_instrument,4,2858,-0.0011295194001251661,0.5757575757575757,False
volume_price_correlation,train,all_instrument,5,2914,-0.0017453185568892435,0.5757575757575757,False
volume_price_correlation,train,all_instrument,6,2940,-0.0005252996108093872,0.5757575757575757,False
volume_price_correlation,train,all_instrument,7,2923,0.0007338276760681314,0.5757575757575757,False
volume_price_correlation,train,all_instrument,8,2889,-0.0009307107389952509,0.5757575757575757,False
volume_price_correlation,train,all_instrument,9,2904,-5.819493323606582e-05,0.5757575757575757,False
volume_price_correlation,train,all_instrument,10,2787,-0.0024988405782101625,0.5757575757575757,False
volume_price_correlation,train,seen_instrument,1,1628,-0.0020208843803405283,0.35757575757575755,False
volume_price_correlation,train,seen_instrument,2,1668,-0.003059792119818503,0.35757575757575755,False
volume_price_correlation,train,seen_instrument,3,1705,-0.0018049856571845445,0.35757575757575755,False
volume_price_correlation,train,seen_instrument,4,1716,-0.0020433303721421954,0.35757575757575755,False
volume_price_correlation,train,seen_instrument,5,1729,-0.0013535841664240429,0.35757575757575755,False
volume_price_correlation,train,seen_instrument,6,1751,-0.0006205599515240321,0.35757575757575755,False
volume_price_correlation,train,seen_instrument,7,1757,0.00024160116476642563,0.35757575757575755,False
volume_price_correlation,train,seen_instrument,8,1778,-0.0005843987567174166,0.35757575757575755,False
volume_price_correlation,train,seen_instrument,9,1736,3.8416999627093116e-05,0.35757575757575755,False
volume_price_correlation,train,seen_instrument,10,1671,-0.0034933455625266435,0.35757575757575755,False
volume_price_correlation,train,unseen_instrument,1,1039,-0.0033559296108178114,0.5878787878787878,False
volume_price_correlation,train,unseen_instrument,2,1124,-0.0045646021017431235,0.5878787878787878,False
volume_price_correlation,train,unseen_instrument,3,1155,-0.0021698872339354085,0.5878787878787878,False
volume_price_correlation,train,unseen_instrument,4,1142,0.0002435976121175854,0.5878787878787878,False
volume_price_correlation,train,unseen_instrument,5,1185,-0.0023168871316692707,0.5878787878787878,False
volume_price_correlation,train,unseen_instrument,6,1189,-0.00038501293579564183,0.5878787878787878,False
volume_price_correlation,train,unseen_instrument,7,1166,0.0014755446403538063,0.5878787878787878,False
volume_price_correlation,train,unseen_instrument,8,1111,-0.0014849345954218844,0.5878787878787878,False
volume_price_correlation,train,unseen_instrument,9,1168,-0.00020178938139569233,0.5878787878787878,False
volume_price_correlation,train,unseen_instrument,10,1116,-0.0010097565022309145,0.5878787878787878,False
volume_price_correlation,validation,all_instrument,1,1822,-0.0026916378150847885,0.709090909090909,False
volume_price_correlation,validation,all_instrument,2,1989,-0.003247529913485982,0.709090909090909,False
volume_price_correlation,validation,all_instrument,3,1947,-0.0030611375308171665,0.709090909090909,False
volume_price_correlation,validation,all_instrument,4,2163,-0.002086180907155017,0.709090909090909,False
