family,split,instrument_segment,valid_instrument_count,positive_instrument_count,positive_instrument_share,median_within_stock_rankIC,mean_instrument_high_minus_low_spread,median_instrument_high_minus_low_spread
volume_price_correlation,train,all_instrument,149,78,0.5234899328859061,0.02425219570292602,0.0014008931928317918,0.0005099096297984081
volume_price_correlation,train,seen_instrument,89,43,0.48314606741573035,0.02376404027798676,0.0006764677757055323,-0.0004415688691307145
volume_price_correlation,train,unseen_instrument,60,35,0.5833333333333334,0.025004090393365434,0.0024754575615690767,0.002650823391404159
volume_price_correlation,validation,all_instrument,178,97,0.5449438202247191,0.020653654161962673,0.0015269971747700754,0.0010111260258811288
volume_price_correlation,validation,seen_instrument,104,57,0.5480769230769231,0.012483383647340895,0.0007921833242892913,0.0008892281279694234
volume_price_correlation,validation,unseen_instrument,33,18,0.5454545454545454,0.02466727235165959,0.0024367822333507317,0.0014548179618507399
volume_price_correlation,robustness,all_instrument,183,153,0.8360655737704918,0.08395839400469939,0.008897149021980563,0.009230783469110984
volume_price_correlation,robustness,seen_instrument,113,94,0.831858407079646,0.08417868250063892,0.008524051409315779,0.008978306907053358
volume_price_correlation,robustness,unseen_instrument,37,32,0.8648648648648649,0.09980237433882978,0.011578324539797392,0.010421043165022976
volume_surge_money_flow,train,all_instrument,148,116,0.7837837837837838,0.035894755192428754,0.006843710212758939,0.005897322684882885
volume_surge_money_flow,train,seen_instrument,90,70,0.7777777777777778,0.034967147175912504,0.006529365785675213,0.005422228697344085
volume_surge_money_flow,train,unseen_instrument,58,46,0.7931034482758621,0.03622074361247085,0.00733148604788886,0.007698087343591102
volume_surge_money_flow,validation,all_instrument,124,74,0.5967741935483871,0.024960312147351907,0.0018262750060637004,0.002774439065711478
volume_surge_money_flow,validation,seen_instrument,74,48,0.6486486486486487,0.033784085330477075,0.0028469958783932338,0.003411892781980806
volume_surge_money_flow,validation,unseen_instrument,24,12,0.5,-0.017296890640042334,-0.0012960767526346596,-0.000963873070058266
volume_surge_money_flow,robustness,all_instrument,162,61,0.3765432098765432,-0.01051732814629264,-0.0031479127204799536,-0.0024142277320698966
volume_surge_money_flow,robustness,seen_instrument,99,34,0.3434343434343434,-0.011857439313320253,-0.003164828323444667,-0.0022057626162960264
volume_surge_money_flow,robustness,unseen_instrument,34,14,0.4117647058823529,-0.01435106388994125,-0.004557184369024046,-0.00341883641808922
vwap_deviation,train,all_instrument,141,99,0.7021276595744681,0.06882070097387626,0.005041643793675749,0.0052629104247485705
vwap_deviation,train,seen_instrument,83,62,0.7469879518072289,0.069913581564067,0.00538352158200771,0.0049023437170283325
vwap_deviation,train,unseen_instrument,58,37,0.6379310344827587,0.057335542782845826,0.004552404889683461,0.00541307523422266
vwap_deviation,validation,all_instrument,131,67,0.5114503816793893,0.032993516056844474,0.0018390699949005081,0.0003110362225174955
vwap_deviation,validation,seen_instrument,77,40,0.5194805194805194,0.03995562611173803,0.0020762726565899496,0.0005275214121977759
vwap_deviation,validation,unseen_instrument,22,9,0.4090909090909091,0.011297502492608484,-0.0010489561134761974,-0.00342561475458942
vwap_deviation,robustness,all_instrument,152,108,0.7105263157894737,0.06767844117364336,0.007811924321658418,0.007005394498425896
vwap_deviation,robustness,seen_instrument,92,66,0.717391304347826,0.06065541574426845,0.007354539601978382,0.007244726803822128
vwap_deviation,robustness,unseen_instrument,35,25,0.7142857142857143,0.0660499516542174,0.008131836287177091,0.00573500074926523
