family,split,instrument_segment,state,valid_signal_dates,event_count,mean_label_self_relative_H3,median_label_self_relative_H3,state_high_minus_low_spread,state_high_minus_low_median,positive_date_share
volume_price_correlation,train,all_instrument,low_state,107,5459,-0.0031161671835593734,-0.004145771782300044,9.904016307556759e-05,-0.00013976958771564577,0.4953271028037383
volume_price_correlation,train,all_instrument,middle_state,107,17384,-0.0009195795504267003,-0.0018444500807889754,9.904016307556759e-05,-0.00013976958771564577,0.4953271028037383
volume_price_correlation,train,all_instrument,high_state,107,5691,-0.001253429410927651,-0.0007714679842206144,9.904016307556759e-05,-0.00013976958771564577,0.4953271028037383
volume_price_correlation,train,seen_instrument,low_state,63,3296,-0.002546642301896737,-0.003980664986000086,0.002279582096791313,0.003447637479371362,0.5555555555555556
volume_price_correlation,train,seen_instrument,middle_state,63,10436,-0.0010181459089603643,-0.0019277998604291975,0.002279582096791313,0.003447637479371362,0.5555555555555556
volume_price_correlation,train,seen_instrument,high_state,63,3407,-0.0016937741484089784,-0.0011031702703577636,0.002279582096791313,0.003447637479371362,0.5555555555555556
volume_price_correlation,train,unseen_instrument,low_state,88,2163,-0.003984014622283391,-0.004313477314857433,0.002690522394015574,0.0009249163963218057,0.5113636363636364
volume_price_correlation,train,unseen_instrument,middle_state,88,6948,-0.0007715314045347427,-0.0017499946558926574,0.002690522394015574,0.0009249163963218057,0.5113636363636364
volume_price_correlation,train,unseen_instrument,high_state,88,2284,-0.0005965754176706956,-0.0003721763653012581,0.002690522394015574,0.0009249163963218057,0.5113636363636364
volume_price_correlation,validation,all_instrument,low_state,78,3811,-0.002981763604567857,-0.003572999396437666,0.0017344123922133537,0.001436870082905303,0.5512820512820513
volume_price_correlation,validation,all_instrument,middle_state,78,12794,-0.0015864569713182329,-0.00295413922935038,0.0017344123922133537,0.001436870082905303,0.5512820512820513
volume_price_correlation,validation,all_instrument,high_state,78,3510,-0.0017716153983950303,-0.0025648285520559638,0.0017344123922133537,0.001436870082905303,0.5512820512820513
volume_price_correlation,validation,seen_instrument,low_state,57,2277,-0.0028674518654800128,-0.0035703199036925034,0.0019042275007916361,0.003441139254821566,0.6140350877192983
