family,split,mean_state_spread,median_state_spread,positive_year_count,positive_date_share,train_baseline_time_transfer_mean_state_spread,validation_single_positive_year_candidate,validation_negative_year_mean_spread,validation_vs_train_non_deterioration_pass,robustness_vs_train_non_deterioration_pass
volume_price_correlation,train,9.904016307556759e-05,-0.00013976958771564577,3,0.4953271028037383,9.904016307556759e-05,False,,False,False
volume_price_correlation,validation,0.0017344123922133537,0.001436870082905303,1,0.5512820512820513,9.904016307556759e-05,True,-0.0007025522581759386,True,False
volume_price_correlation,robustness,0.0019415677121162455,-0.0002128006089826785,2,0.4880952380952381,9.904016307556759e-05,False,,False,True
volume_surge_money_flow,train,0.001132681989792718,0.0008889310900384551,2,0.5135135135135135,0.001132681989792718,False,,False,False
volume_surge_money_flow,validation,-0.0001014603706363634,-6.812347667124394e-05,1,0.48,0.001132681989792718,False,-0.0012132017619068494,True,False
volume_surge_money_flow,robustness,-0.0006141509477962919,-0.0008826116669643281,0,0.45454545454545453,0.001132681989792718,False,,False,True
vwap_deviation,train,0.003059227501885828,0.002009144257164868,2,0.5526315789473685,0.003059227501885828,False,,False,False
vwap_deviation,validation,0.002690942362138779,0.002501491971421403,2,0.5604395604395604,0.003059227501885828,False,,True,False
vwap_deviation,robustness,0.0026060430696158887,0.002455737675115484,2,0.5853658536585366,0.003059227501885828,False,,False,True
