fetched_at_utc,classification_year,effective_start_date,effective_end_date,classification_first_open_trade_date,source_snapshot_year,source_snapshot_trade_date,snapshot_policy,snapshot_trade_date,source_api,board_ts_code,board_name,idx_type,level,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,trade_date
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1175.DC,玻璃基板,概念板块,,联赢激光,688518.SH,1.47,7.78,62078236.8,2.77,25,8,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1174.DC,合成生物,概念板块,,诚益通,300430.SZ,2.69,19.98,149075643.2,2.92,99,15,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1173.DC,锂矿概念,概念板块,,盐湖股份,000792.SZ,2.92,10.01,415065945.6,2.68,32,6,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1172.DC,AI语料,概念板块,,岩山科技,002195.SZ,2.76,10.01,46983953.6,8.82,28,3,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1171.DC,碳纤维,概念板块,,达瑞电子,300976.SZ,0.23,12.7,45762232.0,4.92,17,21,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1170.DC,AI制药（医疗）,概念板块,,创新医疗,002173.SZ,5.75,10.0,60490016.0,3.71,46,3,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1169.DC,Kimi概念,概念板块,,博瑞传播,600880.SH,4.31,9.92,52080800.0,7.39,24,0,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1168.DC,铜缆高速连接,概念板块,,蘅东光,920045.BJ,1.51,12.94,105772158.4,4.68,27,9,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1166.DC,低空经济,概念板块,,雷科防务,002413.SZ,1.68,10.04,457728076.8,5.29,204,73,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1165.DC,娃哈哈概念,概念板块,,三房巷,600370.SH,1.94,10.18,13349190.5,3.54,17,2,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1164.DC,AIPC,概念板块,,岩山科技,002195.SZ,3.65,10.01,160064555.2,4.06,41,3,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1163.DC,可控核聚变,概念板块,,王子新材,002735.SZ,2.17,9.98,177575668.8,2.91,57,13,20260105
