split,horizon,execution_status,blocked_reason,row_count
robustness,H1,blocked_limit_up_inferred_on_entry,limit_up_inferred_on_entry,3
robustness,H1,blocked_missing_exit_open,missing_exit_open,3
robustness,H1,blocked_missing_open,missing_open,4
robustness,H1,blocked_not_universe_member,not_universe_member,148
robustness,H1,blocked_split_boundary,split_boundary,276
robustness,H1,complete_executable,,23206
robustness,H10,blocked_limit_up_inferred_on_entry,limit_up_inferred_on_entry,3
robustness,H10,blocked_missing_exit_open,missing_exit_open,24
robustness,H10,blocked_missing_open,missing_open,4
robustness,H10,blocked_not_universe_member,not_universe_member,401
robustness,H10,blocked_split_boundary,split_boundary,815
robustness,H10,complete_executable,,22393
robustness,H20,blocked_limit_up_inferred_on_entry,limit_up_inferred_on_entry,3
robustness,H20,blocked_missing_exit_open,missing_exit_open,28
robustness,H20,blocked_missing_open,missing_open,4
robustness,H20,blocked_not_universe_member,not_universe_member,555
robustness,H20,blocked_split_boundary,split_boundary,1342
robustness,H20,complete_executable,,21708
robustness,H3,blocked_limit_up_inferred_on_entry,limit_up_inferred_on_entry,3
robustness,H3,blocked_missing_exit_open,missing_exit_open,9
robustness,H3,blocked_missing_open,missing_open,4
robustness,H3,blocked_not_universe_member,not_universe_member,222
robustness,H3,blocked_split_boundary,split_boundary,544
robustness,H3,complete_executable,,22858
robustness,H5,blocked_limit_up_inferred_on_entry,limit_up_inferred_on_entry,3
robustness,H5,blocked_missing_exit_open,missing_exit_open,14
robustness,H5,blocked_missing_open,missing_open,4
robustness,H5,blocked_not_universe_member,not_universe_member,288
robustness,H5,blocked_split_boundary,split_boundary,547
robustness,H5,complete_executable,,22784
train,H1,blocked_limit_down_inferred_on_exit,limit_down_inferred_on_exit,1
train,H1,blocked_missing_exit_open,missing_exit_open,14
train,H1,blocked_missing_open,missing_open,22
train,H1,blocked_not_universe_member,not_universe_member,333
train,H1,blocked_split_boundary,split_boundary,268
train,H1,complete_executable,,39216
train,H10,blocked_limit_down_inferred_on_exit,limit_down_inferred_on_exit,1
train,H10,blocked_missing_exit_open,missing_exit_open,67
train,H10,blocked_missing_open,missing_open,22
train,H10,blocked_not_universe_member,not_universe_member,972
train,H10,blocked_split_boundary,split_boundary,779
train,H10,complete_executable,,38013
train,H20,blocked_limit_down_inferred_on_exit,limit_down_inferred_on_exit,1
train,H20,blocked_missing_exit_open,missing_exit_open,79
train,H20,blocked_missing_open,missing_open,22
train,H20,blocked_not_universe_member,not_universe_member,1325
train,H20,blocked_split_boundary,split_boundary,1301
train,H20,complete_executable,,37126
train,H3,blocked_missing_exit_open,missing_exit_open,27
train,H3,blocked_missing_open,missing_open,22
train,H3,blocked_not_universe_member,not_universe_member,529
train,H3,blocked_split_boundary,split_boundary,268
train,H3,complete_executable,,39008
train,H5,blocked_limit_down_inferred_on_exit,limit_down_inferred_on_exit,1
train,H5,blocked_missing_exit_open,missing_exit_open,42
train,H5,blocked_missing_open,missing_open,22
train,H5,blocked_not_universe_member,not_universe_member,689
train,H5,blocked_split_boundary,split_boundary,522
train,H5,complete_executable,,38578
validation,H1,blocked_missing_open,missing_open,2
validation,H1,blocked_not_universe_member,not_universe_member,163
validation,H1,blocked_split_boundary,split_boundary,206
validation,H1,complete_executable,,21981
validation,H10,blocked_missing_exit_open,missing_exit_open,3
validation,H10,blocked_missing_open,missing_open,2
validation,H10,blocked_not_universe_member,not_universe_member,503
validation,H10,blocked_split_boundary,split_boundary,614
validation,H10,complete_executable,,21230
validation,H20,blocked_missing_exit_open,missing_exit_open,2
validation,H20,blocked_missing_open,missing_open,2
validation,H20,blocked_not_universe_member,not_universe_member,716
validation,H20,blocked_split_boundary,split_boundary,1033
validation,H20,complete_executable,,20599
validation,H3,blocked_missing_exit_open,missing_exit_open,3
validation,H3,blocked_missing_open,missing_open,2
validation,H3,blocked_not_universe_member,not_universe_member,250
validation,H3,blocked_split_boundary,split_boundary,207
validation,H3,complete_executable,,21890
validation,H5,blocked_missing_exit_open,missing_exit_open,2
validation,H5,blocked_missing_open,missing_open,2
validation,H5,blocked_not_universe_member,not_universe_member,340
validation,H5,blocked_split_boundary,split_boundary,409
validation,H5,complete_executable,,21599
