primary_family,horizon,split,source_factor_count,included_factor_count,evaluable_factor_count,raw_family_mean_rankIC,raw_family_median_rankIC,neutralized_family_mean_rankIC,neutralized_family_median_rankIC,family_oriented_mean_rankIC,family_oriented_median_rankIC,family_oriented_ICIR,family_oriented_positive_factor_share,family_oriented_positive_date_share,family_oriented_positive_year_count,family_oriented_negative_year_count,family_oriented_rankIC_p10,family_oriented_rankIC_p90,valid_date_count,year_count
close_location,H1,robustness,19,18,18,-0.006886946282718975,-0.010592664717637,-0.0008913574940327662,0.0007087822672439304,0.0006774418759270157,0.0017596766357265748,0.013779460378871438,0.3333333333333333,0.5242718446601942,2,0,-0.06581757634893604,0.06208013436724151,103,2
close_location,H1,train,19,18,18,0.00020404326423035997,0.0011547890118677254,-0.002956119155286709,-0.0021538786413464175,0.007281815107825504,0.009772503128820342,0.10613069268040971,0.5555555555555556,0.5619469026548672,4,1,-0.08186194268270294,0.09484633900044134,226,5
close_location,H1,validation,19,18,18,-0.004646147917522114,-0.006842472403887678,-0.003430953640573069,-0.002861941571323215,-0.0011017267922058362,0.0031567435815728013,-0.016937854966084236,0.2222222222222222,0.5204081632653061,1,1,-0.08618023057081238,0.07793956287773963,98,2
close_location,H10,robustness,19,18,18,-0.013067314167599708,-0.013104328356792328,-0.004624885509582854,-0.005506007218910118,-0.004177645665168484,0.0007766231336122838,-0.06102409600774066,0.2222222222222222,0.5148514851485149,1,1,-0.08219482738982416,0.07769250693990877,101,2
close_location,H10,train,19,18,18,0.0028607955551919776,-0.0013460592958475567,0.003332212044628551,0.0016332040623307468,0.014202322093750738,0.013848250279060732,0.22097910271672086,0.4444444444444444,0.6116071428571429,5,0,-0.07215721436501098,0.09606900241575482,224,5
close_location,H10,validation,19,18,18,-0.017356069354531038,-0.020913021326146104,-0.012948784260410663,-0.009384009289862305,-0.011492883907240896,-0.013398392028958091,-0.1406198339509366,0.2222222222222222,0.4166666666666667,1,1,-0.12253909489010414,0.11120337600324959,96,2
close_location,H20,robustness,19,18,18,-0.013373564988789692,-0.011210860675840612,-0.007183563714234471,-0.008810874549492136,-0.013246414641741797,-0.008787616296615071,-0.22483535590009335,0.2777777777777778,0.42424242424242425,0,2,-0.09085239007737489,0.05765889201265636,99,2
close_location,H20,train,19,18,18,0.006166650996372539,0.002682874101026827,0.005276866739001183,0.0025619358318417613,0.020570363096967588,0.03228309363948936,0.22823758623694324,0.5555555555555556,0.6441441441441441,4,1,-0.09291430683734327,0.12786929275083855,222,5
close_location,H20,validation,19,18,18,-0.023549118623863483,-0.02945025444040839,-0.016768749442099815,-0.01101628774404451,-0.02813650428897117,-0.02466290401002011,-0.3834256576191908,0.2222222222222222,0.35106382978723405,0,2,-0.1276960442077628,0.05630222941429879,94,2
close_location,H3,robustness,19,18,18,-0.015196322640466386,-0.01680922618419398,-0.003789852454842373,-0.006555667789733966,0.0005047094653540129,-0.00446547198789152,0.007358914472865042,0.2777777777777778,0.49019607843137253,1,1,-0.07413642746830816,0.0711032471892176,102,2
close_location,H3,train,19,18,18,-0.003653906613310589,-0.004863760489149004,-0.00273859597058258,-0.0036410134367301106,0.012677563311142843,0.012425785644949523,0.23140586045921396,0.3333333333333333,0.6061946902654868,5,0,-0.054328732486023684,0.08467856470855303,226,5
close_location,H3,validation,19,18,18,-0.01293741866975288,-0.014347676203081954,-0.009654662355213658,-0.0064488237792443386,-0.0010386246619776794,-0.003563536966713732,-0.01339944813721748,0.2222222222222222,0.4897959183673469,1,1,-0.10584694111727716,0.09355200480210961,98,2
close_location,H5,robustness,19,18,18,-0.017224265693048274,-0.02297616026846311,-0.0057770950276138,-0.007766535591129266,0.0018276073315487684,-0.00486099567396562,0.017055706197032706,0.2222222222222222,0.4803921568627451,1,1,-0.1432723576507178,0.14527096536728093,102,2
close_location,H5,train,19,18,18,-0.004269446557883674,-0.010877145236447694,0.00018382940484506905,-0.0026119235036593308,0.013909550225021319,0.01602876054385845,0.16674096551303175,0.4444444444444444,0.56,5,0,-0.09189573175293861,0.11600936894786446,225,5
close_location,H5,validation,19,18,18,-0.013257070199985118,-0.011722768587389385,-0.010837222118258431,-0.00799334714164154,-0.004197597867819241,-0.006362488466047672,-0.03926893194248157,0.2222222222222222,0.4639175257731959,1,1,-0.12510743169877597,0.12714163520190816,97,2
composite_price_volume,H1,robustness,105,62,61,0.0016622119116579922,-0.00024527132635217264,0.0019291016876165554,0.0014059533455665768,0.008960810858159215,0.002761062751030979,0.21634753367320692,0.4838709677419355,0.5436893203883495,2,0,-0.036175669626700616,0.05831249605380274,103,2
composite_price_volume,H1,train,105,62,61,0.00324567314799831,0.0030676840922540605,0.0016660510224045112,0.0002929721346863795,0.009178926081781835,0.011202156756578532,0.1997941585756299,0.5806451612903226,0.5973451327433629,4,1,-0.04751837902859507,0.06372597463286178,226,5
composite_price_volume,H1,validation,105,62,61,-1.3227956982544713e-05,-0.00336551331622595,0.0012102571476309938,-0.00016036104192851473,0.0040453060423132955,0.006191841837728253,0.08898422885092688,0.45161290322580644,0.5204081632653061,2,0,-0.061639390675351596,0.06402140201318143,98,2
composite_price_volume,H10,robustness,105,62,61,-0.0048902891245783025,-0.006177516505231006,-0.0018015551049844415,-0.001009716641591911,0.005965402793471467,0.003916227721052267,0.10944055280104299,0.41935483870967744,0.5148514851485149,2,0,-0.05264918673221224,0.06812664565985206,101,2
composite_price_volume,H10,train,105,62,61,-7.118098080329757e-05,-0.0009116324991573053,0.0018037452027095612,0.00044315365897005073,0.01635371855589368,0.0159101821204833,0.32529920008034585,0.4838709677419355,0.625,5,0,-0.04270269330602996,0.08215058973877166,224,5
composite_price_volume,H10,validation,105,62,61,-0.005274801892451548,-0.008070147676873717,-0.0025836656381953973,-0.003899677696998064,0.00233898123524065,-0.001407976626970882,0.03928468738439196,0.4032258064516129,0.4791666666666667,1,1,-0.06010367118009729,0.07177400524721994,96,2
composite_price_volume,H20,robustness,105,62,61,-0.003725844902580269,-0.00465536560083564,-0.003615154132784108,-0.004980275293672993,0.0022314920742908923,6.861410239400968e-05,0.0591241008103711,0.4032258064516129,0.5050505050505051,2,0,-0.04119308240659551,0.04920354804114656,99,2
