primary_family,horizon,valid_train_year_count,family_oriented_same_sign_year_count,family_oriented_single_year_ic_contribution_share,train_valid_date_count,train_family_oriented_mean_rankIC,train_family_oriented_positive_year_share,train_family_oriented_positive_date_share,train_family_oriented_rankIC_std,train_eligible,train_horizon_quality_score,family_primary_horizon_train_selected
close_location,H1,5,4,0.5572977976882895,226,0.007281815107825504,0.8,0.5619469026548672,0.06861177406759382,True,0.0030634088411525405,False
close_location,H10,5,5,0.35184503378806903,224,0.014202322093750738,1.0,0.6116071428571429,0.0642699781071927,True,0.008161690000073357,False
close_location,H20,5,4,0.3940537412462459,222,0.020570363096967588,0.8,0.6441441441441441,0.09012697442222602,True,0.009723842629508882,True
close_location,H3,5,5,0.35355925230025304,226,0.012677563311142843,1.0,0.6061946902654868,0.05478497081268737,True,0.007285913031921725,False
close_location,H5,5,5,0.27574579636183527,225,0.013909550225021319,1.0,0.56,0.08342011324106319,True,0.007189591582077998,False
composite_price_volume,H1,5,4,0.44390835343922175,226,0.009178926081781835,0.8,0.5973451327433629,0.04594191415414807,True,0.004193721845976559,False
composite_price_volume,H10,5,5,0.28997961996645966,224,0.01635371855589368,1.0,0.625,0.05027285204468522,True,0.00973182737946147,False
composite_price_volume,H20,5,5,0.2775846602899785,222,0.018898710076313753,1.0,0.7207207207207207,0.03963926907987415,True,0.013101363474801887,True
composite_price_volume,H3,5,5,0.3329493708471482,226,0.01752163464517884,1.0,0.6238938053097345,0.056606443759445964,True,0.010345989633692102,False
composite_price_volume,H5,5,5,0.2541340365452529,225,0.018866039863230447,1.0,0.6044444444444445,0.07025656650315475,True,0.010654896536870215,False
other_gtja191,H1,5,3,0.5224390431133783,226,0.007536497794875388,0.6,0.5530973451327433,0.09099487298972762,True,0.002292449043608072,False
other_gtja191,H10,5,5,0.4110778913125595,224,0.016157962823159948,1.0,0.5803571428571429,0.0788070506533417,True,0.008692369161623437,False
other_gtja191,H20,5,4,0.3033423699365442,222,0.02032747446869234,0.8,0.6486486486486487,0.07808891104372148,True,0.009784268224625095,True
other_gtja191,H3,5,4,0.36681447009694224,226,0.01524309154919502,0.8,0.5530973451327433,0.08486264773247153,True,0.00621712876563463,False
other_gtja191,H5,5,5,0.3398107132161826,225,0.016082326187672184,1.0,0.5733333333333334,0.0902521197748002,True,0.008457249028634426,False
range_volatility,H1,5,4,0.4189438834665819,226,0.008326556944446577,0.8,0.5442477876106194,0.13707836590355,True,0.0031883186463250546,True
range_volatility,H10,5,3,0.35912517256051874,224,0.004272103061996722,0.6,0.5133928571428571,0.13885901886472204,True,0.0011555076584599292,False
range_volatility,H20,5,4,0.27967832864579567,222,0.004206200153293107,0.8,0.509009009009009,0.11481429678720197,True,0.0015363949155596046,False
range_volatility,H3,5,3,0.3326436843503343,226,0.0017884111697899917,0.6,0.5088495575221239,0.1292543543454131,True,0.0004835220137500944,False
range_volatility,H5,5,3,0.43174907808425356,225,0.005206997318095108,0.6,0.52,0.1337928882954938,True,0.0014328747163761257,False
rank_ts_rank_structure,H1,5,2,0.4716146967392629,226,0.012576884983589925,0.4,0.5309734513274337,0.1492944182442091,False,,False
rank_ts_rank_structure,H10,5,5,0.2664768828847753,224,0.012919298364466906,1.0,0.5133928571428571,0.14384828255516025,True,0.00579856227505841,False
rank_ts_rank_structure,H20,5,2,0.5257730449865534,222,0.004216153705215117,0.4,0.5045045045045045,0.14012266594814324,False,,False
rank_ts_rank_structure,H3,5,5,0.3701487947217785,226,0.0345903213284037,1.0,0.6061946902654868,0.14271585627027183,True,0.018349678976447088,True
rank_ts_rank_structure,H5,5,5,0.5065075423641757,225,0.02802045654843917,1.0,0.5866666666666667,0.1458827681804122,True,0.014345854827588099,False
volume_price_correlation,H1,5,3,0.4309762234610371,226,0.010056240296482187,0.6,0.5663716814159292,0.11644473811829005,True,0.003060914453342757,False
volume_price_correlation,H10,5,5,0.46528270445584574,224,0.005479874681965895,1.0,0.5089285714285714,0.11879600942324473,True,0.0024927375232042517,False
volume_price_correlation,H20,5,3,0.33777411614271313,222,0.0021136013981990177,0.6,0.4954954954954955,0.11665166407267674,True,0.0005627251572406734,False
volume_price_correlation,H3,5,5,0.5466602105240324,226,0.018155156674690164,1.0,0.5575221238938053,0.1185894175727775,True,0.009048808570763638,True
volume_price_correlation,H5,5,4,0.394708391751758,225,0.0162660240572463,0.8,0.5466666666666666,0.11618763795234303,True,0.006373188771455863,False
volume_surge_money_flow,H1,5,4,0.3718645408763237,226,0.00890488386024134,0.8,0.5796460176991151,0.04564816367744562,True,0.003949076293126266,False
volume_surge_money_flow,H10,5,5,0.30438884774559033,224,0.015996796924335355,1.0,0.6428571428571429,0.049345081670602926,True,0.009800069915296245,False
volume_surge_money_flow,H20,5,5,0.3069545534812481,222,0.01835803703928705,1.0,0.581081081081081,0.060897580732540806,True,0.010055172339962943,False
volume_surge_money_flow,H3,5,5,0.26959762334756154,226,0.016245760767207882,1.0,0.6637168141592921,0.04093892815887977,True,0.010358517957510254,True
volume_surge_money_flow,H5,5,5,0.23881152337857434,225,0.017111552545461484,1.0,0.6133333333333333,0.053026023794807274,True,0.00996659657412365,False
vwap_deviation,H1,5,4,0.5852602411409662,226,0.0034929154982891687,0.8,0.5132743362831859,0.04116574942394442,True,0.001377551180545122,False
vwap_deviation,H10,5,5,0.41264937658457135,224,0.013108692078431421,1.0,0.5982142857142857,0.06671922191887864,True,0.0073513317349255735,False
vwap_deviation,H20,5,4,0.3971159872899349,222,0.015481685462145843,0.8,0.6171171171171171,0.06415811314047577,True,0.007182401173313036,False
vwap_deviation,H3,5,5,0.2621086030620875,226,0.013509131041820648,1.0,0.6061946902654868,0.06331394984768908,True,0.007701548078839153,True
vwap_deviation,H5,5,5,0.28682997329572885,225,0.012825740520201166,1.0,0.56,0.08503810646348126,True,0.006619504557975992,False
