split,horizon,matched_comparator_status,primary_comparator_scope,row_count
robustness,H1,comparable,same_liquidity_only,23206
robustness,H10,comparable,same_liquidity_only,22393
robustness,H20,comparable,same_liquidity_only,21708
robustness,H3,comparable,same_liquidity_only,22858
robustness,H5,comparable,same_liquidity_only,22784
train,H1,comparable,same_beta_only,13602
train,H1,comparable,same_day_pit_universe,67
train,H1,comparable,same_liquidity_only,25547
train,H10,comparable,same_beta_only,14370
train,H10,comparable,same_day_pit_universe,70
train,H10,comparable,same_liquidity_only,23573
train,H20,comparable,same_beta_only,14674
train,H20,comparable,same_day_pit_universe,118
train,H20,comparable,same_liquidity_only,22334
train,H3,comparable,same_beta_only,13769
train,H3,comparable,same_day_pit_universe,67
train,H3,comparable,same_liquidity_only,25172
train,H5,comparable,same_beta_only,14002
train,H5,comparable,same_day_pit_universe,98
train,H5,comparable,same_liquidity_only,24478
validation,H1,comparable,same_liquidity_only,21981
validation,H10,comparable,same_liquidity_only,21230
validation,H20,comparable,same_liquidity_only,20599
validation,H3,comparable,same_liquidity_only,21890
validation,H5,comparable,same_liquidity_only,21599
