factor_id,horizon,train_mean_rankIC,direction_i
alpha031,H5,-0.022267054728566545,-1.0
alpha034,H1,0.00719126544400118,1.0
alpha034,H10,0.008175677903521946,1.0
alpha034,H20,0.0015998409652371096,1.0
alpha034,H3,0.02098555367831947,1.0
alpha034,H5,0.022267054728566545,1.0
alpha037,H1,0.013756838205775071,1.0
alpha037,H10,0.0037239971792712603,1.0
alpha037,H20,0.0012740363583721701,1.0
alpha037,H3,0.011895490351915311,1.0
alpha037,H5,0.0069803719250273195,1.0
alpha038,H1,0.012576884983589925,1.0
alpha038,H10,0.012919298364466906,1.0
alpha038,H20,0.004216153705215117,1.0
alpha038,H3,0.0345903213284037,1.0
alpha038,H5,0.02802045654843917,1.0
alpha040,H1,0.001492891030163489,1.0
alpha040,H10,-0.01537208474762148,-1.0
alpha040,H20,-0.01974073902729153,-1.0
alpha040,H3,-0.014206300546093882,-1.0
alpha040,H5,-0.020674209967621784,-1.0
alpha041,H1,0.003144898720793242,1.0
alpha041,H10,-0.015026433872352443,-1.0
alpha041,H20,-0.027293235763579348,-1.0
alpha041,H3,-0.0011409136965380407,-1.0
alpha041,H5,0.0003147705565020795,1.0
alpha043,H1,-0.004551320542914989,-1.0
alpha043,H10,-0.006565683128993062,-1.0
alpha043,H20,-0.0013742953232036379,-1.0
alpha043,H3,-0.014184529885185452,-1.0
alpha043,H5,-0.015861920144832627,-1.0
alpha046,H1,0.008049004498195164,1.0
alpha046,H10,0.010717686344869234,1.0
alpha046,H20,0.004634956943459062,1.0
alpha046,H3,0.02555189699771322,1.0
alpha046,H5,0.02627027675700859,1.0
alpha047,H1,-0.008986943017964245,-1.0
alpha047,H10,-0.01076820527202925,-1.0
alpha047,H20,-0.01381361575023601,-1.0
alpha047,H3,-0.004060229188550325,-1.0
alpha047,H5,0.0026881416255736144,1.0
alpha048,H1,0.011586935048150986,1.0
alpha048,H10,0.0032087513536477714,1.0
alpha048,H20,-0.0031239709236083025,-1.0
alpha048,H3,0.01911442216291554,1.0
alpha048,H5,0.01791526486156818,1.0
alpha049,H1,-0.008031649776448525,-1.0
alpha049,H10,-0.004687763693645924,-1.0
alpha049,H20,-0.006281236802262825,-1.0
alpha049,H3,-0.00044913783460032825,-1.0
alpha049,H5,0.006785570953377427,1.0
alpha050,H1,0.008031649776448525,1.0
alpha050,H10,0.004687763693645924,1.0
alpha050,H20,0.006281236802262825,1.0
alpha050,H3,0.00044913783460032825,1.0
alpha050,H5,-0.006785570953377427,-1.0
alpha051,H1,0.008031649776448525,1.0
alpha051,H10,0.004687763693645924,1.0
alpha051,H20,0.006281236802262825,1.0
alpha051,H3,0.00044913783460032825,1.0
alpha051,H5,-0.006785570953377427,-1.0
alpha052,H1,-0.0007578718138551793,-1.0
alpha052,H10,-0.008307162024963047,-1.0
alpha052,H20,-0.014660182364605645,-1.0
alpha052,H3,-0.01724603734756966,-1.0
alpha052,H5,-0.012916268954939069,-1.0
alpha053,H1,0.0008082945179651855,1.0
alpha053,H10,-0.0023228525859757087,-1.0
alpha053,H20,0.007037178407227558,1.0
alpha053,H3,-0.0037697285764313354,-1.0
alpha053,H5,-0.012886222267410083,-1.0
alpha055,H1,-0.0064352372436752734,-1.0
alpha055,H10,-0.012017946830400127,-1.0
alpha055,H20,-0.017958621690541562,-1.0
alpha055,H3,-0.018120467434799833,-1.0
alpha055,H5,-0.015443954548318007,-1.0
alpha057,H1,0.006091309401291782,1.0
alpha057,H10,0.008204312142454385,1.0
alpha057,H20,0.013945089729966303,1.0
alpha057,H3,-6.048441877207506e-05,-1.0
alpha057,H5,-0.004166086686904817,-1.0
alpha058,H1,0.003396356320548018,1.0
alpha058,H10,-0.0007394542164278975,-1.0
alpha058,H20,0.0044366933931605365,1.0
alpha058,H3,-0.0059594799213058425,-1.0
alpha058,H5,-0.013034729566940876,-1.0
alpha059,H1,-0.0028401170890060127,-1.0
alpha059,H10,-0.008516221775821073,-1.0
alpha059,H20,-0.006935495507151433,-1.0
alpha059,H3,-0.016085189169531864,-1.0
alpha059,H5,-0.01799957328349099,-1.0
alpha060,H1,0.007992050362400806,1.0
alpha060,H10,0.0013260669861955873,1.0
alpha060,H20,-0.00010446077164823771,-1.0
alpha060,H3,0.003741203488034853,1.0
alpha060,H5,-0.006814240367584255,-1.0
alpha063,H1,-0.003232900401815744,-1.0
alpha063,H10,0.0015386050262448396,1.0
alpha063,H20,0.005709261701629863,1.0
alpha063,H3,-0.015579598303998375,-1.0
alpha063,H5,-0.016050620720259933,-1.0
alpha065,H1,0.022516437272139866,1.0
alpha065,H10,0.016080635295935865,1.0
alpha065,H20,0.007896441399859844,1.0
alpha065,H3,0.04050867643268407,1.0
alpha065,H5,0.03406798779587805,1.0
alpha066,H1,-0.02251582259480343,-1.0
alpha066,H10,-0.01608029100004942,-1.0
alpha066,H20,-0.007896101732453179,-1.0
alpha066,H3,-0.04050815930083813,-1.0
alpha066,H5,-0.03406767274833615,-1.0
alpha067,H1,0.0024962420393885446,1.0
alpha067,H10,-0.0006400968502170624,-1.0
alpha067,H20,0.003482568689590867,1.0
alpha067,H3,-0.011234899209657557,-1.0
alpha067,H5,-0.014369538480453362,-1.0
alpha068,H1,-0.011309650452509501,-1.0
alpha068,H10,-0.00602898938517508,-1.0
alpha068,H20,0.0036832907234159184,1.0
alpha068,H3,-0.01826646769518942,-1.0
alpha068,H5,-0.014118546129973255,-1.0
