split,horizon,total_signal_date_count,purged_cross_split_signal_date_count,unpurged_signal_date_count,unpurged_signal_date_share,min_unpurged_signal_date_share,finite_label_date_share,split_specific_min_unpurged_signal_date_count,purge_gate,all_horizon_label_sample_gate
train,H1,227,1,226,0.9955947136563876,0.9,1.0,180,True,True
train,H3,227,1,226,0.9955947136563876,0.9,1.0,180,True,True
train,H5,227,2,225,0.9911894273127754,0.9,1.0,180,True,True
train,H10,227,3,224,0.986784140969163,0.9,1.0,180,True,True
train,H20,227,5,222,0.9779735682819384,0.9,1.0,180,True,True
validation,H1,99,2,97,0.9797979797979798,0.9,1.0103092783505154,70,True,True
validation,H3,99,3,96,0.9696969696969697,0.9,1.0208333333333333,70,True,True
validation,H5,99,3,96,0.9696969696969697,0.9,1.0104166666666667,70,True,True
validation,H10,99,3,96,0.9696969696969697,0.9,1.0,70,True,True
validation,H20,99,5,94,0.9494949494949495,0.9,1.0,70,True,True
robustness,H1,104,2,102,0.9807692307692307,0.9,1.0098039215686274,70,True,True
robustness,H3,104,2,102,0.9807692307692307,0.9,1.0,70,True,True
robustness,H5,104,3,101,0.9711538461538461,0.9,1.00990099009901,70,True,True
robustness,H10,104,4,100,0.9615384615384616,0.9,1.01,70,True,True
robustness,H20,104,6,98,0.9423076923076923,0.9,1.010204081632653,70,True,True
