field,row_count,non_null_count,status
open,1101821,1092439,present
high,1101821,1092439,present
low,1101821,1092439,present
close,1101821,1092439,present
volume,1101821,1092439,present
money,1101821,1092439,present
vwap,1101821,1092439,present
index_open,1101821,1101821,present
index_close,1101821,1101821,present
