instrument,reason,detail,row_count
SH600000,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,1641.0
SH600003,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: empty response",0.0
SH600002,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: empty response",0.0
SH600001,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: empty response",0.0
SH600005,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600019,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,627.0
SH600029,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,1860.0
SH600031,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,859.0
SH600039,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,1299.0
SH600050,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,431.0
SH600057,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,1271.0
SH600061,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,1517.0
SH600068,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600070,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600065,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: empty response",0.0
SH600069,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600075,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,803.0
SH600079,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,302.0
SH600074,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600086,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600083,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600089,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,38.0
SH600077,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600087,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: empty response",0.0
SH600090,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600092,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: empty response",0.0
SH600105,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,1563.0
SH600091,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600114,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,124.0
SH600093,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600133,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,886.0
SH600102,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: empty response",0.0
SH600141,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,1575.0
SH600112,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600122,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600152,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,560.0
SH600139,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600145,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600183,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,1155.0
SH600185,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,58.0
SH600188,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,1004.0
SH600146,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600197,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,1155.0
SH600175,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600181,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: empty response",0.0
SH600190,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600205,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: empty response",0.0
SH600200,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600209,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600231,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,1333.0
SH600233,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,1194.0
SH600213,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600225,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600220,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600240,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600242,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600247,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
SH600267,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,1004.0
SH600253,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: empty response",0.0
SH600271,missing_total_share_asof,No prior stock_zh_a_gbjg_em share-change row for trade date,113.0
SH600260,instrument_processing_failed,"RuntimeError: stock_zh_a_hist: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')); stock_zh_a_daily: JSONDecodeError: No value to decode; stock_zh_a_hist_tx: ValueError: stock_zh_a_hist_tx missing daily columns: ['volume']",0.0
