membership_date,board_bucket,member_count
2017-01-03,chinext,4
2017-01-03,main_board,78
2017-01-04,chinext,5
2017-01-04,main_board,79
2017-01-05,chinext,5
2017-01-05,main_board,79
2017-01-06,chinext,4
2017-01-06,main_board,79
2017-01-09,chinext,4
2017-01-09,main_board,79
2017-01-10,chinext,4
2017-01-10,main_board,79
2017-01-11,chinext,4
2017-01-11,main_board,78
2017-01-12,chinext,4
2017-01-12,main_board,77
2017-01-13,chinext,4
2017-01-13,main_board,79
2017-01-16,chinext,4
2017-01-16,main_board,81
2017-01-17,chinext,4
2017-01-17,main_board,80
2017-01-18,chinext,4
2017-01-18,main_board,80
2017-01-19,chinext,4
2017-01-19,main_board,80
2017-01-20,chinext,4
2017-01-20,main_board,81
2017-01-23,chinext,4
2017-01-23,main_board,82
2017-01-24,chinext,4
2017-01-24,main_board,82
2017-01-25,chinext,4
2017-01-25,main_board,83
2017-01-26,chinext,4
2017-01-26,main_board,84
2017-02-03,chinext,4
2017-02-03,main_board,84
2017-02-06,chinext,4
2017-02-06,main_board,83
2017-02-07,chinext,4
2017-02-07,main_board,82
2017-02-08,chinext,4
2017-02-08,main_board,82
2017-02-09,chinext,4
2017-02-09,main_board,82
2017-02-10,chinext,4
2017-02-10,main_board,85
2017-02-13,chinext,4
2017-02-13,main_board,83
2017-02-14,chinext,4
2017-02-14,main_board,84
2017-02-15,chinext,4
2017-02-15,main_board,85
2017-02-16,chinext,4
2017-02-16,main_board,85
2017-02-17,chinext,4
2017-02-17,main_board,85
2017-02-20,chinext,4
2017-02-20,main_board,88
2017-02-21,chinext,4
2017-02-21,main_board,88
2017-02-22,chinext,4
2017-02-22,main_board,88
2017-02-23,chinext,4
2017-02-23,main_board,87
2017-02-24,chinext,4
2017-02-24,main_board,87
2017-02-27,chinext,4
2017-02-27,main_board,87
2017-02-28,chinext,4
2017-02-28,main_board,87
2017-03-01,chinext,4
2017-03-01,main_board,87
2017-03-02,chinext,4
2017-03-02,main_board,87
2017-03-03,chinext,4
2017-03-03,main_board,87
2017-03-06,chinext,4
2017-03-06,main_board,87
2017-03-07,chinext,4
2017-03-07,main_board,86
2017-03-08,chinext,4
2017-03-08,main_board,87
2017-03-09,chinext,4
2017-03-09,main_board,88
2017-03-10,chinext,4
2017-03-10,main_board,90
2017-03-13,chinext,4
2017-03-13,main_board,89
2017-03-14,chinext,4
2017-03-14,main_board,89
2017-03-15,chinext,4
2017-03-15,main_board,90
2017-03-16,chinext,4
2017-03-16,main_board,89
2017-03-17,chinext,4
2017-03-17,main_board,89
2017-03-20,chinext,4
2017-03-20,main_board,90
2017-03-21,chinext,4
2017-03-21,main_board,89
2017-03-22,chinext,5
2017-03-22,main_board,89
2017-03-23,chinext,5
2017-03-23,main_board,88
2017-03-24,chinext,4
2017-03-24,main_board,89
2017-03-27,chinext,5
2017-03-27,main_board,90
2017-03-28,chinext,4
2017-03-28,main_board,90
2017-03-29,chinext,4
2017-03-29,main_board,90
