membership_date,member_count
2017-01-03,82
2017-01-04,84
2017-01-05,84
2017-01-06,83
2017-01-09,83
2017-01-10,83
2017-01-11,82
2017-01-12,81
2017-01-13,83
2017-01-16,85
2017-01-17,84
2017-01-18,84
2017-01-19,84
2017-01-20,85
2017-01-23,86
2017-01-24,86
2017-01-25,87
2017-01-26,88
2017-02-03,88
2017-02-06,87
2017-02-07,86
2017-02-08,86
2017-02-09,86
2017-02-10,89
2017-02-13,87
2017-02-14,88
2017-02-15,89
2017-02-16,89
2017-02-17,89
2017-02-20,92
2017-02-21,92
2017-02-22,92
2017-02-23,91
2017-02-24,91
2017-02-27,91
2017-02-28,91
2017-03-01,91
2017-03-02,91
2017-03-03,91
2017-03-06,91
2017-03-07,90
2017-03-08,91
2017-03-09,92
2017-03-10,94
2017-03-13,93
2017-03-14,93
2017-03-15,94
2017-03-16,93
2017-03-17,93
2017-03-20,94
2017-03-21,93
2017-03-22,94
2017-03-23,93
2017-03-24,93
2017-03-27,95
2017-03-28,94
2017-03-29,94
2017-03-30,93
2017-03-31,92
2017-04-05,94
2017-04-06,93
2017-04-07,96
2017-04-10,95
2017-04-11,97
2017-04-12,96
2017-04-13,95
2017-04-14,93
2017-04-17,96
2017-04-18,95
2017-04-19,94
2017-04-20,96
2017-04-21,95
2017-04-24,92
2017-04-25,92
2017-04-26,94
2017-04-27,92
2017-04-28,94
2017-05-02,93
2017-05-03,90
2017-05-04,91
2017-05-05,89
2017-05-08,88
2017-05-09,88
2017-05-10,86
2017-05-11,85
2017-05-12,84
2017-05-15,86
2017-05-16,87
2017-05-17,87
2017-05-18,88
2017-05-19,87
2017-05-22,86
2017-05-23,85
2017-05-24,85
2017-05-25,85
2017-05-26,85
2017-05-31,85
2017-06-01,84
2017-06-02,85
2017-06-05,83
2017-06-06,83
2017-06-07,86
2017-06-08,83
2017-06-09,84
2017-06-12,83
2017-06-13,84
2017-06-14,82
2017-06-15,85
2017-06-16,85
2017-06-19,87
2017-06-20,87
2017-06-21,86
2017-06-22,85
2017-06-23,85
2017-06-26,86
2017-06-27,86
2017-06-28,85
2017-06-29,87
2017-06-30,87
2017-07-03,87
2017-07-04,87
2017-07-05,88
2017-07-06,87
2017-07-07,91
2017-07-10,90
2017-07-11,90
2017-07-12,90
2017-07-13,91
2017-07-14,90
2017-07-17,85
2017-07-18,88
2017-07-19,90
2017-07-20,90
2017-07-21,91
2017-07-24,92
2017-07-25,92
2017-07-26,93
2017-07-27,95
2017-07-28,94
2017-07-31,92
2017-08-01,92
2017-08-02,93
2017-08-03,92
2017-08-04,93
2017-08-07,93
2017-08-08,94
2017-08-09,93
2017-08-10,94
2017-08-11,92
2017-08-14,92
2017-08-15,93
2017-08-16,92
2017-08-17,94
2017-08-18,93
2017-08-21,94
2017-08-22,93
2017-08-23,93
2017-08-24,92
2017-08-25,92
2017-08-28,93
2017-08-29,95
2017-08-30,94
2017-08-31,97
2017-09-01,98
2017-09-04,99
2017-09-05,98
2017-09-06,98
2017-09-07,96
2017-09-08,97
2017-09-11,98
2017-09-12,97
2017-09-13,98
2017-09-14,97
2017-09-15,96
2017-09-18,97
2017-09-19,96
2017-09-20,97
2017-09-21,97
2017-09-22,97
2017-09-25,96
2017-09-26,96
2017-09-27,97
2017-09-28,97
2017-09-29,97
2017-10-09,98
2017-10-10,99
2017-10-11,98
2017-10-12,97
2017-10-13,97
2017-10-16,96
2017-10-17,96
2017-10-18,96
2017-10-19,96
2017-10-20,96
2017-10-23,98
2017-10-24,98
2017-10-25,99
2017-10-26,99
2017-10-27,100
2017-10-30,98
2017-10-31,98
2017-11-01,96
2017-11-02,94
2017-11-03,95
2017-11-06,96
2017-11-07,97
2017-11-08,99
2017-11-09,97
2017-11-10,96
2017-11-13,96
2017-11-14,98
2017-11-15,97
2017-11-16,95
2017-11-17,93
2017-11-20,93
2017-11-21,93
2017-11-22,93
2017-11-23,93
2017-11-24,94
2017-11-27,93
2017-11-28,94
2017-11-29,95
2017-11-30,95
2017-12-01,95
2017-12-04,95
2017-12-05,92
2017-12-06,91
2017-12-07,90
2017-12-08,90
2017-12-11,91
2017-12-12,90
2017-12-13,91
2017-12-14,89
2017-12-15,91
2017-12-18,92
2017-12-19,94
2017-12-20,92
2017-12-21,93
2017-12-22,94
2017-12-25,95
2017-12-26,94
2017-12-27,93
2017-12-28,93
2017-12-29,94
2018-01-02,97
2018-01-03,97
2018-01-04,99
2018-01-05,99
2018-01-08,100
2018-01-09,100
2018-01-10,99
2018-01-11,97
2018-01-12,97
2018-01-15,98
2018-01-16,99
2018-01-17,99
2018-01-18,98
2018-01-19,97
2018-01-22,99
2018-01-23,98
2018-01-24,100
2018-01-25,101
2018-01-26,99
2018-01-29,96
2018-01-30,96
2018-01-31,95
2018-02-01,92
2018-02-02,94
2018-02-05,94
2018-02-06,91
2018-02-07,91
2018-02-08,92
2018-02-09,86
2018-02-12,88
2018-02-13,92
2018-02-14,92
2018-02-22,93
2018-02-23,93
2018-02-26,91
2018-02-27,92
2018-02-28,92
2018-03-01,93
2018-03-02,94
2018-03-05,91
2018-03-06,94
2018-03-07,92
2018-03-08,95
2018-03-09,95
2018-03-12,95
2018-03-13,95
2018-03-14,96
2018-03-15,96
2018-03-16,94
2018-03-19,94
2018-03-20,98
2018-03-21,95
2018-03-22,96
2018-03-23,92
2018-03-26,95
2018-03-27,96
2018-03-28,95
2018-03-29,94
2018-03-30,95
2018-04-02,97
2018-04-03,97
2018-04-04,97
2018-04-09,98
2018-04-10,98
2018-04-11,97
2018-04-12,95
2018-04-13,96
2018-04-16,95
2018-04-17,94
2018-04-18,94
2018-04-19,96
2018-04-20,97
2018-04-23,96
2018-04-24,97
2018-04-25,97
2018-04-26,97
2018-04-27,97
2018-05-02,95
2018-05-03,97
2018-05-04,97
2018-05-07,103
2018-05-08,102
2018-05-09,101
2018-05-10,100
2018-05-11,98
2018-05-14,96
2018-05-15,100
2018-05-16,101
2018-05-17,101
2018-05-18,101
2018-05-21,102
2018-05-22,102
2018-05-23,100
2018-05-24,100
2018-05-25,99
2018-05-28,95
2018-05-29,96
2018-05-30,93
2018-05-31,95
2018-06-01,94
2018-06-04,94
2018-06-05,95
2018-06-06,97
2018-06-07,95
2018-06-08,94
2018-06-11,94
2018-06-12,94
2018-06-13,94
2018-06-14,92
