taxonomy_method,subregime_label,split,source_id,target_episode_denominator_n,e1_missed_episode_n,source_post_replay_captures_e1_missed_n,e1_missed_capture_rate,denominator_policy
default_deterministic,transition_boundary_or_mixed,train,07_E1_only,887,677,0,0.0,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_recovery,train,07_E1_only,175,157,0,0.0,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_deterioration,train,07_E1_only,189,148,0,0.0,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_boundary_or_mixed,train,08_R_core_event_regime_gated,887,677,673,0.9940915805022157,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_recovery,train,08_R_core_event_regime_gated,175,157,157,1.0,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_deterioration,train,08_R_core_event_regime_gated,189,148,146,0.9864864864864865,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_boundary_or_mixed,train,08_R6_event_regime_gated,887,677,540,0.7976366322008862,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_recovery,train,08_R6_event_regime_gated,175,157,128,0.8152866242038217,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_deterioration,train,08_R6_event_regime_gated,189,148,71,0.4797297297297297,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_boundary_or_mixed,train,08_selected_T4_T7_union,887,677,43,0.06351550960118169,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_recovery,train,08_selected_T4_T7_union,175,157,1,0.006369426751592357,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_deterioration,train,08_selected_T4_T7_union,189,148,3,0.02027027027027027,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_boundary_or_mixed,train,08_T4_gated,887,677,34,0.050221565731166914,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_recovery,train,08_T4_gated,175,157,1,0.006369426751592357,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_deterioration,train,08_T4_gated,189,148,2,0.013513513513513514,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_boundary_or_mixed,train,08_T7_gated,887,677,9,0.013293943870014771,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_recovery,train,08_T7_gated,175,157,0,0.0,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_deterioration,train,08_T7_gated,189,148,1,0.006756756756756757,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_boundary_or_mixed,validation,07_E1_only,298,210,0,0.0,unique_target_episode_missed_by_E1_within_split_subregime_window
default_deterministic,transition_recovery,validation,07_E1_only,41,33,0,0.0,unique_target_episode_missed_by_E1_within_split_subregime_window
