readout,raw_row_count,deduplicated_row_count,duplicate_drop_count,denominator_policy,blocked_reason
event_composition,25214,25214,0,unique_event_key,
membership_event_cost,138674,6750,131924,unique_horizon_complete_event,
episode_recall,138674,1897,136777,unique_target_episode_global_transition_baseline,
subregime_episode_recall,32541,6318,26223,unique_target_episode_within_taxonomy_method_split_subregime_window,
