taxonomy_method,subregime_label,split,source_id,event_n,failure_10_complete_rate,fast_fail_10d_rate,event_false_repair_20d_complete_rate,false_repair_20d_rate,event_big_winner_120d_complete_rate,event_big_winner_120d_rate
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,07_E1_only,163,1.0,0.06748466257668712,1.0,0.13496932515337423,1.0,0.50920245398773
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_R1_event_regime_gated,300,1.0,0.11333333333333333,1.0,0.19,0.9966666666666667,0.4180602006688963
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_R2_event_regime_gated,133,1.0,0.045112781954887216,1.0,0.07518796992481203,1.0,0.3609022556390977
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_R6_event_regime_gated,424,1.0,0.10141509433962265,1.0,0.1580188679245283,1.0,0.4740566037735849
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_R7_event_regime_gated,299,1.0,0.09698996655518395,1.0,0.1705685618729097,0.9899665551839465,0.4966216216216216
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_R8_event_regime_gated,202,1.0,0.034653465346534656,1.0,0.06930693069306931,0.995049504950495,0.30845771144278605
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_R_core_event_regime_gated,885,1.0,0.09378531073446328,1.0,0.15254237288135594,0.9954802259887006,0.4449489216799092
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_T4_gated,20,1.0,0.05,1.0,0.05,1.0,0.6
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_selected_T4_T7_union,20,1.0,0.05,1.0,0.05,1.0,0.6
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,07_E1_only,273,1.0,0.15018315018315018,1.0,0.18315018315018314,1.0,0.4945054945054945
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_R1_event_regime_gated,803,0.9987546699875467,0.19451371571072318,1.0,0.18679950186799502,0.9987546699875467,0.4114713216957606
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_R2_event_regime_gated,337,0.9970326409495549,0.15178571428571427,1.0,0.1572700296735905,0.9970326409495549,0.3482142857142857
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_R6_event_regime_gated,1017,0.9990167158308751,0.15846456692913385,1.0,0.18190757128810225,0.9990167158308751,0.4507874015748031
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_R7_event_regime_gated,691,1.0,0.1808972503617945,1.0,0.19536903039073805,1.0,0.4732272069464544
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_R8_event_regime_gated,463,0.9956803455723542,0.14099783080260303,1.0,0.15766738660907129,0.9956803455723542,0.3947939262472885
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_R_core_event_regime_gated,2364,0.9995769881556683,0.15361828184511214,1.0,0.17343485617597293,0.9995769881556683,0.4316546762589928
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_T4_gated,53,1.0,0.24528301886792453,1.0,0.20754716981132076,1.0,0.3584905660377358
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_T7_gated,15,1.0,0.13333333333333333,1.0,0.2,1.0,0.4666666666666667
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_selected_T4_T7_union,68,1.0,0.22058823529411764,1.0,0.20588235294117646,1.0,0.38235294117647056
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,validation,07_E1_only,123,1.0,0.0975609756097561,1.0,0.08943089430894309,1.0,0.24390243902439024
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,validation,08_R1_event_regime_gated,291,0.9965635738831615,0.11724137931034483,1.0,0.11683848797250859,0.9965635738831615,0.23793103448275862
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,validation,08_R2_event_regime_gated,164,0.9939024390243902,0.15337423312883436,1.0,0.23170731707317074,0.9939024390243902,0.17791411042944785
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,validation,08_R6_event_regime_gated,331,0.9969788519637462,0.08181818181818182,1.0,0.09365558912386707,0.9969788519637462,0.23333333333333334
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,validation,08_R7_event_regime_gated,220,0.9954545454545455,0.1050228310502283,1.0,0.10454545454545454,0.9954545454545455,0.2876712328767123
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,validation,08_R8_event_regime_gated,208,1.0,0.1201923076923077,1.0,0.15865384615384615,1.0,0.15865384615384615
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,validation,08_R_core_event_regime_gated,922,0.9967462039045553,0.11425462459194777,1.0,0.1334056399132321,0.9967462039045553,0.22415669205658323
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,validation,08_T4_gated,29,1.0,0.20689655172413793,1.0,0.20689655172413793,1.0,0.2413793103448276
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,validation,08_selected_T4_T7_union,29,1.0,0.20689655172413793,1.0,0.20689655172413793,1.0,0.2413793103448276
auto_120d_knn_default_taxonomy,transition_boundary_or_mixed,robustness,07_E1_only,119,1.0,0.06722689075630252,1.0,0.15966386554621848,1.0,0.4789915966386555
auto_120d_knn_default_taxonomy,transition_boundary_or_mixed,robustness,08_R1_event_regime_gated,235,1.0,0.11063829787234042,1.0,0.20425531914893616,1.0,0.3872340425531915
