taxonomy_method,subregime_id,subregime_label,split,source_id,window,replay_policy_id,assignment_grain,readout_grain,denominator_policy,target_episode_n,target_episode_denominator_n,bridge_episode_denominator_n,e1_pre_replay_any_captured_episode_n,e1_post_replay_any_captured_episode_n,e1_pre_replay_bridge_captured_episode_n,e1_post_replay_bridge_captured_episode_n,e1_pre_replay_any_recall,e1_post_replay_any_recall,e1_pre_replay_bridge_recall,e1_post_replay_bridge_recall,source_pre_replay_any_captured_episode_n,source_post_replay_any_captured_episode_n,source_pre_replay_bridge_captured_episode_n,source_post_replay_bridge_captured_episode_n,source_pre_replay_any_recall,source_post_replay_any_recall,source_pre_replay_bridge_recall,source_post_replay_bridge_recall,post_replay_recall_ci_low,post_replay_recall_ci_high,post_replay_bridge_recall_ci_low,post_replay_bridge_recall_ci_high,e1_missed_episode_n,source_post_replay_captures_e1_missed_n,incremental_post_replay_capture_over_e1_n,incremental_post_replay_capture_over_e1_rate,episode_power_status
default_deterministic,transition_boundary_or_mixed,transition_boundary_or_mixed,train,07_E1_only,low_to_first_50pct,post_replay_executable_horizon_complete,market_date,unique_target_episode,unique_target_episode_within_taxonomy_method_split_subregime_window,887,887,887,210,210,210,210,0.23675310033821872,0.23675310033821872,0.23675310033821872,0.23675310033821872,210,210,210,210,0.23675310033821872,0.23675310033821872,0.23675310033821872,0.23675310033821872,0.2099503267484123,0.26582628718609647,0.2099503267484123,0.26582628718609647,677,0,0,0.0,sufficient_episode_power
default_deterministic,transition_recovery,transition_recovery,train,07_E1_only,low_to_first_50pct,post_replay_executable_horizon_complete,market_date,unique_target_episode,unique_target_episode_within_taxonomy_method_split_subregime_window,175,175,175,18,18,18,18,0.10285714285714286,0.10285714285714286,0.10285714285714286,0.10285714285714286,18,18,18,18,0.10285714285714286,0.10285714285714286,0.10285714285714286,0.10285714285714286,0.06605651863716205,0.15671939032361665,0.06605651863716205,0.15671939032361665,157,0,0,0.0,sufficient_episode_power
default_deterministic,transition_deterioration,transition_deterioration,train,07_E1_only,low_to_first_50pct,post_replay_executable_horizon_complete,market_date,unique_target_episode,unique_target_episode_within_taxonomy_method_split_subregime_window,189,189,189,41,41,41,41,0.21693121693121692,0.21693121693121692,0.21693121693121692,0.21693121693121692,41,41,41,41,0.21693121693121692,0.21693121693121692,0.21693121693121692,0.21693121693121692,0.16412519903593034,0.28101526858101533,0.16412519903593034,0.28101526858101533,148,0,0,0.0,sufficient_episode_power
default_deterministic,transition_boundary_or_mixed,transition_boundary_or_mixed,train,08_R_core_event_regime_gated,low_to_first_50pct,post_replay_executable_horizon_complete,market_date,unique_target_episode,unique_target_episode_within_taxonomy_method_split_subregime_window,887,887,887,210,210,210,210,0.23675310033821872,0.23675310033821872,0.23675310033821872,0.23675310033821872,863,863,863,863,0.9729425028184893,0.9729425028184893,0.9729425028184893,0.9729425028184893,0.9600548329932097,0.9817512074970414,0.9600548329932097,0.9817512074970414,677,673,673,0.9940915805022157,sufficient_episode_power
default_deterministic,transition_recovery,transition_recovery,train,08_R_core_event_regime_gated,low_to_first_50pct,post_replay_executable_horizon_complete,market_date,unique_target_episode,unique_target_episode_within_taxonomy_method_split_subregime_window,175,175,175,18,18,18,18,0.10285714285714286,0.10285714285714286,0.10285714285714286,0.10285714285714286,171,171,171,171,0.9771428571428571,0.9771428571428571,0.9771428571428571,0.9771428571428571,0.9427108334992591,0.9910763837924672,0.9427108334992591,0.9910763837924672,157,157,157,1.0,sufficient_episode_power
default_deterministic,transition_deterioration,transition_deterioration,train,08_R_core_event_regime_gated,low_to_first_50pct,post_replay_executable_horizon_complete,market_date,unique_target_episode,unique_target_episode_within_taxonomy_method_split_subregime_window,189,189,189,41,41,41,41,0.21693121693121692,0.21693121693121692,0.21693121693121692,0.21693121693121692,178,178,178,178,0.9417989417989417,0.9417989417989417,0.9417989417989417,0.9417989417989417,0.8988013189581538,0.9671943998079215,0.8988013189581538,0.9671943998079215,148,146,146,0.9864864864864865,sufficient_episode_power
default_deterministic,transition_boundary_or_mixed,transition_boundary_or_mixed,train,08_R6_event_regime_gated,low_to_first_50pct,post_replay_executable_horizon_complete,market_date,unique_target_episode,unique_target_episode_within_taxonomy_method_split_subregime_window,887,887,887,210,210,210,210,0.23675310033821872,0.23675310033821872,0.23675310033821872,0.23675310033821872,707,706,707,706,0.7970687711386697,0.7959413754227734,0.7970687711386697,0.7959413754227734,0.768169308546147,0.8211610505210543,0.768169308546147,0.8211610505210543,677,540,540,0.7976366322008862,sufficient_episode_power
default_deterministic,transition_recovery,transition_recovery,train,08_R6_event_regime_gated,low_to_first_50pct,post_replay_executable_horizon_complete,market_date,unique_target_episode,unique_target_episode_within_taxonomy_method_split_subregime_window,175,175,175,18,18,18,18,0.10285714285714286,0.10285714285714286,0.10285714285714286,0.10285714285714286,142,142,142,142,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.7470195807155944,0.8624583036245144,0.7470195807155944,0.8624583036245144,157,128,128,0.8152866242038217,sufficient_episode_power
default_deterministic,transition_deterioration,transition_deterioration,train,08_R6_event_regime_gated,low_to_first_50pct,post_replay_executable_horizon_complete,market_date,unique_target_episode,unique_target_episode_within_taxonomy_method_split_subregime_window,189,189,189,41,41,41,41,0.21693121693121692,0.21693121693121692,0.21693121693121692,0.21693121693121692,84,84,84,84,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.37540850239697576,0.5156938323689669,0.37540850239697576,0.5156938323689669,148,71,71,0.4797297297297297,sufficient_episode_power
default_deterministic,transition_boundary_or_mixed,transition_boundary_or_mixed,train,08_selected_T4_T7_union,low_to_first_50pct,post_replay_executable_horizon_complete,market_date,unique_target_episode,unique_target_episode_within_taxonomy_method_split_subregime_window,887,887,887,210,210,210,210,0.23675310033821872,0.23675310033821872,0.23675310033821872,0.23675310033821872,62,62,62,62,0.06989853438556934,0.06989853438556934,0.06989853438556934,0.06989853438556934,0.05490702119049205,0.08859952363184224,0.05490702119049205,0.08859952363184224,677,43,43,0.06351550960118169,sufficient_episode_power
