comparison,split,default_subregime,auto_subregime,event_count
default_vs_auto_120d_elbow_kmeans,robustness,transition_boundary_or_mixed,auto_boundary_or_mixed_like,3699
default_vs_auto_120d_elbow_kmeans,robustness,transition_deterioration,auto_boundary_or_mixed_like,914
default_vs_auto_120d_knn_default_taxonomy,robustness,transition_boundary_or_mixed,transition_boundary_or_mixed,2968
default_vs_auto_120d_knn_default_taxonomy,robustness,transition_boundary_or_mixed,transition_deterioration,423
default_vs_auto_120d_knn_default_taxonomy,robustness,transition_boundary_or_mixed,transition_recovery,308
default_vs_auto_120d_knn_default_taxonomy,robustness,transition_deterioration,transition_boundary_or_mixed,799
default_vs_auto_120d_knn_default_taxonomy,robustness,transition_deterioration,transition_deterioration,115
default_vs_auto_120d_knn_default_taxonomy,robustness,transition_deterioration,transition_recovery,0
default_vs_auto_120d_elbow_kmeans,train,transition_boundary_or_mixed,auto_boundary_or_mixed_like,9102
default_vs_auto_120d_elbow_kmeans,train,transition_deterioration,auto_boundary_or_mixed_like,1725
default_vs_auto_120d_elbow_kmeans,train,transition_recovery,auto_boundary_or_mixed_like,670
default_vs_auto_120d_knn_default_taxonomy,train,transition_boundary_or_mixed,transition_boundary_or_mixed,9102
default_vs_auto_120d_knn_default_taxonomy,train,transition_boundary_or_mixed,transition_deterioration,0
default_vs_auto_120d_knn_default_taxonomy,train,transition_boundary_or_mixed,transition_recovery,0
default_vs_auto_120d_knn_default_taxonomy,train,transition_deterioration,transition_boundary_or_mixed,0
default_vs_auto_120d_knn_default_taxonomy,train,transition_deterioration,transition_deterioration,1725
default_vs_auto_120d_knn_default_taxonomy,train,transition_deterioration,transition_recovery,0
default_vs_auto_120d_knn_default_taxonomy,train,transition_recovery,transition_boundary_or_mixed,0
default_vs_auto_120d_knn_default_taxonomy,train,transition_recovery,transition_deterioration,0
default_vs_auto_120d_knn_default_taxonomy,train,transition_recovery,transition_recovery,670
default_vs_auto_120d_elbow_kmeans,validation,transition_boundary_or_mixed,auto_boundary_or_mixed_like,5797
default_vs_auto_120d_elbow_kmeans,validation,transition_deterioration,auto_boundary_or_mixed_like,2968
default_vs_auto_120d_elbow_kmeans,validation,transition_recovery,auto_boundary_or_mixed_like,339
default_vs_auto_120d_knn_default_taxonomy,validation,transition_boundary_or_mixed,transition_boundary_or_mixed,4005
default_vs_auto_120d_knn_default_taxonomy,validation,transition_boundary_or_mixed,transition_deterioration,1057
default_vs_auto_120d_knn_default_taxonomy,validation,transition_boundary_or_mixed,transition_recovery,735
default_vs_auto_120d_knn_default_taxonomy,validation,transition_deterioration,transition_boundary_or_mixed,1063
default_vs_auto_120d_knn_default_taxonomy,validation,transition_deterioration,transition_deterioration,1905
default_vs_auto_120d_knn_default_taxonomy,validation,transition_deterioration,transition_recovery,0
default_vs_auto_120d_knn_default_taxonomy,validation,transition_recovery,transition_boundary_or_mixed,152
default_vs_auto_120d_knn_default_taxonomy,validation,transition_recovery,transition_deterioration,0
default_vs_auto_120d_knn_default_taxonomy,validation,transition_recovery,transition_recovery,187
