taxonomy_method,subregime_label,split,source_id,density_contract_reference,selected_event_count,formal_event_day_density,rolling_10d_executable_event_day_density,rolling_20d_executable_event_day_density,rolling_10d_duplicate_rate,rolling_20d_duplicate_rate,family_concentration,board_concentration,cross_family_collision_rate
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,07_E1_only,A_density_contract_replay_anchor_pos,163,3.4680851063829787,1.0,1.0,0.0,0.0,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_R1_event_regime_gated,A_density_contract_replay_anchor_pos,300,3.896103896103896,1.0,1.01,0.0,0.01,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_R2_event_regime_gated,A_density_contract_replay_anchor_pos,133,3.022727272727273,1.0,1.0,0.0,0.0,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_R6_event_regime_gated,A_density_contract_replay_anchor_pos,424,16.307692307692307,1.0,1.0,0.0,0.0,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_R7_event_regime_gated,A_density_contract_replay_anchor_pos,299,3.986666666666667,1.0,1.0,0.0,0.0,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_R8_event_regime_gated,A_density_contract_replay_anchor_pos,202,4.122448979591836,1.0,1.004950495049505,0.0,0.0049504950495049506,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_R_core_event_regime_gated,A_density_contract_replay_anchor_pos,885,9.619565217391305,1.4,1.494915254237288,0.3254237288135593,0.3694915254237288,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_T4_gated,A_density_contract_replay_anchor_pos,20,1.1764705882352942,1.0,1.0,0.0,0.0,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,robustness,08_selected_T4_T7_union,A_density_contract_replay_anchor_pos,20,1.1764705882352942,1.0,1.0,0.0,0.0,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,07_E1_only,A_density_contract_replay_anchor_pos,273,2.256198347107438,1.0,1.0036630036630036,0.0,0.003663003663003663,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_R1_event_regime_gated,A_density_contract_replay_anchor_pos,803,4.226315789473684,1.0,1.0386052303860522,0.0,0.038605230386052306,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_R2_event_regime_gated,A_density_contract_replay_anchor_pos,337,2.3402777777777777,1.0,1.002967359050445,0.0,0.002967359050445104,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_R6_event_regime_gated,A_density_contract_replay_anchor_pos,1017,12.402439024390244,1.0,1.015732546705998,0.0,0.015732546705998034,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_R7_event_regime_gated,A_density_contract_replay_anchor_pos,691,3.7759562841530054,1.0,1.0,0.0,0.0,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_R8_event_regime_gated,A_density_contract_replay_anchor_pos,463,3.0064935064935066,1.0,1.0280777537796977,0.0,0.028077753779697623,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_R_core_event_regime_gated,A_density_contract_replay_anchor_pos,2364,10.600896860986547,1.6082910321489001,1.7990693739424704,0.4538917089678511,0.5219966159052454,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_T4_gated,A_density_contract_replay_anchor_pos,53,1.4722222222222223,1.0,1.0,0.0,0.0,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_T7_gated,A_density_contract_replay_anchor_pos,15,3.75,1.0,1.0,0.0,0.0,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,train,08_selected_T4_T7_union,A_density_contract_replay_anchor_pos,68,1.7435897435897436,1.0,1.0,0.0,0.0,1.0,1.0,0.0
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,validation,07_E1_only,A_density_contract_replay_anchor_pos,123,2.2777777777777777,1.0,1.016260162601626,0.0,0.016260162601626018,1.0,1.0,0.0
