taxonomy_method,subregime_id,subregime_label,split,event_count,event_share,target_episode_n,target_episode_share,e1_missed_episode_n,e1_missed_episode_share,sample_status
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,auto_boundary_or_mixed_like,robustness,4613,1.0,543,1.0,320,0.6736842105263158,sufficient_episode_power
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,auto_boundary_or_mixed_like,train,11497,1.0,1024,1.0,678,0.7159450897571278,sufficient_episode_power
auto_120d_elbow_kmeans,auto_boundary_or_mixed_like,auto_boundary_or_mixed_like,validation,9104,1.0,371,1.0,205,0.6346749226006192,sufficient_episode_power
auto_120d_knn_default_taxonomy,transition_boundary_or_mixed,transition_boundary_or_mixed,robustness,3767,0.8166052460437893,501,0.9226519337016574,297,0.7191283292978208,sufficient_episode_power
auto_120d_knn_default_taxonomy,transition_deterioration,transition_deterioration,robustness,538,0.11662692391068719,86,0.15837937384898712,46,0.7540983606557377,sufficient_episode_power
auto_120d_knn_default_taxonomy,transition_recovery,transition_recovery,robustness,308,0.06676783004552352,127,0.23388581952117865,96,0.768,sufficient_episode_power
auto_120d_knn_default_taxonomy,transition_boundary_or_mixed,transition_boundary_or_mixed,train,9102,0.7916847873358267,984,0.9609375,677,0.7632468996617813,sufficient_episode_power
auto_120d_knn_default_taxonomy,transition_deterioration,transition_deterioration,train,1725,0.15003914064538576,235,0.2294921875,148,0.783068783068783,sufficient_episode_power
auto_120d_knn_default_taxonomy,transition_recovery,transition_recovery,train,670,0.05827607201878751,204,0.19921875,157,0.8971428571428571,sufficient_episode_power
auto_120d_knn_default_taxonomy,transition_boundary_or_mixed,transition_boundary_or_mixed,validation,5220,0.5733743409490334,336,0.9056603773584906,213,0.7802197802197802,sufficient_episode_power
auto_120d_knn_default_taxonomy,transition_deterioration,transition_deterioration,validation,2962,0.32535149384885764,141,0.38005390835579517,90,0.7258064516129032,sufficient_episode_power
auto_120d_knn_default_taxonomy,transition_recovery,transition_recovery,validation,922,0.10127416520210897,148,0.39892183288409705,76,0.7450980392156863,sufficient_episode_power
default_deterministic,transition_boundary_or_mixed,transition_boundary_or_mixed,robustness,3699,0.8018642965532191,537,0.988950276243094,322,0.688034188034188,sufficient_episode_power
default_deterministic,transition_deterioration,transition_deterioration,robustness,914,0.19813570344678083,112,0.20626151012891344,52,0.8253968253968254,sufficient_episode_power
default_deterministic,transition_boundary_or_mixed,transition_boundary_or_mixed,train,9102,0.7916847873358267,984,0.9609375,677,0.7632468996617813,sufficient_episode_power
default_deterministic,transition_deterioration,transition_deterioration,train,1725,0.15003914064538576,235,0.2294921875,148,0.783068783068783,sufficient_episode_power
default_deterministic,transition_recovery,transition_recovery,train,670,0.05827607201878751,204,0.19921875,157,0.8971428571428571,sufficient_episode_power
default_deterministic,transition_boundary_or_mixed,transition_boundary_or_mixed,validation,5797,0.6367530755711776,355,0.9568733153638814,210,0.7046979865771812,sufficient_episode_power
default_deterministic,transition_deterioration,transition_deterioration,validation,2968,0.3260105448154657,129,0.3477088948787062,79,0.7669902912621359,sufficient_episode_power
default_deterministic,transition_recovery,transition_recovery,validation,339,0.03723637961335677,77,0.20754716981132076,33,0.8048780487804879,sufficient_episode_power
