artifact,field_name,role,allowed_for_taxonomy_assignment,allowed_for_episode_denominator
post_replay_event_episode_membership.parquet,market_regime_bucket,event_side_regime,True,False
post_replay_event_episode_membership.parquet,episode_market_regime_bucket,episode_side_regime,False,True
candidate_family_canonical_events.csv.gz,market_regime_bucket,event_side_regime,True,False
