taxonomy_method,split,subregime_label,family_id,event_n,source_count
auto_120d_elbow_kmeans,robustness,auto_boundary_or_mixed_like,,1063,9
auto_120d_elbow_kmeans,train,auto_boundary_or_mixed_like,,2671,10
auto_120d_elbow_kmeans,validation,auto_boundary_or_mixed_like,,1058,9
auto_120d_knn_default_taxonomy,robustness,transition_boundary_or_mixed,,826,9
auto_120d_knn_default_taxonomy,robustness,transition_deterioration,,92,9
auto_120d_knn_default_taxonomy,robustness,transition_recovery,,145,9
auto_120d_knn_default_taxonomy,train,transition_boundary_or_mixed,,2122,10
auto_120d_knn_default_taxonomy,train,transition_deterioration,,305,10
auto_120d_knn_default_taxonomy,train,transition_recovery,,244,9
auto_120d_knn_default_taxonomy,validation,transition_boundary_or_mixed,,574,9
auto_120d_knn_default_taxonomy,validation,transition_deterioration,,290,9
auto_120d_knn_default_taxonomy,validation,transition_recovery,,194,9
default_deterministic,robustness,transition_boundary_or_mixed,,947,9
default_deterministic,robustness,transition_deterioration,,116,9
default_deterministic,train,transition_boundary_or_mixed,,2122,10
default_deterministic,train,transition_deterioration,,305,10
default_deterministic,train,transition_recovery,,244,9
default_deterministic,validation,transition_boundary_or_mixed,,772,9
default_deterministic,validation,transition_deterioration,,237,9
default_deterministic,validation,transition_recovery,,49,9
