taxonomy_method,train_vs_robustness_jsd,train_vs_robustness_psi,collapse_explanation_status
auto_120d_elbow_kmeans,0.0,0.0,not_explained
auto_120d_knn_default_taxonomy,0.0012901806808714635,0.010344552500443138,not_explained
default_deterministic,0.021879531647912877,0.6529528590123751,not_explained
