target_key,ts_code,name,target_type
sw_801010,801010.SI,农林牧渔,industry
sw_801030,801030.SI,基础化工,industry
sw_801040,801040.SI,钢铁,industry
sw_801050,801050.SI,有色金属,industry
sw_801080,801080.SI,电子,industry
sw_801110,801110.SI,家用电器,industry
sw_801120,801120.SI,食品饮料,industry
sw_801130,801130.SI,纺织服饰,industry
sw_801140,801140.SI,轻工制造,industry
sw_801150,801150.SI,医药生物,industry
sw_801160,801160.SI,公用事业,industry
sw_801170,801170.SI,交通运输,industry
sw_801180,801180.SI,房地产,industry
sw_801200,801200.SI,商贸零售,industry
sw_801210,801210.SI,社会服务,industry
sw_801230,801230.SI,综合,industry
sw_801710,801710.SI,建筑材料,industry
sw_801720,801720.SI,建筑装饰,industry
sw_801730,801730.SI,电力设备,industry
sw_801740,801740.SI,国防军工,industry
sw_801750,801750.SI,计算机,industry
sw_801760,801760.SI,传媒,industry
sw_801770,801770.SI,通信,industry
sw_801780,801780.SI,银行,industry
sw_801790,801790.SI,非银金融,industry
sw_801880,801880.SI,汽车,industry
sw_801890,801890.SI,机械设备,industry
sw_801950,801950.SI,煤炭,industry
sw_801960,801960.SI,石油石化,industry
sw_801970,801970.SI,环保,industry
sw_801980,801980.SI,美容护理,industry
