fold,source_row_n,excluded_row_n,retained_row_n,source_instrument_n,excluded_instrument_n_present,retained_instrument_n,retained_row_key_hash,registry_instrument_n,registry_sha256,exclusion_scope,status
train,396207,60814,335393,1256,396,860,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e,396,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,all_folds_entire_instrument_history,pass
validation_early,51932,0,51932,625,0,625,633f2bf154e826a5228c8e73c3bc361812c52fd63d3379ccd01966c80dbb8ba8,396,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,all_folds_entire_instrument_history,pass
validation_late,50167,0,50167,592,0,592,1f46023e27b72e67afd10e01eb10daff7192c39f4be0d72846cc0ff4906e5adc,396,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,all_folds_entire_instrument_history,pass
