cache_check_id,observed_value,expected_value,cache_status,detail
native_panel.row_id_unique,431239,431239,pass,
filter_matrix.row_id_unique,431239,431239,pass,
native_token_matrix.row_id_unique,431239,431239,pass,
compression_base.row_id_unique,111299,111299,pass,
filter_matrix.coverage_equals_native,0,0,pass,
native_token_matrix.coverage_equals_native,0,0,pass,
compression_base.subset_native,0,0,pass,
compression_base.split_boundary_equality,0,0,pass,
compression_base.membership_equality,0,0,pass,
selected_label.fields_present,,,pass,
composite_threshold_value_equality,0,0,pass,
repair_range_participation_core_30.membership_subset_compression_base,0,0,pass,
repair_sma_participation_core_30.membership_subset_compression_base,0,0,pass,
repair_close_position_participation_core_30.membership_subset_compression_base,0,0,pass,
repair_range_participation_broad_40.membership_subset_compression_base,0,0,pass,
repair_ret60_volume_suspect_30.membership_subset_compression_base,0,0,pass,
repair_drawdown_amount_suspect_30.membership_subset_compression_base,0,0,pass,
compression_base_panel.manifest_schema_hash,4a7292e89ff81638bedf6b143a2c23f1275a772cc5e38aa71dc4484bf316118d,4a7292e89ff81638bedf6b143a2c23f1275a772cc5e38aa71dc4484bf316118d,pass,
directional_filter_matrix.manifest_schema_hash,e6e938a055886582cf46c4b6046aac558ba91ed4bf0d43b1a294b53ea80fb85a,e6e938a055886582cf46c4b6046aac558ba91ed4bf0d43b1a294b53ea80fb85a,pass,
