state_id,split_bucket,treated_n,treated_positive_n,native_denominator_n,native_positive_n,coverage_share,captured_positive_share,treated_winner_rate,native_winner_rate,winner_rate_diff_vs_native,winner_rate_diff_ci_low,winner_rate_diff_ci_high,treated_lower_first_rate,native_lower_first_rate,lower_first_uplift_vs_native,treated_fast_fail_rate,native_fast_fail_rate,fast_fail_uplift_vs_native,binary_state_auc,top_lift_proxy,readout_status
repair_range_participation_core_30,train,6232,1926,216794,31474,0.028746183012444994,0.06119336595284997,0.30905006418485237,0.14517929462992518,0.1638707695549272,0.15416233883451774,0.17357920027533663,0.4046854942233633,0.3446036329418711,0.06008186128149223,0.11296534017971759,0.08333256455436959,0.029632775625347996,0.5189789406928075,0.1638707695549272,pass
repair_range_participation_core_30,validation,2627,542,61307,5880,0.04284991925881221,0.09217687074829932,0.20631899505138943,0.09591074428694929,0.11040825076444014,0.09727531186434633,0.12354118966453394,0.4442329653597259,0.3992855628231686,0.04494740253655727,0.10087552341073468,0.07850653269610322,0.022368990714631456,0.527279912452108,0.11040825076444014,pass
repair_range_participation_core_30,robustness,4813,1121,130614,17812,0.03684903609107753,0.06293509993262969,0.23291086640349054,0.1363712925107569,0.09653957389273365,0.08639698697710409,0.10668216080836322,0.33762725950550593,0.26961887699634035,0.06800838250916558,0.1070018699355911,0.06733581392500038,0.03966605601059073,0.5151025918981955,0.09653957389273365,pass
repair_sma_participation_core_30,train,6974,2131,216794,31474,0.032168786959048686,0.06770667852830908,0.30556352165184975,0.14517929462992518,0.16038422702192456,0.15122622475769867,0.16954222928615045,0.4105248064238601,0.3446036329418711,0.065921173481989,0.11270433036994551,0.08333256455436959,0.02937176581557592,0.5207867517398722,0.16038422702192456,pass
repair_sma_participation_core_30,validation,2950,623,61307,5880,0.04811848565416674,0.10595238095238095,0.2111864406779661,0.09591074428694929,0.11527569639101681,0.10276134720324087,0.12779004557879275,0.4393220338983051,0.3992855628231686,0.04003647107513647,0.1023728813559322,0.07850653269610322,0.02386634865982898,0.5319846159727896,0.11527569639101681,pass
repair_sma_participation_core_30,robustness,5839,1392,130614,17812,0.0447042430367342,0.07814956209297103,0.2383969857852372,0.1363712925107569,0.1020256932744803,0.09272147243288205,0.11132991411607855,0.33892789861277617,0.26961887699634035,0.06930902161643582,0.1089227607467032,0.06733581392500038,0.04158694682170283,0.5193632511090731,0.1020256932744803,pass
repair_close_position_participation_core_30,train,6876,2080,216794,31474,0.031716744928365175,0.06608629344856072,0.30250145433391507,0.14517929462992518,0.15732215970398988,0.148125962174328,0.16651835723365177,0.41259453170447935,0.3446036329418711,0.06799089876260828,0.1154741128563118,0.08333256455436959,0.03214154830194221,0.520103366884004,0.15732215970398988,pass
repair_close_position_participation_core_30,validation,2985,628,61307,5880,0.04868938294158905,0.10680272108843537,0.2103852596314908,0.09591074428694929,0.1144745153445415,0.10204883712503399,0.12690019356404902,0.44221105527638194,0.3992855628231686,0.04292549245321331,0.10217755443886097,0.07850653269610322,0.023671021742757745,0.5321391598117227,0.1144745153445415,pass
repair_close_position_participation_core_30,robustness,5814,1388,130614,17812,0.044512839358721114,0.07792499438580731,0.23873409012727898,0.1363712925107569,0.10236279761652209,0.09303475922475048,0.1116908360082937,0.3372893016855865,0.26961887699634035,0.06767042468924617,0.10577915376676987,0.06733581392500038,0.038443339841769494,0.5193440507114583,0.10236279761652209,pass
repair_range_participation_broad_40,train,9815,2898,216794,31474,0.04527339317508787,0.09207599923746584,0.29526235354049923,0.14517929462992518,0.15008305891057405,0.14240793475834226,0.15775818306280584,0.4147733061640346,0.3446036329418711,0.07016967322216355,0.11462047885888946,0.08333256455436959,0.03128791430451987,0.5273756857832052,0.15008305891057405,pass
repair_range_participation_broad_40,validation,4265,831,61307,5880,0.06956791231017666,0.1413265306122449,0.19484173505275498,0.09591074428694929,0.0989309907658057,0.08876516472593311,0.10909681680567827,0.45580304806565064,0.3992855628231686,0.05651748524248201,0.10691676436107854,0.07850653269610322,0.02841023166497532,0.5396855829491484,0.0989309907658057,pass
repair_range_participation_broad_40,robustness,8236,1889,130614,17812,0.063056027684628,0.10605209970806198,0.22935891209324916,0.1363712925107569,0.09298761958249227,0.08520922350338184,0.1007660156616027,0.33365711510441964,0.26961887699634035,0.06403823810807929,0.1076979116075765,0.06733581392500038,0.04036209768257612,0.5248926834243578,0.09298761958249227,pass
repair_ret60_volume_suspect_30,train,4801,1281,216794,31474,0.02214544682970931,0.040700260532503016,0.26681941262237036,0.14517929462992518,0.12164011799244517,0.11106695326934941,0.13221328271554092,0.4234534471985003,0.3446036329418711,0.07884981425662924,0.11997500520724849,0.08333256455436959,0.0366424406528789,0.5108530441449478,0.12164011799244517,pass
repair_ret60_volume_suspect_30,validation,3345,783,61307,5880,0.05456146932650431,0.13316326530612244,0.23408071748878923,0.09591074428694929,0.13816997320183994,0.12596998466757786,0.150369961736102,0.3796711509715994,0.3992855628231686,-0.019614411851569202,0.09656203288490284,0.07850653269610322,0.018055500188799617,0.543470152688423,0.13816997320183994,pass
repair_ret60_volume_suspect_30,robustness,7123,1587,130614,17812,0.054534735939485816,0.08909723781720189,0.22279938228274604,0.1363712925107569,0.08642808977198915,0.07816908128060353,0.09468709826337478,0.35167766390565774,0.26961887699634035,0.0820587869093174,0.11399691141373017,0.06733581392500038,0.04666109748872979,0.5200100468974664,0.08642808977198915,pass
repair_drawdown_amount_suspect_30,train,6102,1638,216794,31474,0.028146535420721975,0.05204295609074156,0.26843657817109146,0.14517929462992518,0.12325728354116627,0.11384344998122095,0.1326711171011116,0.42740085217961327,0.3446036329418711,0.08279721923774219,0.11422484431333989,0.08333256455436959,0.030892279758970298,0.5139774461006266,0.12325728354116627,pass
repair_drawdown_amount_suspect_30,validation,2840,540,61307,5880,0.046324237036553736,0.09183673469387756,0.19014084507042253,0.09591074428694929,0.09423010078347324,0.0819612932084882,0.10649890835845828,0.4376760563380282,0.3992855628231686,0.03839049351485957,0.10422535211267606,0.07850653269610322,0.025718819416572836,0.5251703564497227,0.09423010078347324,pass
