lineage_check_id,observed_value,expected_value,lineage_status
input_gate_status,contract,pass,pass
upstream_lineage_gate_status,contract,pass,pass
native_universe_gate_status,contract,pass,pass
label_portability_gate_status,contract,pass,pass
selected_token_id,contract,pass,pass
selected_token_family_id,contract,pass,pass
sequence_mining_authorized,contract,pass,pass
dictionary_token_present,contract,pass,pass
dictionary_primitive_id,contract,pass,pass
dictionary_threshold_rule,contract,pass,pass
dictionary_threshold_split,contract,pass,pass
dictionary_future_data_used,contract,pass,pass
dictionary_comparator,contract,pass,pass
