lineage_check_id,observed_value,expected_value,lineage_status
13A_config.label_id,vol20d_kup2p0_kdn1p0_H20,vol20d_kup2p0_kdn1p0_H20,pass
13A_config.vol_reference_id,volatility_20d,volatility_20d,pass
13A_config.horizon_sessions,20,20,pass
13A_config.k_up,2.0,2.0,pass
13A_config.k_dn,1.0,1.0,pass
13A2_config.label_id,vol20d_kup2p0_kdn1p0_H20,vol20d_kup2p0_kdn1p0_H20,pass
13A2_config.vol_reference_id,volatility_20d,volatility_20d,pass
13A2_config.horizon_sessions,20,20,pass
13A2_config.k_up,2.0,2.0,pass
13A2_config.k_dn,1.0,1.0,pass
12A7g.same_bar_priority,present,same_bar_priority = lower_first,pass
12A7g.vol_reference_id,present,vol_reference_id = volatility_20d,pass
12A7g.horizon_grid_contains_20,present,"horizon_sessions in {20, 40, 60}",pass
12A7g.k_grid_contains_primary,present,"k_up in {1.0, 1.5, 2.0, 2.5}",pass
