state_id,split_bucket,drift_axis,bucket_id,treated_n,treated_share,native_share,complement_share,treated_minus_native_share,treated_minus_complement_share,drift_status
repair_range_participation_core_30,train,board,chinext,6232,0.045571245186136075,0.19306807383968191,0.19743353501581482,-0.14749682865354585,-0.15186228982967875,primary_pass
repair_range_participation_core_30,train,board,main_board,6232,0.9544287548138639,0.8069319261603181,0.8025664649841852,0.14749682865354585,0.15186228982967875,primary_pass
repair_range_participation_core_30,train,year,2018,6232,0.06691270860077021,0.03670765796101368,0.035813679581310966,0.03020505063975653,0.031099029019459247,caveat_relative_drift
repair_range_participation_core_30,train,year,2019,6232,0.4232991014120667,0.23520484884268014,0.22963782638842717,0.18809425256938658,0.19366127502363956,caveat_relative_drift
repair_range_participation_core_30,train,year,2020,6232,0.31530808729139925,0.3755869627388212,0.3773710356094642,-0.06027887544742194,-0.06206294831806497,caveat_relative_drift
repair_range_participation_core_30,train,year,2021,6232,0.1944801026957638,0.352500530457485,0.3571774584207977,-0.15802042776172118,-0.16269735572503388,caveat_relative_drift
repair_range_participation_core_30,train,regime,risk_on,6232,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_range_participation_core_30,train,liquidity,median_ratio,6232,0.4662756865141175,1.0,0.4569665532532531,-0.5337243134858825,0.00930913326086441,caveat_relative_drift
repair_range_participation_core_30,train,compression_severity,median_ratio,6232,0.5517878607683538,1.0,0.5426360684067203,-0.44821213923164616,0.009151792361633548,primary_pass
repair_range_participation_core_30,validation,board,chinext,2627,0.08831366577845451,0.1969432528096302,0.20180640763462848,-0.1086295870311757,-0.11349274185617397,primary_pass
repair_range_participation_core_30,validation,board,main_board,2627,0.9116863342215454,0.8030567471903698,0.7981935923653715,0.10862958703117565,0.11349274185617397,primary_pass
repair_range_participation_core_30,validation,year,2022,2627,0.21850019033117624,0.3787332604759652,0.385906612133606,-0.160233070144789,-0.16740642180242976,caveat_relative_drift
repair_range_participation_core_30,validation,year,2023,2627,0.7814998096688237,0.6212667395240348,0.614093387866394,0.16023307014478894,0.1674064218024297,caveat_relative_drift
repair_range_participation_core_30,validation,regime,risk_on,2627,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_range_participation_core_30,validation,liquidity,median_ratio,2627,0.5855246978803602,1.0,0.5675524868082772,-0.4144753021196398,0.017972211072083022,primary_pass
