lineage_check_id,upstream_cost_buffer_return,upstream_cost_buffer_source,reference_cost_buffer_return,lineage_status
13A.cost_buffer_return,0.01,13A:thresholds.cost_buffer_bps,0.01,pass
13A2.cost_buffer_return,0.01,13A2:cost_buffer.default_return,0.01,pass
upstream_cost_consistency,0.01,13A_and_13A2,0.01,pass
