scope_id,filter_id_or_state_id,source_phase,split_bucket,cost_buffer_return,cost_tier_label,treated_n,treated_positive_n,winner_rate,lower_first_rate,fast_fail_rate,self_utility_proxy_per_entry,self_utility_proxy_total_indexed,self_utility_margin_vs_100bps,self_utility_positive,lower_first_uplift_vs_native,fast_fail_uplift_vs_native,bootstrap_ci_low,bootstrap_ci_high,ci_status
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,train,0.0,0bps,21680,4578,0.21116236162361623,0.44165129151291516,0.13459409594095942,-0.0010845402287032492,-0.00010845702444849231,0.001000027676042695,False,0.09704765857104408,0.05126153138658983,-0.00030714822245961977,5.956076688686878e-05,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,train,0.0025,25bps,21680,4578,0.21116236162361623,0.44165129151291516,0.13459409594095942,-0.0035845402287032493,-0.00035846394345916604,0.0007500207570320212,False,0.09704765857104408,0.05126153138658983,-0.00055714198576197,-0.00018969546202203763,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,train,0.005,50bps,21680,4578,0.21116236162361623,0.44165129151291516,0.13459409594095942,-0.006084540228703249,-0.0006084708624698397,0.0005000138380213475,False,0.09704765857104408,0.05126153138658983,-0.0008101142769432772,-0.00043878181615315907,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,train,0.0075,75bps,21680,4578,0.21116236162361623,0.44165129151291516,0.13459409594095942,-0.008584540228703249,-0.0008584777814805134,0.00025000691901067387,False,0.09704765857104408,0.05126153138658983,-0.0010663471523918598,-0.0006876058150697709,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,train,0.01,100bps,21680,4578,0.21116236162361623,0.44165129151291516,0.13459409594095942,-0.01108454022870325,-0.0011084847004911873,0.0,False,0.09704765857104408,0.05126153138658983,-0.001313910820427359,-0.0009375472943070002,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,validation,0.0,0bps,13595,2294,0.16873850680397204,0.4467083486575947,0.1126884884148584,-0.005911179491109055,-0.0013108207085916388,0.0022175281778589718,False,0.04742278583442605,0.03418195571875518,-0.0018240268769250919,-0.0008779409271146423,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,validation,0.0025,25bps,13595,2294,0.16873850680397204,0.4467083486575947,0.1126884884148584,-0.008411179491109056,-0.001865202753056382,0.0016631461333942285,False,0.04742278583442605,0.03418195571875518,-0.0023812389408003425,-0.0014261797089829445,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,validation,0.005,50bps,13595,2294,0.16873850680397204,0.4467083486575947,0.1126884884148584,-0.010911179491109056,-0.002419584797521125,0.0011087640889294857,False,0.04742278583442605,0.03418195571875518,-0.0029380535996776282,-0.0019852542323605454,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,validation,0.0075,75bps,13595,2294,0.16873850680397204,0.4467083486575947,0.1126884884148584,-0.013411179491109055,-0.002973966841985868,0.0005543820444647426,False,0.04742278583442605,0.03418195571875518,-0.003491310947179886,-0.0025384303284699825,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,validation,0.01,100bps,13595,2294,0.16873850680397204,0.4467083486575947,0.1126884884148584,-0.015911179491109054,-0.0035283488864506106,0.0,False,0.04742278583442605,0.03418195571875518,-0.004045654804738878,-0.003081530077788109,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,robustness,0.0,0bps,25823,5191,0.20102234442163963,0.3607249351353445,0.11470394609456686,0.002255259615506617,0.0004458753965978178,0.001977046870932672,True,0.09110605813900413,0.04736813216956648,0.00013741904795800595,0.0008172014297907151,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,robustness,0.0025,25bps,25823,5191,0.20102234442163963,0.3607249351353445,0.11470394609456686,-0.0002447403844933831,-4.838632113535021e-05,0.001482785153199504,False,0.09110605813900413,0.04736813216956648,-0.0003549822260248749,0.0003148347233120836,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,robustness,0.005,50bps,25823,5191,0.20102234442163963,0.3607249351353445,0.11470394609456686,-0.002744740384493383,-0.0005426480388685182,0.000988523435466336,False,0.09110605813900413,0.04736813216956648,-0.0008473835000077558,-0.00018201797344534338,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,robustness,0.0075,75bps,25823,5191,0.20102234442163963,0.3607249351353445,0.11470394609456686,-0.005244740384493383,-0.0010369097566016862,0.000494261717733168,False,0.09110605813900413,0.04736813216956648,-0.001349009411040178,-0.0006686943634188531,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_50pct,13A2_filter,robustness,0.01,100bps,25823,5191,0.20102234442163963,0.3607249351353445,0.11470394609456686,-0.007744740384493383,-0.0015311714743348542,0.0,False,0.09110605813900413,0.04736813216956648,-0.0018492417090524955,-0.001155370753392363,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_40pct,13A2_filter,train,0.0,0bps,17344,3610,0.20814114391143912,0.4466674354243542,0.13687730627306274,-0.0017291949229926162,-0.00013833942242121063,0.0008000221408341559,False,0.10206380248248315,0.05354474171869315,-0.00029900478009275223,1.392581851887139e-05,pass
all_13a2_candidate_grid,stock_vs_board_20d__top_40pct,13A2_filter,train,0.0025,25bps,17344,3610,0.20814114391143912,0.4466674354243542,0.13687730627306274,-0.004229194922992617,-0.00033834495762974967,0.0006000166056256169,False,0.10206380248248315,0.05354474171869315,-0.0004985258383058502,-0.00018993819783597632,pass
