lineage_check_id,observed_value,expected_value,lineage_status
input_gate_status,pass,pass,pass
upstream_13a_lineage_gate_status,pass,pass,pass
label_lineage_gate_status,pass,pass,pass
cost_buffer_lineage_gate_status,pass,pass,pass
base_compression_gate_status,pass,pass,pass
candidate_grid_gate_status,pass,pass,pass
decision_state,13A2_no_directional_filter_survives_stop_event_mining,13A2_no_directional_filter_survives_stop_event_mining,pass
sequence_mining_authorized,False,False,pass
winner_uplift_gate_status,fail,record_only,reported
direction_readout_gate_status,fail,record_only,reported
control_quality_gate_status,not_applicable_no_selected_filter,record_only,reported
badside_utility_gate_status,fail,record_only,reported
morphology_gate_status,not_applicable_no_selected_filter,record_only,reported
morphology_independent_evidence_gate_status,not_applicable_no_selected_filter,record_only,reported
stability_gate_status,not_applicable_no_selected_filter,record_only,reported
search_control_gate_status,not_applicable_no_selected_filter,record_only,reported
deployability_gate_status,not_applicable_no_selected_filter,record_only,reported
decision_reason,no_train_candidate_satisfies_directional_selection_gate,record_only,reported
