policy_id,return_path,event_month,month_n,mean_return,positive_rate,compound_return
C_D8_ONLY_XD8_R100_CNONE,gross_shadow,False,16,0.0208539543378,0.625,0.353959030108
C_D8_ONLY_XD8_R100_CNONE,gross_shadow,True,5,0.0297646705492,1,0.156477903083
C_D8_ONLY_XD8_R100_CNONE,reference_net,False,16,0.0194925208635,0.625,0.324873696302
C_D8_ONLY_XD8_R100_CNONE,reference_net,True,5,0.0286428192831,1,0.150136323629
C_D9D10_EQUAL_XD8_R100_CNONE,gross_shadow,False,16,0.0198469313946,0.6875,0.341516429777
C_D9D10_EQUAL_XD8_R100_CNONE,gross_shadow,True,5,0.00271933803371,0.4,0.0109512413689
C_D9D10_EQUAL_XD8_R100_CNONE,reference_net,False,16,0.0191807775894,0.6875,0.327359171059
C_D9D10_EQUAL_XD8_R100_CNONE,reference_net,True,5,0.00203830162618,0.4,0.0074829946425
C_MIX303040_XD8_R100_CNONE,gross_shadow,False,16,0.0198840470292,0.6875,0.34110599948
C_MIX303040_XD8_R100_CNONE,gross_shadow,True,5,0.0077629131423,0.4,0.0370804399799
C_MIX303040_XD8_R100_CNONE,reference_net,False,16,0.0192780738045,0.6875,0.328208844154
C_MIX303040_XD8_R100_CNONE,reference_net,True,5,0.00719167960181,0.4,0.0341117770781
F_MIX333_XD6_R025_C020,gross_shadow,False,16,0.0147140200576,0.6875,0.247038066775
F_MIX333_XD6_R025_C020,gross_shadow,True,5,-0.00700304369064,0.4,-0.0359941432186
F_MIX333_XD6_R025_C020,reference_net,False,16,0.0145880836253,0.6875,0.244496872581
F_MIX333_XD6_R025_C020,reference_net,True,5,-0.00710207407507,0.4,-0.0364783681727
F_MIX333_XD6_R025_C030,gross_shadow,False,16,0.0147140200576,0.6875,0.247038066775
F_MIX333_XD6_R025_C030,gross_shadow,True,5,-0.00700304369064,0.4,-0.0359941432186
F_MIX333_XD6_R025_C030,reference_net,False,16,0.0145880836253,0.6875,0.244496872581
F_MIX333_XD6_R025_C030,reference_net,True,5,-0.00710207407507,0.4,-0.0364783681727
F_MIX333_XD6_R025_C040,gross_shadow,False,16,0.0147140200576,0.6875,0.247038066775
F_MIX333_XD6_R025_C040,gross_shadow,True,5,-0.00700304369064,0.4,-0.0359941432186
F_MIX333_XD6_R025_C040,reference_net,False,16,0.0145880836253,0.6875,0.244496872581
F_MIX333_XD6_R025_C040,reference_net,True,5,-0.00710207407507,0.4,-0.0364783681727
F_MIX333_XD6_R025_CNONE,gross_shadow,False,16,0.0147140200576,0.6875,0.247038066775
F_MIX333_XD6_R025_CNONE,gross_shadow,True,5,-0.00700304369064,0.4,-0.0359941432186
F_MIX333_XD6_R025_CNONE,reference_net,False,16,0.0145880836253,0.6875,0.244496872581
F_MIX333_XD6_R025_CNONE,reference_net,True,5,-0.00710207407507,0.4,-0.0364783681727
F_MIX333_XD6_R050_C020,gross_shadow,False,16,0.0151032337595,0.6875,0.255026333454
F_MIX333_XD6_R050_C020,gross_shadow,True,5,-0.00624564928691,0.4,-0.0323560808022
F_MIX333_XD6_R050_C020,reference_net,False,16,0.0149364067648,0.6875,0.251663346039
F_MIX333_XD6_R050_C020,reference_net,True,5,-0.00639693222063,0.4,-0.0330976913629
F_MIX333_XD6_R050_C030,gross_shadow,False,16,0.0151178518917,0.6875,0.255310677778
F_MIX333_XD6_R050_C030,gross_shadow,True,5,-0.00606900648952,0.4,-0.031513694959
F_MIX333_XD6_R050_C030,reference_net,False,16,0.0149480426742,0.6875,0.251887668708
F_MIX333_XD6_R050_C030,reference_net,True,5,-0.00622937155411,0.4,-0.032299128198
F_MIX333_XD6_R050_C040,gross_shadow,False,16,0.0151178518917,0.6875,0.255310677778
F_MIX333_XD6_R050_C040,gross_shadow,True,5,-0.00606900648952,0.4,-0.031513694959
