candidate_id,candidate_type,group_id,raw_feature,component_primitive_ids,component_group_ids,split,trigger_count,stock_day_density,instrument_year_concentration,primary_positive_count,P_signal_given_winner,P_signal_given_non_winner,P_winner_given_signal,LR,primary_LR_ci90_lower,primary_LR_ci90_upper,log_lift,EV_R,avg_win_R,avg_loss_R,failed_seed_rate,entry_buyability_rate,risk_distance_ineligible_rate,initial_risk_pct_p50,delay_sensitivity,combo_rank_score,component_single_LR,component_single_EV_R,combo_incremental_LR_vs_best_component,combo_incremental_EV_R_vs_best_component
price_momentum__close_near_high5_pct__ge_0p0,single_primitive,price_momentum,close_near_high5_pct,price_momentum__close_near_high5_pct__ge_0p0,price_momentum,train,45745,0.2524182379005336,0.31255874959011914,5772,0.26525735294117647,0.2513535684987695,0.15211891208096143,1.0553156437183229,1.0247930674507575,1.0895759000812066,0.05383991053871788,-0.1721714810185262,3.0466688072321206,-2.044418580681003,0.28226035632309543,0.9876270630670019,0.41061112463755284,0.03681273989729383,,,,,,
price_momentum__close_near_high5_pct__ge_m0p02,single_primitive,price_momentum,close_near_high5_pct,price_momentum__close_near_high5_pct__ge_m0p02,price_momentum,train,99343,0.5481688710843307,0.2963469997886112,11123,0.5111672794117647,0.5642798546818235,0.13345251235782501,0.9058754714892187,0.8879932115611627,0.9266188731616489,-0.09885343107349084,-0.19890810973381812,3.0895731688261354,-2.1087037176729853,0.2440332987729382,0.98944062490563,0.585854680855393,0.034671969250238646,,,,,,
price_momentum__close_near_high5_pct__ge_m0p05,single_primitive,price_momentum,close_near_high5_pct,price_momentum__close_near_high5_pct__ge_m0p05,price_momentum,train,148984,0.8220850094080904,0.30114643183160605,17094,0.7855698529411764,0.8403765772100472,0.13712717996438256,0.9347831368041899,0.9250989999447138,0.9479917017505146,-0.06744071584237274,-0.20455746674830705,3.1692603348060455,-2.1553673122374803,0.24783198195779413,0.9889988186650915,0.635732464623842,0.033858936357300314,,,,,,
price_momentum__close_near_high20_pct__ge_0p0,single_primitive,price_momentum,close_near_high20_pct,price_momentum__close_near_high20_pct__ge_0p0,price_momentum,train,23539,0.12988682701804918,0.3108033476358384,3311,0.15215992647058824,0.12680182819641392,0.1694386162427716,1.1999821188295097,1.1251077247316423,1.2640565339972036,0.18230665570752538,-0.1156347884522066,3.1255895207070554,-1.9775220866158079,0.3164110624920345,0.9859807128595097,0.34236718514369424,0.039374631989145974,,,,,,
price_momentum__close_near_high20_pct__ge_m0p02,single_primitive,price_momentum,close_near_high20_pct,price_momentum__close_near_high20_pct__ge_m0p02,price_momentum,train,52094,0.2874516490368433,0.2945636733596959,6336,0.2911764705882353,0.29227704207195593,0.14483609930050748,0.9962344921930281,0.9471164334295105,1.0453226985913955,-0.0037726151790139846,-0.15764834842363842,3.1553928547595813,-2.0533457213680477,0.2645602180673398,0.988194417783238,0.5250878999203559,0.03641569822570702,,,,,,
price_momentum__close_near_high20_pct__ge_m0p05,single_primitive,price_momentum,close_near_high20_pct,price_momentum__close_near_high20_pct__ge_m0p05,price_momentum,train,95838,0.5288284858216491,0.29080323045138673,11018,0.5063419117647059,0.5452556740497676,0.13634788634788636,0.9286320819074871,0.8983824262599873,0.9627040714803321,-0.07404265530961954,-0.15820870778318782,3.2155472423113514,-2.1066919360351894,0.2495669776080469,0.9887622863582295,0.6098605966589631,0.034883688694079755,,,,,,
price_momentum__close_near_high60_pct__ge_0p0,single_primitive,price_momentum,close_near_high60_pct,price_momentum__close_near_high60_pct__ge_0p0,price_momentum,train,13592,0.07499986205146032,0.3162889935256033,2149,0.09875919117647058,0.07281534434938865,0.18737466213270557,1.356296424316776,1.2327297115464904,1.4784550890406565,0.3047577676317896,-0.13335553877311226,3.2238374979376383,-1.9708249589613573,0.3694820482636845,0.9834461447910535,0.2723872222637839,0.041958020841970686,,,,,,
price_momentum__close_near_high60_pct__ge_m0p03,single_primitive,price_momentum,close_near_high60_pct,price_momentum__close_near_high60_pct__ge_m0p03,price_momentum,train,36195,0.19972189574401164,0.28227655753557124,4868,0.22371323529411766,0.2035782647759678,0.15741309620048505,1.0989053057324554,1.0003381792703798,1.195517416694167,0.09431450768044812,-0.15338149387694788,3.3384036118151785,-2.0998318195567576,0.30542892664732696,0.9866556154164939,0.48647513440860213,0.03731345673610183,,,,,,
price_momentum__close_near_high60_pct__ge_m0p05,single_primitive,price_momentum,close_near_high60_pct,price_momentum__close_near_high60_pct__ge_m0p05,price_momentum,train,53993,0.2979302201106899,0.27462819254347787,6831,0.31392463235294116,0.30677760850033203,0.14818751762587587,1.0232970844500255,0.9408339240388992,1.1032661714528083,0.02302984994207087,-0.14316158863972483,3.3897889479111893,-2.1307449833249748,0.2854444094604856,0.9877576722908525,0.5443448586214655,0.03614454370466277,,,,,,
volume_money__vol_ratio3__gt_1p1,single_primitive,volume_money,vol_ratio3,volume_money__vol_ratio3__gt_1p1,volume_money,train,60658,0.33470730078851385,0.31433611395034455,7351,0.3378216911764706,0.3356615492792687,0.14610247644790714,1.0064354761569805,0.9933817907298621,1.0174875251863575,0.006414856896191342,-0.1550200145515479,3.0098673703985366,-2.024340513652204,0.26486201325464076,0.9885423192324179,0.5314110368060304,0.03661876916867096,,,,,,
