candidate_id,candidate_type,status,failed_rules,concentration_warning
price_momentum__close_near_high5_pct__ge_0p0,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
price_momentum__close_near_high5_pct__ge_m0p02,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
price_momentum__close_near_high5_pct__ge_m0p05,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
price_momentum__close_near_high20_pct__ge_0p0,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
price_momentum__close_near_high20_pct__ge_m0p02,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
price_momentum__close_near_high20_pct__ge_m0p05,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
price_momentum__close_near_high60_pct__ge_0p0,single_primitive,rejected,min_train_EV_R,False
price_momentum__close_near_high60_pct__ge_m0p03,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
price_momentum__close_near_high60_pct__ge_m0p05,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volume_money__vol_ratio3__gt_1p1,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volume_money__vol_ratio3__gt_1p2,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volume_money__vol_ratio3__gt_1p5,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volume_money__vol_ratio3__gt_2p0,single_primitive,rejected,min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volume_money__vol_ratio10__gt_1p1,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volume_money__vol_ratio10__gt_1p2,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volume_money__vol_ratio10__gt_1p5,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volume_money__vol_ratio10__gt_2p0,single_primitive,rejected,min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volume_money__money_ratio20_mean_asof__gt_1p0,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volume_money__money_ratio20_mean_asof__gt_1p2,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volume_money__money_ratio20_mean_asof__gt_1p5,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volume_money__money_ratio20_mean_asof__gt_2p0,single_primitive,rejected,min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
relative_strength__rps5__gt_0p5,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
relative_strength__rps5__gt_0p6,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
relative_strength__rps5__gt_0p7,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
relative_strength__rps5__gt_0p8,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
relative_strength__rps20__gt_0p5,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
relative_strength__rps20__gt_0p6,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
relative_strength__rps20__gt_0p7,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
relative_strength__rps20__gt_0p8,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
relative_strength__rps60__gt_0p5,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
relative_strength__rps60__gt_0p6,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
relative_strength__rps60__gt_0p7,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
relative_strength__rps60__gt_0p8,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
pullback_structure__ema20_hold_depth__le_0p03,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
pullback_structure__ema20_hold_depth__le_0p05,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
pullback_structure__ema20_hold_depth__le_0p08,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
pullback_structure__ema20_hold_depth__le_0p12,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
pullback_structure__prior20_pullback_depth__le_0p03,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
